,context,question,answerA,answerB,answerC,correct
20025,Sydney finally beat her friend at Dr. Mario after weeks of pratice.,Why did Sydney do this?,prove herself to her friend,try to beat Sydney,congratulate Sydney,A
20026,Skylar really loves her brother and she makes sure she follows him around everywhere.,Why did Skylar do this?,know all her brother's friends,disturb her brother,loves her brother,C
20027,Kendall saw Robin begin to tilt too far close to the cliff edge and grabbed Robin's hips.,Why did Kendall do this?,make sure Robin fell off the cliff while looking,push Robin over the cliff and murder them,make sure Robin stayed safe while looking,C
20028,Austin was tired and did not want to go to school today.,What will Austin want to do next?,go to school,pretend to be ill,did this because he didn't sleep well,B
20029,Austin needed a ride and asked Skylar. Skylar came and got Austin.,What does Skylar need to do before this?,tell Austin she's busy,figure out where Austin was,ignore Austin's call,B
20030,Quinn beat Jesse's friend hard in every game they played against each other and soon grew tired of the lack of challenge.,What will Quinn want to do next?,have a challenging game,ask Jesse for a rematch,declare themselves reigning champion,C
20031,Jordan produced a lot of money annually. Always being able to pay his bills on time.,How would Jordan feel afterwards?,relaxed,sad,financially responsible,C
20032,Tracy spent all week working on the tree house for the children.,How would you describe Tracy?,lazy,worked all weekend building a kid's treehouse,industrious,C
20033,Sasha asked for Sydney's advice because she was nervous about college.,How would you describe Sasha?,like helping Sasha,cautious,like giving Sasha advice,B
20034,Taylor liked to eat spicy food when she went out to eat.,How would Taylor feel afterwards?,Very hot,like she ate bland food,likes hot food,C
20035,Alex loved it very much and went online to talk about it all night long.,How would Alex feel afterwards?,bored,detached,great,C
20036,Kai helped their mother fix dinner that night.,What will Others want to do next?,full,loved,hope they like dinner,C
20037,Quinn gave Austin detention because Austin was being very rude to Quinn.,How would Austin feel as a result?,guilty,steadfast,excited,A
20038,Robin noticed someone sneaking in Jan's backyard so Robin protected Jan's property.,How would you describe Robin?,protective,careless,thankful,A
20039,Addison put their child on their back and began to pat their back to make them cough.,How would Addison feel afterwards?,bold,a good parent,concerned,B
20040,Skylar told Alex how they felt and Alex asked what was going on.,How would Skylar feel afterwards?,likes to share how he feels,heard,likes to confide in Alex,B
20041,Taylor walked the students to their desks and showed them their school supplies.,How would you describe Taylor?,mean to kids,very organized,happy,B
20042,Skylar sees the woman trip while walking to her car. All of the women's bags spill and groceries fall every where.,What will Skylar want to do next?,help throw the stuff away,help the women pick it up,not help and walk away,B
20043,Skylar went around Taylor to get to the drinking fountain.,What will Skylar want to do next?,say excuse me next,take a nap next,do her homework next,A
20044,Remy gave Addison a glass of wine for her promotion at work.,What will Addison want to do next?,run away to the forest,thank the other person,take a boat on the water,B
20045,Robin was getting married to the man of her dreams whom she loved.,What will Robin want to do next?,walk down the aisle,go out on dates with the man,run away,A
20046,It was a really hot day. Quinn decided to put his suit on and jump right into the pool.,Why did Quinn do this?,find a way to relax,cool down from the heat,stay inside all day,B
20047,Addison slept well in the morning and wanted to rest for the day.,What will Addison want to do next?,relax that day,energized,sleep,A
20048,Quinn got new lead software. They gained new clients easily.,What will Quinn want to do next?,go outside,restart their computer,go on a run,B
20049,Ash elicited a response from Jesse after they had a fight.,What will Ash want to do next?,ignore it,form a response herself,belittle him,B
20050,Sasha wanted to get everyone together to pray. Sasha joined their hands together in a circle.,Why did Sasha do this?,invite her friends,wanted to have unity,wanted to have everyone go away,B
20051,carson was a nice person so he made sure to kiss aubrey back.,What will Aubrey want to do next?,ignore carson,stare at carson,avoid carson,B
20052,robin was tired of casey and her antics so she gave casey a blow.,What will happen to Casey?,casey will cry,casey will tell on robin,casey will forgive robin,A
20053,Sydney took to her bed wanting to get a night of sleep.,What will Sydney want to do next?,sleep because they were tired,fall asleep,cry,B
20054,Remy works at Quinn's lab. Quinn provided Remy framework for their research.,What will Remy want to do next?,write a paper with Remy,order mice for in vivo study,get Remy a raise,A
20055,Remy finally saved them money buying food at the grocery store.,What does Remy need to do before this?,need to clip coupons for the grocery store,need to purchase expensive cuts of meat,wanted to save up for vacation,A
20056,Sydney is a duck. Sydney escaped from her cage.,What will Sydney want to do next?,go swimming,catch Sydney and cook it,go out to dinner,A
20057,"Lee got Kendalls bike back from the shop, where it was repaired.",How would Kendall feel as a result?,was very thankful that Lee brought the bike home,at repairshop,resourceful,A
20058,Jordan saw Bailey three times a week since they broke up two months ago.,How would Jordan feel afterwards?,embarrassed as a result,planning the office meetings,trying to get back together,C
20059,"Skylar had extra tickets and decided to bring their neighbors, the browns, to the super bowl.",What will Others want to do next?,eat,go home,thank Skylar,C
20060,Riley bought a new pet and took them to get a couple shots at the vet.,Why did Riley do this?,run to the lake,have healthy pets,have no pets,B
20061,"Skylar could tell Lee that Lee is being insolent and solipsist, but Lee doesn't care.",What will happen to Lee?,get a promotion,lose their job,tell Lee,B
20062,Carson did not have a favorite so he supported every team.,How would you describe Carson?,in love with sports,a real team player,an indecisive person,A
20063,"Everyone else teased Bailey, but Carson saw their positive qualities and embraced them.",How would you describe Carson?,benevolent,like she should compliment Bailey,sad that everyone was mean to Bailey,A
20064,Jan told her friend that she liked her and wanted to be friends with her.,What will happen to Jan?,smile,indifferent,be depressed,A
20065,It was Remy's birthday and they loved the gift from their mom.,What does Remy need to do before this?,ask about a gift from their mom,have a birthday,praise the gift,B
20066,"Jan taught Casey's children, one day she found out that Jan had spanked one of her children.",How would Casey feel as a result?,like they had been violated,that Jan could be trusted with her children,that Jan was a good friend,A
20067,Alex lived in Jan's aged apartment for many years because they were too lazy to get a job.,How would you describe Alex?,lazy and uninspired,needy and incapable,selfish,A
20068,Ash gave Jan an opportunity to work at their job.,What will Jan want to do next?,give Jan new employee paperwork,give Jan a tour of the facility,take the opportunity,C
20069,Robin noticed Aubrey's hair in their face all the time. Robin got Aubrey's hair cut.,What does Robin need to do before this?,decide it was Aubrey's own fault,make Aubrey's hair better,schedule a hair cut,C
20070,Quinn used his daughter Casey's hands to knead the dough while making fresh bread.,How would you describe Quinn?,a stranger to Casey,a bad friend,a great father,C
20071,Tracy asked Lee to give them a break from working in the coal mines that day.,What will happen to Lee?,enjoy a break with his family,refuse to give Tracy a break,be fired for asking for a break,B
20072,"Carson supported every team at the tournament, regardless of which side they represented.",What will Others want to do next?,cheer for Carson's team,ask Carson which side he's on,be fair,B
20073,Bailey loved their children.  They were a good parent.,What does Bailey need to do before this?,raise good children,be pregnant,impregnate others,A
20074,Robin stole a piece of jewelry from her friend Addison.,How would Robin feel afterwards?,miserable,remorseful,hungry,B
20075,Remy dropped their wallet in the fountain and didn't notice it was missing until they were back on the bus.,How would Remy feel afterwards?,upset about losing their wallet,like going back for their wallet,going to go look for their wallet,A
20076,Kai fought their way out after being trapped for days.,How would you describe Kai?,careless,uncommitted,capable,C
20077,Alex enjoyed Sydney's tears too much after punching them in the stomach.,How would you describe Alex?,pleasant,a bully,great,B
20078,Alex climbed on top of Ash when they were in bed together.,How would you describe Alex?,shy,sexual,dirty,B
20079,Jordan finally found the ring he had lost several years before.,What will Jordan want to do next?,put the ring in a safe place,wanted to wear it,throw the ring away,B
20080,jordan wanted her daughter to get life experience so she took her to the circus.,How would you describe Jordan?,a bad mom,a uncaring mom,as a great mom,C
20081,Kendall got the job done for the client in order to help solve the client's problems.,What does Kendall need to do before this?,satisfy the client,please the client,needed to assess the situation,C
20082,Jan spent the rest of her life with Quinn after he proposed to her.,How would you describe Jan?,faithful,unfriendly,hateful,A
20083,Skylar went for a walk in the park to clear their mind after the game.,What does Skylar need to do before this?,prepare for the next game,keep walking in the park,never play again,A
20084,Skylar persuaded Remy to return to home for the big party being planned.,What does Skylar need to do before this?,needed to dislike Remy,get dressed for the party,needed to be throwing a party,C
20085,Lee walked by Quinn and raised his head up to see if he was asleep.,What will happen to Lee?,Drop Quinn's head,Be surprised,Wake Quinn up,C
20086,"Robin stayed home from work to relax, so Robin baked a cake all day.",What does Robin need to do before this?,have the necessary ingredients,Forget about the job for a while,Enjoy a day of peace and quiet,A
20087,Carson depended other people to bolster their spirits when they were depressed. They were weak.,How would Carson feel afterwards?,like a weakling,a fountain of wisdom,like a strong person,A
20088,Cameron felt a mass in Robin's leg after examining for a type of cancer.,What will Cameron want to do next?,change to a happy subject,ignore the mass,notify Cameron of the mass,C
20089,"Aubrey moved into a new house, and at night she would hear screeching from the basement.",How would Aubrey feel afterwards?,would be happy,scared,an observant listener of basements,B
20090,Sydney wished Robin success as Robin prepared for their job interview.,Why did Sydney do this?,be a good friend to Robin,get lunch,distract Robin before the interview,A
20091,"Robin had been working hard for a week to get their new business started, so the morning after the big opening day, Kai let Robin sleep.",Why did Kai do this?,wanted to watch TV alone,wanted to help Robin get rested,not wake her,B
20092,Tracy learned to play the violin and eventually was invited to perform at an elite concert.,How would Tracy feel afterwards?,appreciated,successful,like a fraud,B
20093,Sydney told her friend to meet her at the theater so they could watch the film together.,How would you describe Sydney?,very mean,a good planner,very rude,B
20094,No matter how much Skylar practiced he was still bad at the game.,How would Others feel as a result?,Joyful,Happy,Disgruntled,C
20095,Robin played a game with her friends and ended up winning.,What will Robin want to do next?,go to a dance,celebrate her win,ride in a car,B
20096,Robin went to school to be an officer and got her badge.,How would Robin feel afterwards?,sad,succesful,failed,B
20097,Jesse took a date to a bar instead of to a nice restaurant.,Why did Jesse do this?,liked to be offensive to dates,was trying to make the date mad,wanted it to be a casual date,C
20098,Bailey was the center of attention because he was the funniest person in the room.,What will Others want to do next?,avoid informing Bailey for future parties,humor others,continue talking to Bailey,C
20099,Casey understood Jesse's feelings.  They promised to be nice to Jesse.,What will Jesse want to do next?,meet different friends,decide to be kind,be friends with Casey,C
20100,Kai did an interview and was hired immediately.,How would you describe Kai?,jealous they didn't get hired,someone who did well at an interview,slighted they didn't get an interview,B
20101,"Austin was late for the appointment, so Bailey gave his job to someone else.",Why did Bailey do this?,leave the office,get the job done,do it alone,B
20102,Reily told the person to leave after closing time arrived.,Why did Riley do this?,did this to be rude,did this to keep the date,did this to close,C
20103,Cameron took sides with them about which food is best.,How would you describe Cameron?,that he was too harsh,As someone that knows what they like,that he had taken the right side,B
20104,Kai decided to quit the play and left their part to the understudy.,What will Kai want to do next?,star in the play,alleviate his boredom,find a new hobby,C
20105,Jordan loved Carson's friend better because their friends had been nicer to Jordan than Jordan's old friends.,How would you describe Jordan?,jealous that Jordan likes their friends,looking for kind friends,worse off now,B
20106,Alex was reading an article about a tragedy that happened to a family which he could really relate to.,How would Alex feel afterwards?,Happy,Distressed,curious,B
20107,"After much waiting and playing around, Remy finally decided to ask Jordan out for a seafood dinner.",What will happen to Jordan?,have a seafood dinner,have tacos by the seaside,eat nathans hotdogs at coney island,A
20108,Kendall is Jordan's teacher. Jordan failed Kendall's test because he didn't study.,What will Kendall want to do next?,chastise Jordan for doing poorly,demote Jordan for failing,tell Jordan how he can improve,C
20109,"Casey was always a hard person to please, she never gave Cameron credit for the good things he did.",What will happen to Cameron?,appreciated,be good friends with Casey,dislike Casey,C
20110,Remy took her friend to school every day for the last 3 years.,What will Remy want to do next?,show gratitude,care for her friend,assist her friend,C
20111,Cameron gave the class time to finish the final exam for science.,What will the students want to do next?,erase all of their answers,grade the exams,make sure their answers are correct before sumbitting,C
20112,Quinn brought their friend to the store so that they could get what they needed for their broken leg.,Why did Quinn do this?,get money from their friend,take their friend back home,help out the friend,C
20113,Jesse found out his wallet is missing at school. Jesse called them into the room.,What will Jesse do to them?,ask them if they see anyone steal Jesse's wallet,ask them if they like the craftsmanship of Jesse's wallet,have to return the wallet,A
20114,Addison fulfilled Alex's mission and ultimately was rewarded for her efforts.,How would you describe Addison?,very nonassuming,very dutiful,proud,B
20115,Jesse baked the cake for their friend's birthday party.,What will Jesse want to do next?,need to gather the ingredients,give their friend the cake,eat the cake at the party,B
20116,Casey was Aubrey's agent. Casey formed Aubrey's administration for her.,What will Aubrey want to do next?,thank Casey,be a good negotiator,close it,A
20117,bailey wanted to get home in time so she took a train.,How would Bailey feel afterwards?,as nervous,as uptight,as calm,C
20118,"Realizing that she had forgotten to buy eggs, Riley returned to the store.",What will Riley want to do next?,show disappointment,want steaks,buy eggs,C
20119,Casey played first person shooter video games with her friends often.,How would Casey feel afterwards?,A video game nerd,actually a shooter,a sense of accomplishment,C
20120,Robin took pamphlets around the neighborhood to try and find her dog.,What will Others want to do next?,help her out,find a photo of her dog,be left alone,A
20121,tracy just got hired at the store so she started work this morning.,How would Tracy feel afterwards?,annoyed,accomplished,bored,B
20122,"Remy infringed upon the rights of his neighbor, while in a particularly bad mood, he knew he would be regretful and disappointed in himself afterwards.",How would Remy feel afterwards?,ashamed,The term “Remy” refers to the characteristics of the hair and the method used to manufacture the hair extensions,a French firm that primarily produces and sells cognac,A
20123,"tracy was hiding something, so austin decided to open tracy's locker wide.",What will Tracy want to do next?,search the locker,find what tracy was hiding,yell at austin,C
20124,Jesse rode a roller coaster after eating five hot dogs and some french fries.,What will Jesse want to do next?,throw up,lay down in the roller coaster,do everything at the fair,A
20125,Taylor reached for Alex's hand to hold it and accidently hit it.,How would Alex feel as a result?,as if they were sad,embarassed,pain in their fingers,C
20126,Skylar came into the force on Tracy and they duked it out for a few hours.,How would you describe Skylar?,tired,feeling strong,feeling lazy,B
20127,Kendall tried to stop her addiction to coffee.,What will Kendall want to do next?,Don't buy coffee,drink water,Don't make coffee,A
20128,"Carson got his license, so he drove a car.",Why did Carson learn to drive?,get speeding tickets,do donuts in a parking lot,get places faster,C
20129,"Even though sworn to secrecy, Jordan couldn't keep the secret.",How would you describe Jordan?,a blabber mouth,disappointing in Jordan,betrayed by Jordan,A
20130,Sasha was a teacher and they were assessing the children's abilities.,Why did Sasha do this?,teach the children math,try to kidnap them,see if they needed help,C
20131,Cameron sent a quick message to his employer to report an email fishing scam.,What will Cameron want to do next?,email the scam operator and ask them to stop,check the computer for other issues,dealing with an email fishing scam,B
20132,Kendall tried hard to keep their composure even though their team was losing the match.,How would Kendall feel afterwards?,they did not allow enough effort,nervous,as though she tried her best in the match,C
20133,Bailey ate at a restaurant and spent a lot of money.,What does Bailey need to do before this?,stay home,quit her job,drive to the restaurant,C
20134,Tracy quenched their thirst with the gatorade today.,What does Tracy need to do before this?,wanted to get hydrated,needed to stay home,needed to buy it,C
20135,Bailey wanted Aubrey's parents to know she was grateful for their help.,How would Bailey feel afterwards?,Like thinking about doing something nice for them,Like thinking about thanking them,Like doing something nice for them,C
20136,Austin cried a lot when his dog died that day.,How would you describe Austin?,A very happy person,Very sad,Ecstatic,B
20137,Sasha saw a wolf with its babies and took a bunch of pictures.,How would Sasha feel afterwards?,angry after this,amazed after this,a nature photographer,B
20138,Skylar helped the animal to understand how to follow directions.,How would you describe Skylar?,kind,like they are capable,angry,A
20139,Cameron told someone a secret about the murder that happened last night.,What will Others want to do next?,call the police,brave,lazy,A
20140,Carson took Jordan's hand in their hand and together they jumped off the cliff and into the water.,How would you describe Carson?,an adventurous friend,a withdrawn friend,a caretaker,A
20141,Austin Got a painting and Quinn wanted to know about it so they asked Austin to describe the painting.,What will Quinn want to do next?,buy the painting,hear about the painting,For Austin to sell them the painting,B
20142,Taylor confessed their love to the girl. They were nervous about it.,How would the girl feel as a result?,hated and despised,wanted and desired,rejected and ugly,B
20143,Casey paid Carson a compliment after seeing him.,How would Carson feel as a result?,egotistical,confident about them self,better than others,B
20144,Addison kept asking sydney for the directions until sydney got mad and refused to give the directions again.,What will happen to Addison?,quit talking,not be able to find the destination,go back home,B
20145,Quinn needed help with work so Alex pushed Quinn's work the right way.,How would Alex feel afterwards?,a cheater,Dishonest,they helped Quinn,C
20146,Austin served Robin's purpose after she asked for help.,How would you describe Austin?,Afraid,like a great person,Brave,B
20147,Remy got ready to throw a pitch and then bent their arm back behind their head.,How would you describe Remy?,athletic,angry,sad,A
20148,Lee quoth it was in connection with the ongoing criminal investigation of the suspect.,What will Others want to do next?,argue that it's not really connected,understand the TV wire connection,be a part of it,A
20149,"Jan will never see Sasha after she moves from France because of her new work in Washington, D.C.",What will happen to Sasha and Jan?,depressed,lonely,live in different countries,C
20150,Riley is throwing a surprise party for their boss. Riley sends out an email to all the employees devising a plan and asking they keep the secret.,Why did Riley do this?,make sure people arrived late to the party,plan the surprise party,make sure the surprise wasn't ruined,C
20151,Casey bought food anyway even though they had some food at home.,Why did Casey do this?,go to a grocery store,have more food,eat food at home,B
20152,Aubrey asked Skylar to be their wife and Aubrey accepted the proposal.,What will Aubrey want to do next?,drink their sorrows,plan the wedding,fight with Skylar,B
20153,Jordan left my wallet at home after telling him never to forget it.,How would you describe Jordan?,remorseful,bossy,forgetful,C
20154,"Casey bought an air conditioner, because the summer heat was draining all their energy.",What will Casey want to do next?,go to the shop,enjoy the cool air,get a loan for the air conditioner,B
20155,"After reading so many blogs online the past month and following influencers, Jan started a blog with her friend.",What will Others want to do next?,talk to their friend,read over Jan's latest posts,speak about Jan's new blog,B
20156,Sasha took the cats to the pound because there was no choice but to have them put to sleep.,How would Sasha feel afterwards?,sad,happy,elated,A
20157,Quinn decided to get a new haircut.  Their hair was too long.,How would Quinn feel afterwards?,get a new haircut,like keeping their hair short,unhappy because they missed their long hair,B
20158,"For Jordan's birthday present, Ash painted Jordan a picture of their favorite beach.",What will Jordan want to do next?,thank Ash for their gift,their favorite beach,drive down to the beach the next day,A
20159,Remy went to school early to study. Remy had a long day at school.,How would you describe Remy?,felt tired,felt happy to be home,studious,C
20160,Sydney made no difference to Remy even though they used to be the best of friends.,How would Sydney feel as a result?,like they were friends,like they were loved,like they were ignored,C
20161,Ash bought food at a store after he burned the dinner he made at home.,What does Ash need to do before this?,eat his dinner,feed his family,make a shopping list,C
20162,Casey was the best gift Ash had ever gotten and they made sure to tell Ash every day how much they cared for Ash.,How would you describe Casey?,hateful,warm,cold,B
20163,Austin waited on Sasha but she stood them up and later texted saying she wanted to break up.,How would Austin feel afterwards?,overjoyed,happy,depressed,C
20164,Skylar made their own witch costume for the Halloween party they were invited to.,What does Skylar need to do before this?,do their make up and go to the party,buy the material,get dressed up and head to the party,B
20165,Remy was not being careful while playing and jerked Aubrey's head back really hard.,What does Remy do after?,tell Remy to be more careful,let Remy know it hurt,says sorry,C
20166,"Kai was walking down the sidewalk and when the accident happened, they saw it up close.",How would Kai feel afterwards?,shaken,annoyed,unlucky,A
20167,Alex spent the morning reading the faces of the accused in a courtroom.,How would Alex feel afterwards?,diligent,complacent,discerning,A
20168,Addison executed every last one of them flies and mice in her home.,What will Addison want to do next?,feed the cat so she isn't hungry,keep mouse traps out,needed to buy insecticide and traps,B
20169,Addison bound the straws together and packed the rest of the supplies in the picnic basket as well.,Why did Addison do this?,did this because the picnic was cancelled,did this to have a picnic,did this to avoid the outdoors,B
20170,Remy slept well last night despite all the noise in the house.,What does Remy need to do before this?,cover her ears,sleep more,stay up all night,B
20171,"Robin had a new piano that wouldn't fit through the front door. Together with the movers, Robin set up a pulley to lift the piano to the next floor.",What will happen next?,get the piano through the front door,p the movers for a job well done,lift the piano,C
20172,"quinn was bored so she skipped, hummed, and hawed.",How would Others feel as a result?,as grateful,very happy,as irritated,C
20173,Quinn wouldn't go away even though everybody else wanted them to leave the party.,What will everybody else want to do next?,have Quinn removed from the party,thank Quinn for coming to the party,release tension,A
20174,Casey's home and property went down in flames last night.,What does Casey need to do before this?,sleep on it,be lazy,move on,A
20175,"Even though it was getting late and Kai had to work early, Sydney wanted Kai to stay.",What will happen to Sydney?,be sad when Kai leaves,stay the night,be late to work,A
20176,"Many years had passed since the previous high school reunion. Worried about some new wrinkles, Cameron filled their face with Botox. The reunion was only a week away.",What does Cameron need to do before this?,ask their siblings for high school memorabilia,save up money to pay for the treatment,cancel their plans to attend the reunion,B
20177,"After a long day of playing together, Kendall challenged their friend to a contest.",Why did Kendall do this?,wanted to see who would win,self-conscious,wanted to be peaceful,A
20178,"Kai worked really hard leading up to the contest, but she lost.",How would you describe Kai?,sad about it,going to get revenge,going to flip out,A
20179,Addison always wanted to take the boat out on the lake.,How would Addison feel afterwards?,daring,like she followed her dreams,embarassed,A
20180,Aubrey saw Kai and her friends when they were broken down on the side of the road.,What will Kai want to do next?,run in the road next,wave down Aubrey next,work on the road next,B
20181,Riley used Taylor's computer to snoop around on Taylor's digital life.,What will happen to Riley?,be reprimanded by Taylor,find Taylor's innermost secrets,discover Taylor's past history,C
20182,"Riley told me that my husban, Jan, wanted a computer for his upcoming birthday.",Why did Riley do this?,wanted a new laptop for himself and that was the way to get it,wanted me to know what present I could buy for my husband,wanted to buy a laptop and didnt know where to start,B
20183,Austin did a lot of hard work as he wanted to graduate with his friends.,Why did Austin do this?,was left behind when his family moved,continue to do hard work,wanted to graduate with all of his friends,C
20184,Remy didn't want to take anything with him when he moved. Remy just left it all behind.,What will Remy want to do next?,sort threw what he may need,continue on,buy new things,C
20185,Riley pulled the hat over Sasha's head to mess with her for fun.,What will Sasha want to do next?,apologize,take the hat off,complain that they are bored,B
20186,Remy went bike riding after fixing the chain on their new bike.,What does Remy need to do before this?,ride the bike,go biking,fix the chain,C
20187,Sydney lost the ball during the game and made Skylar in possession.,What does Sydney need to do before this?,play defense,steal the ball back,lose possession of the ball,B
20188,Quinn spoke their mind on the subject to their friends.,How would Quinn feel afterwards?,Open and honest in a friendship,Good for knowing what they think,Good that their thoughts are known,A
20189,Cameron left his phone at home and borrowed Remy's phone to watch videos.,What will Remy want to do next?,charge Remy's phone,buy Cameron a new phone,done watching,A
20190,Remy tilted their head back and laughed at the Joke Aubrey said.,How would you describe Remy?,Someone that liked their friends joke,like laughing more,like telling a joke,A
20191,Jesse told many lies to Lee about his past and Lee was angry when finding out about it.,What will happen to Jesse?,betrayed,no longer have a bad friend,get caught,C
20192,Robin kept Kendall on ice about the secret plan that will happen tomorrow.,How would Robin feel afterwards?,smart,lazy,not caring,A
20193,Jordan expressed their sadness to the people that were listening to her at work.,What will Jordan want to do next?,fight with the people,get some resolution,laugh at everyone,B
20194,Ash came across Alex on the way to the splash park.,What will happen to Alex?,go to the water park,they will ask Alex to join them,they will say hi to Alex,B
20195,"Taylor thought it was time for the toddler to stop going in his diaper, so he potty trained him.",How would Taylor feel afterwards?,felt like a failure,felt better,a good father,C
20196,Jordan immediately went and took action when the problem occurred.,How would Jordan feel afterwards?,heroic,sumptuous,powerful,A
20197,"Alex knew that Cameron left the house, but when their parents asked Alex lied for Cameron.",What will Alex want to do next?,home,tell Cameron they owe them a favor,decide to be untruthful,B
20198,"Alex was ready to give up. She remembered John Cena and reconsidered. She knew he was there, she just couldn't see him.",What does Alex need to do before this?,look for John Cena,find John Cena,never surrender,A
20199,austin was not a secretive person so she shared everything with his friend.,What will Others want to do next?,hate austin,wanted to bond with the friend,appreciate austin,C
20200,Tracy took Riley's hand and threaded their fingers through hers to hold hands.,How would Tracy feel afterwards?,content with Riley,like being upset with Riley,like switching hands,A
20201,Jameson was applying to nursing school and asked Lee for a recommendation letter.,What did Jameson need to do before this?,want to ask Lee for a recommendation also,finish the nursing prerequisites,want to go to nursing school too,B
20202,Bailey fended and proved himself at the meeting to show what he was worth.,Why did Bailey do this?,ask his boss how he did,wanted to get wealthy,wanted to get a promotion,C
20203,"After training for several months, Kendall did the multi week triathlon around the world.",How would you describe Kendall?,an invalid,accomplished,driven,C
20204,Addison visited the pet store as it was about to close in half an hour.,What will Addison want to do next?,get dressed to go out,leave their house,spend time wisely,C
20205,Jesse brought the dog along on the road trip because he loved it.,What will Jesse want to do next?,not leave the dog in the car,take the dog back home,give the dog to someone else,B
20206,Ash popped cookies in the oven to enjoy later that day for a bit.,What will Ash want to do next?,bake,make cookies,skilled,A
20207,Lee was a hero.  They met the nation's King.,What does Lee need to do before this?,defend the nation,watch the war,meet Lee,A
20208,Sasha bought their new shoes at the department store for the party.,What will Sasha want to do next?,sell the shoes,make the party,show off the shoes,C
20209,"After going to a doctor, Remy started feeling a lot better.",What does Remy need to do before this?,head home,give medication to others,visit a doctor,C
20210,Jan went to the movies and ate a bowl of popcorn.,Why did Jan do this?,watch the film,eat a snack,buy a ticket,A
20211,Austin was having a party so she text all their friends then invited their boyfriend too.,What will Others want to do next?,go to the party,have a bad time,their friends to bring the boys,A
20212,Carson met his sister at the store when he was searching for glue to fix something.,How would Carson feel as a result?,angry at his sister,happy to find the glue,like talking to his sister,C
20213,Sasha was Skylar's prom date and Sasha broke it off.,What will Skylar want to do next?,not go to the prom,get a new date,stay away from Skylar,B
20214,"After they had a huge fight last week, Sydney was ill disposed towards Jesse.",How would Sydney feel afterwards?,happy with Jesse,upset with Jesse,attracted to Jesse,B
20215,Tracy learned to play a violin when she was in her music class.,Why did Tracy do this?,be lazy,do nothing,perform an activity,C
