,context,question,answerA,answerB,answerC,correct
30032,Skylar learned German in college and started to use it.,What will Skylar want to do next?,ignore it,quit the language,speak german,C
30033,Carson made progress on the report that they needed to complete for work.,What does Carson need to do before this?,avoid work,not work on the project,start writing,C
30034,Remy spent all his time playing video games all summer long.,Why did Remy do this?,wait for summer,wanted to have fun,get a video game,B
30035,Cameron studied science for years and now she got an excellent job teaching.,How would you describe Cameron?,very relieved,someone who waste her time,someone who likes to study,C
30036,"Robin saw Taylor all the time, and one day, Robin decided to ask her out.",How would Robin feel afterwards?,excited,sad,dizzy,A
30037,Taylor obtained every prize at the fair this year.,How would you describe Taylor?,very elated,planning to donate the prizes,proud they were able to earn money,A
30038,Robin watched a movie with all of the kids and they were happy.,How would you describe Robin?,maternal,happy,angry,B
30039,"Tracy knew their friend was sad, so they invited them to a party to cheer them up.",How would you describe Tracy?,a person who wants their friends to be happy,Like a neighborly person,go to a party,A
30040,Lee dressed up for Halloween as a scary character from a Horror film.,How would Lee feel afterwards?,Guilty,mad,scared,C
30041,Bailey brought food outside to the animals that were in the barn.,What does Bailey need to do before this?,bring water,Buy food,go inside,B
30042,Sasha won the lottery which was for a jackpot of millions of dollars.,How would Sasha feel afterwards?,happy and excited,stressed and worried,anxious,A
30043,Sydney looked into Robin's eyes and kissed him on the lips.,How would you describe Sydney?,Not an affectionate person,a romantic person,disgusted with Robin,B
30044,Aubrey was so embarrassed when they were caught out stealing that the covered their face with their hands.,How would you describe Aubrey?,proud of themselves,ashamed of themselves,pleased by their actions,B
30045,Robin threw a Tupperware party and wanted to have all their friends over.,How would you describe Robin?,a people person,a loner,unwelcoming,A
30046,Bailey is a store manager. Bailey made Taylor physical inventory count after the thanksgiving sale.,Why did Bailey need to do this?,check the records against the actual stock,prepare for Early Black Friday Sales,wanted to get the store organized,A
30047,Cameron wanted Ash to sleep and told him a story.,Why did Cameron do this?,keep telling stories,asleep,wanted to go to sleep himself,C
30048,Bailey kept the commandments of her religious text because his parents told him to.,What will Bailey want to do next?,abandon his parents,break the law,be a good person,C
30049,Bailey maintained stability at all levels of the gymnastics competition that day.,What does Bailey need to do before this?,fall a lot,lose balance,keep steady,C
30050,Skylar bought a watch for his best friend and they liked it a lot.,What does Skylar need to do before this?,see a watch,buy a beer,buy Skylar a gift,A
30051,Sydney led Riley back home so they can watch a brand new television series.,How would you describe Sydney?,feeling detached,feeling conflicted,feeling great,C
30052,Robin took their date the the movies and then to dinner and they both had a great time.,What will happen to Others?,enjoy the date,ask for a date,get married,A
30053,Robin started school today and the others were very curious about her.,What will Others want to do next?,The others will ask questions next,The others will ignore her next,introduce herself,A
30054,Taylor answered this question with certainty after some long deliberation of it.,How would you describe Taylor?,creative,pensive,confident,C
30055,Jordan ate all of Sydney's food and had to get more because Sydney was hungry.,How would Jordan feel afterwards?,rude,lazy,scared,A
30056,Riley opened up the form because they were expecting a check in the mail.,Why did Riley do this?,send a letter,get some money,check the mail,B
30057,Jordan looked high and low for the missing car keys but couldn't find them.,Why did Jordan do this?,hide the keys,ask if anyone has seen them,leave the house,C
30058,Bailey allowed their dog to run free at a dog park along with other dogs.,What will Bailey want to do next?,leave the house,get a dog,make sure the dog stays in an area where dogs can run free,C
30059,Queen called Carson's mom and told her to come pick him up because he was being mean.,How would you describe Quinn?,guilty,Like a troubled kid,Like a wimp kid,B
30060,Lee rushed upon Quinn's house to throw eggs at it as a prank.,Why did Lee do this?,have fun,annoy Quinn,keep throwing eggs at quinn's house,A
30061,Austin went ahead decided to build Quinn a house.,What does Quinn do after the house is built?,hug Austin for the good deed,destroy the house that Austin built for them,fight Austin for not building a nice house,A
30062,Austin's family has always supported them so he has decided to make their fortunes.,Why did Austin do this?,prepare for the future,Austin's family forced him to,supportive,A
30063,Jan camped with friends after a long week at work where nothing meaningful was accomplished.,Why did Jan do this?,pack for the trip well,recharge,worry,B
30064,Ash smacked Bailey's lips because Bailey was telling mean lies about Ash.,How would you describe Ash?,feeling passive,feeling sad,angry,C
30065,Austin took Cameron's measurements in order to make a suit for them.,What will Austin want to do next?,forget the measurements for a while,start to make the suit,buy a suit,B
30066,Lee gave Kendall an opportunity to improve his grades on the test.,How would Lee feel afterwards?,not grateful at all,Like he was given a chance,like a waste,B
30067,"After many months of discussions and planning for the big date, Austin and Addison made an announcement that they were getting married.",What will Addison want to do next?,get a wedding location,call their parents,get a wedding dress,B
30068,Several clients stated they preferred Jesse's format for the invoices. Taylor begins to use Jesse's format.,Why did Taylor do this?,confuse the clients,make it chaotic,please the clients,C
30069,Aubrey finally went to bed after his mom yelled at him to get off the game.,What does Aubrey need to do before this?,put on the pajamas and turn off the lights,Get found out,double check the alarm clock,A
30070,Jordan gave Taylor the right of way when they were at the four way stop.,What does Jordan need to do before this?,hurt others,want to drive,wabe back after Taylor waves,B
30071,Alex went to a Christmas party and played white elephant. Alex exchanged the gifts.,How would Alex feel afterwards?,a sense of community,all by themself,Fun at parties,A
30072,Remy thought about it for a long time and chose his option carefully.,Why did Remy do this?,decide to think about it,make the right decision,make the wrong choice,B
30073,Sasha's assistance was so helpful that Sydney thanked god for them being there.,How would this make Sasha feel afterwards?,happy that Sydney appreciated their assistance to them,slighted by Sydney for them being overly nice,mad that Sydney was over exaggerating their assistance,A
30074,Taylor gave their daughter a hug after she won the competition.,How would you describe Taylor?,Cruel to her daughter,Reckless,Very loving,C
30075,Alex saw a lion at the zoo after it had escaped from the cage.,How would Alex feel afterwards?,happy,excited,nervous,C
30076,Tracy couldn't get outside to mow the grass since she was sick. Jan mowed Tracy's grass for her.,How would you describe Jan?,a thoughtful person,a uncaring person,a mean person,A
30077,Sydney wrote out their ticket and told them to enjoy the show.,What will Sydney want to do next?,get a job at the theater,get payment from the customers,let others into the show next,C
30078,Robin kept her jacket together with safety pins and paperclips.,How would Robin feel afterwards?,Unkept,felt she should have sewn the buttons back on her jacket,Poor,A
30079,Sydney slid Taylor's hands down her blouse after a romantic dinner.,What will happen to Sydney?,be kissed,go home,Sydney's breasts,A
30080,Robin transmuted her mother's jewelry into gold so that it could be an investment for the future.,What does Robin need to do before this?,clean it,needed to not want any changes to the jewelry,needed to know gold was valuable,C
30081,Jordan gave them something to eat and they got full quickly.,Why did Jordan do this?,loved,bored,take a nap,A
30082,"Sydney didn't know how to look professional for the interview, but Kai helped Sydney with her look.",What will Kai want to do next?,go to the interview,Ask Sydney how it went,thank Kai,B
30083,Alex allowed their parents to enter the building and had a nice long chat.,How would you describe Alex?,feeling loved,feeling bored,feeling passive,A
30084,"Casey saw a sign saying ""no motorbikes"" but decided to ignore it and took his motorbike off road because he really wanted to ride in that area.",How would you describe Casey?,impulsive,proud,courageous,A
30085,Bailey fell in love with Aubrey right from the start when he first saw her.,How would Aubrey feel as a result?,go out and have fun,not do anything together,shy and sad,C
30086,Addison read the newspaper everyday over breakfast before going to work.,Why did Addison do this?,take a few moments to relax in the evening,find out what was happening in the world,drink some juice,B
30087,Robin went to Las Vegas and risked her husbands entire savings account on the roulette table.,How would Robin feel afterwards?,remorse,would ignore her angry husband,would be fine with throwing all the money away,A
30088,Casey looked at Quinn with her eyes because she felt like Quinn wasn't telling the whole truth.,What will happen to Casey after?,break up with Quinn,that they are being judged,uncomfortable,C
30089,Lee was hungry after a long night at work so they ate Alex's breakfast.,How would Alex feel as a result?,upset at Lee,happy with Lee,guilty for eating Alex's breakfast,A
30090,Taylor was driving down the street and got hit by a big car.,What will Taylor want to do next?,bored,get to school,happy,B
30091,"Jan was entered into a local tennis match, so Jan went and played hard.",Why did Jan do this?,were lazy,were bored,were good at tennis,C
30092,Ash sent Addison to a school for troubled children that has a good track record of reforming them.,What will happen to Addison?,be a good parent,learn to do wrong,be reformed,C
30093,Remy and Alex had gone to the beach for a vacation.,What will happen to Alex?,go to a skyscraper,lay on the beach,climb a mountain,B
30094,Tracy wanted to give their partner an apology gift. Tracy gave them a puppy.,What will the partner want to do?,cherish it,spend time with Tracy,forgive Tracy's actions,A
30095,Sasha took their sibling to the library for a reading hour. They were read stories by clowns.,What will Sasha want to do next?,laugh at the funny stories,get their sister ready,leave for the library,A
30096,"Robin let Kai in, but locked the door behind Kai because there was a strange man following them.",What will Kai want to do next?,look out the window,alert the cops,ask Kai what's up,B
30097,The others decided to exclude the new boy but Addison liked everyone and wouldn't go along with it.,Due to this what will the others do next?,take out an ad,accept the new boy,invited the new boy to the birthday party,B
30098,Robin called the pizza company so they could deliver to her.,What does Robin need to do before this?,go to the grocery store,get a taco,order a pizza,C
30099,"Casey's daughter Skylar is ""growing like a weed."" Since she has grown so quickly nothing fits Skylar anymore. Casey says they will need to get Skylar new things.",What will Casey and Skylar buy?,buy clothes and new shoes in a larger size,buy Skylar clothing in the same size,buy Skylar clothing in a smaller size,A
30100,Sydney enjoyed the meal that they had at the restaurant with their friends.,What does Sydney need to do before this?,stay at home,chat with friends,pick out food,C
30101,Taylor went to the store to see if they could buy some bread for their family.,Why did Taylor do this?,be rude,do something nice for someone,drive to the store,B
30102,Sasha wasn't feeling very well and excused themselves from the staff meeting.,What will happen to Others?,ok,throw up in the bathroom,be sent home to rest,C
30103,Tracy packed up the car and headed home for the holidays.,Why did Tracy do this?,be alone for Christmas,be alone for the holdays,spend time with her friends,C
30104,Quinn needed some money so Jan put money in Quinn's bank.,How would Jan feel afterwards?,they lost money,a friend who needed help,they gave Quinn money,C
30105,Austin got full at dinner and was unable to finish the rack of ribs and all of the side dishes he ordered.,What does Austin need to do before this?,go to a restaurant before this,wrap the rest up,go home before this,A
30106,Carson got their friends together to go bowling. They had fun.,What will happen to Others?,she will be happy,Others will think highly of Carson,she will go again,B
30107,Alex assisted his friend in identifying the fruit before they tried something they found in the wild.,What will Alex want to do next?,make a pie,try it,make a smoothie,B
30108,Riley gave Casey a report on the project because she wanted Casey to know what was going on.,What will happen to Casey?,call again,get assigned something,be ignored,B
30109,Bailey gave her friend the opportunity to participate in a raffle to win a video game system.,How would Bailey feel afterwards?,cruel,hateful,caring,C
30110,"Cameron was violent and one day, after making them mad, Cameron broke my leg with the baseball bat.",What does Cameron need to do before this?,Call for help for my broken leg,Apologize for breaking my leg,Find and pick up a bat,C
30111,Kai had finally arrived at their friends house to work on homework.,What will Others want to do next?,spend time with her friend,start their homework,start their class,B
30112,Robin gave Casey a blow horn but Casey did not know how to use it.,What does Robin need to do after this?,learn the blow horn,show Casey how to use it,show Casey how to use the gift,B
30113,Casey got their old shirt out and starting remembering past events.,How would Casey feel afterwards?,good,proud of the past,longing,C
30114,Jesse rang the bell attached to the bedside table at Mercy General and told the nurse that the pain was increasing.,What will happen to Jesse?,The nurse will put the dinner tray on the bedside table for Jesse,The nurse will give Jesse pain medication in the IV attached to the bedside table,discharged from the hospital,B
30115,Ash cannot go home for dinner.  Casey delivered Ash's message to her mother.,What will Ash want to do next?,need to verify the phone number to call,say goodbye to Ash's mother,need to come up with an excuse,C
30116,remy was looking to adopt children and she wanted a certain group of kids.,What will Others want to do next?,keep remy away from the kids,let remy adopt the kids,ignore remy,B
30117,Aubrey bought Casey a pair after she said she loved the new shoes.,How would you describe Aubrey?,friendly,like she mattered,selfish,A
30118,Aubrey thought Jesse was sick because Jesse looked rather pale.,How would you describe Aubrey?,indifferent,concerned,unwell and weak,B
30119,Lee put Cameron's blanked around Jordan without permission because Jordan was cold.,What will happen to Lee?,get yelled at my Cameron,be comfortable,be warm,A
30120,remy was a good citizen of society so he saved austin's life.,How would you describe Remy?,like a good person,as kind,as selfish,A
30121,Carson had gone through a large string of lovers without considering their feelings.,How would you describe Carson?,dismissive of others,jealous of Carson's ex lovers,sensitive to others needs,A
30122,Even though Casey blew Austin off Austin till talked to Casey because they were good friends.,Why did Austin still talk to Casey?,valued their friendship,forgive Casey for that,offered him a bribe,A
30123,Ash kissed on the forehead because he bumped it on the roof.,How would Austin feel as a result?,cared for,mad,guilty,A
30124,Robin shot the bull. She didn't want too but her family needed the food.,How would Robin feel afterwards?,like she did the right thing,uplifted by the experience,like shooting another bull,A
30125,Riley had high blood pressure after eating all the pie.,How would you describe Riley?,gross,a bit sick,happy,B
30126,Casey never gave Cameron respect and then found out how it was to be thought of so poorly.,How would Casey feel afterwards?,kind,ashamed,thoughtful,B
30127,Her mother ignored the apology she had written so Casey wrote another note.,Afterwards how would Casey feel?,Likes to write things down,loved,ignored,C
30128,Carson was hired by Riley to build the website for her new iPhone app.,What will Riley want to do next?,build the website,understand Riley's preferences,launch the app,A
30129,Remy got their exam back and saw that the final score wasn't as good as expected.,What does Remy  to do before this?,Tear the exam up and cry,take the test,complain about the score,B
30130,Skylar put air in ashes car after he passed gas in it.,How would you describe Skylar?,embarrassed at the fact he stank up the car,A caring person,sick to their stomach due to the smell,A
30131,Riley threw away the scraps that were left over from dinner.,What does Riley need to do before this?,gather all of the trash,feed the scraps to the dog,wash the dishes by hands,A
30132,Alex bought Carson's phone and it was really nice.,How would Alex feel afterwards?,Good to have a phone,Like they wish they had one that's nice,excited,C
30133,Skylar was performing at a concert. Skylar played another song.,What does Skylar need to do before this?,practice,play an encore,write a song,A
30134,Lee married his high school sweet heart three times over the years.,What does Lee need to do before this?,marry them again,live happily ever after,plan another wedding before this,C
30135,jan was a sneaky bastard so she took their wallet out to pay.,What does Jan need to do before this?,stay at home,steal the wallet,pay for their friend's meal,B
30136,Kendall lost control of her car quickly when it slid on the icy road.,How would Kendall feel afterwards?,bad at driving their car,worried,happy,B
30137,Skylar dropped her phone in the toilet so she needed a new phone.,How would you describe Skylar?,very careful,frustrated about it,very clumsy,C
30138,Sydney told Remy what had happened and Remy felt bad for Sydney and offered to help.,What will happen to Sydney?,refuse help from Remy,ask Remy to give them space,kind,A
30139,Riley left the store after she stole things.,What will Riley want to do next?,run quickly,escape the store after stealing,leave before the police arrived,C
30140,Kai imposed upon Tracy the rules of the club that Tracy wanted to join.,What does Kai need to do before this?,make sure that Tracy follows the rules,be able to impose the rules,accept Tracy as a club member,B
30141,"Jordan and Alex had become close friends, one day Jordan whispered a secret in Alex's ear and Alex promised never to repeat it.",How would Alex feel as a result?,distrusted,trusted,unsupportive,B
30142,Austin gave Robin a believable reason for why he did not come home last night.,How would Austin feel afterwards?,upset with himself for being untruthful,a good story teller,glad he was able to lie effectively,A
30143,Jordan stayed afloat even though he was falling behind on his bills.,What will Jordan want to do next?,Buy a new car,Quit his job,Reduce his spending,C
30144,Jan met the organization's newest employee and showed her around.,How would Jan feel afterwards?,helpful afterwards,ignored afterwards,upset afterwards,A
30145,Riley faced an uncertain future with a good attitude and good character.,How would you describe Riley?,they were honorable,As someone with character,they were raised right,A
30146,Bailey's boyfriend was trying to rape her so she ended up shooting and killing him.,How would Bailey feel afterwards?,happy he was dead,happy the situation happened,relieved to be out of the situation,C
30147,Alex was making dinner for his mother every day of the week.,Why did Alex do this?,help his parents,serve the dinner,do the dishes,A
30148,Jesse met a girl named Kendall and asked if she would like to go out.,What will happen to Kendall?,have a good night out,decide what to say,scold the other person for insulting them,B
30149,Remy walked right into the door and fell down and saw stars.,What will Remy want to do next?,be walking clumsily,sit down for a minute,be in a hurry,B
30150,Jordan gave their sibling a little something special for their upcoming birthday.,Why did Jordan give them this?,neglect their sibling's birthday,ignore their sibling's birthday,observe their sibling's birthday,C
30151,Bailey always takes her dog to the dog park in the afternoon but is always hungry at the end.,What will Bailey want to do next?,got exercise,go to a restaurant,hasn't eaten in a while,B
30152,"Kai worked as unto the Lord at work when things didn't go right and his association with his boss, Sydney,  increased and increased his pay.",Why did Kai do this?,brag on himself,please his savior,trash his co-workers,B
30153,Taylor wanted to show Sasha how much he cared so first he pushed Sasha's hair back.,What will Taylor want to do next?,give Sasha a hug,wanted to kiss Sasha,run away from Sasha,B
30154,Carson beat the bishop to death with a baseball bat.,What does Carson need to do before this?,play a game of chess,The bishop attacked Carson first,find the bishop,C
30155,"There was no food left after the party at his house, so Skylar told Lee to bring something to eat.",What will Skylar want to do next?,go out by himself,have lunch with Lee,call his mother,B
30156,Sydney put flowers in the vase and cleaned the house before everyone arrived.,Why did Sydney do this?,did this to be prepared,buy some flowers,did this to sabotage,A
30157,Jan learned how to dance and like to practice a lot.,What will Jan want to do next?,dance for others,talk about her dancing,like it before this,A
30158,Cameron cut Bailey's hair into a bob but it came out super uneven.,What will happen to Bailey?,be reprimanded,'ll get a tip,fix Bailey's hair,A
30159,Casey made ends meet by working a bit harder at the job site.,How would Casey feel afterwards?,passive now,lazy now,proud now,C
30160,Taylor walked three miles to work determined to not be late.,How would you describe Taylor?,Glad they put forth the effort,A hard working and persistent individual,a person who doesn't care about their job,B
30161,Everyone was trying to hear the movie but Lee was talking too much.,What does Lee need to do before this?,move away from Lee,tell Lee to be quiet,be respectful of others,B
30162,Kai passed the Casey act after Casey was run over by a drunk driver.,What will Casey want to do next?,save other people,honor his friend,recover from their injuries,C
30163,The cat scratched Riley's face and they had to go see the eye doctor.,How would you describe Riley?,hurt,paranoid about injuries to their eyes,bad,A
30164,Riley cried in their beer after having a long and difficult day at work.,How would you describe Riley?,happy,sad,upbeat,B
30165,Tracy gave Jan permission to eat because she had waited a long time and was starving.,What will Jan want to do next?,ignore food,prepare something to eat,chat with Jan,B
30166,Kendall asked questions in the meeting.  They wanted to understand more about their company's new policy.,What does Kendall need to do before this?,memorize questions to ask,analyze the new policy,learn more about the company,A
30167,Austin practiced almost every day be he still stunk at ice skating.,How would Austin feel afterwards?,accomplished,disappointed,proud,B
30168,Sasha made Riley's mom happy with the bouquet of flowers.,How would Riley feel as a result?,a butt kisser,very generous,Very kind,C
30169,Sasha touched them self when she was alone in her room.,Why did Sasha do this?,get ill,good,gross herself out,B
30170,Aubrey made a mess when she cut my hair.,What will happen to Aubrey?,Clean the scissors,be sorry,happy,B
30171,Casey admired the Patriots' quarterback.  Casey met them in person.,What will Others want to do next?,allow Casey to take their picture,watch the quarterback play football,find where to meet the quarterback in person,A
30172,Addison held Ash tightly when it was raining outside at night.,What will happen to Addison?,Get wet,thanks them for it,think of Ash better,A
30173,Alex bought Jordan a new one and wore the new shoes to the mall that day.,What will happen to Alex?,get a lot of compliments,cool,detached,A
30174,Sasha developed Austin's positive attitude by giving him a lot of encouragement.,What does Sasha need to do before this?,comfortable,scold him thoroughly,praise Austin,C
30175,"Kendall prepares sandwiches for a party. Kendall knows some people don't like things on their sandwich. She prepares some without mustard, mayonnaise, and lettuce.",How would Kendall's friends feel about this?,Grateful,prepare other party snacks,Angry,A
30176,Kai put their methods into action and won an award at work.,How would you describe Kai?,boring,spineless,creative,C
30177,Ash was convinced Taylor would be fine in the big play this coming Friday.,Why did Ash do this?,see Taylor in the play,bored,great,A
30178,Aubrey educated their children against bullying so they would be better people.,What will Others want to do next?,not be mean,have children,raise the children,A
30179,Remy was unsure about how to do the project so Quinn provided a good framework for Remy to work from.,Why did Quinn decide to do this?,help Remy to a good job on the project,didn't care if Remy did well,wanted Remy to fail,A
30180,Alex never really paid attention in class and wasn't doing well.,What will Alex want to do next?,fail,ask fro extra credit,lazy,A
30181,Kai finally convinced his husband to get a new dog there.,How would his husband feel as a result?,a person that cares about animals,Like he had no opinion,Like he was swayed,C
30182,Ash was decorating his new apartment with all his original artworks.,Why did Ash do this?,quit art,continue to paint original pieces,not paint anymore,B
30183,Jesse has worked all year extremely hard and they needed a vacation to rest.,Why did Jesse need this?,ask for time off,get much needed relaxation,go work on another business project,B
30184,Robin took Kai home to play some video games for a few hours.,Why did Robin do this?,go to Kai's house,ask Kai out,skilled,B
30185,"After going on their first date, Alex kissed Lee deeply because he felt sparks fly.",What will happen to Lee and Alex?,break up,fall in love,go back to school,B
30186,Sydney was embraced in the grasp of a muscular man they embraced and kissed each other in a public space.,What will Others want to do next?,were attracted to the man,were charmed by the man,move away from the couple,C
30187,"Casey hired an excellent realtor, Ash, who sold Casey's house quickly for a great price.",How would Ash feel afterwards?,proud,thankful,nervous,B
30188,Aubrey had a huge party and the others were happy to attend.,How would Others feel as a result?,entertained as a result,The others would fee disrespected as a result,offended as a result,A
30189,"After Jan gave Bailey another shot, Bailey felt like crap and tried to bake banana bread.",What did Bailey do after another shot?,tried to take another shot,helpful,tried to bake banana bread,C
30190,Sasha got a new job and met the boss and was told they needed to work hard.,How would you describe Sasha?,bored,unemployed,hard working,C
30191,Kendall and Sydney were in long time abusive relationship. Kendall prevented Sydney's attempt to leave the relationship by hitting Sydney very hard.,How would Sydney feel afterwards?,unsafe and unprotected,scarred for love,for unprotected sex,A
30192,Remy has just returned from his vacation abroad with souvenirs. Remy gave gift's to their friends.,What will Others want to do next?,Treat Remy to lunch as thanks,buy souvenirs for their friends,purchase gifts for their friends,A
30193,Jordan pointed to the poisonous spider that was sitting on Quinn's finger.,Why did Jordan do this?,need to notice the spider,let Quinn know there was trouble,need to see the spider,B
30194,Cameron took her pet to the veterinarian to have it looked at for some rabies.,What will happen to Others?,put their pet to sleep,strong,get a new pet,A
30195,Alex kept Casey occupied then put them to sleep until their parents got home.,What will Alex want to do next?,hide the beer,leave the home,sleep with Casey,B
30196,Cameron won Quinn's award even though Cameron was not expecting it.,How would Cameron feel afterwards?,modest,angry,surprised,C
30197,Sasha showed Kai's daughter that new doll that she got for Christmas.,What will happen to Kai?,get asked for the doll by his daughter,be told by his daughter that she does not want the doll,play with the doll,A
30198,Jordan got accepted at Harvard. They moved across the country last year.,How would Jordan feel afterwards?,not such a big deal,happy to attend a good college,happy to make new friends,B
30199,Cameron killed their son by tickling him over and over.,Why did Cameron do this?,express dismay,leave his son alone,be fun as much as he can,C
30200,"Tracy robbed a bank, killing everyone except Alex. She let him stay alive.",What will Alex want to do next?,rob a bank,wanted to get rich,call the police,C
30201,Aubrey took a big bite of her burger because she was so hungry after the workout.,What will Aubrey want to do next?,get a burger,make a burger,chew food,C
30202,kai was new to the city so he kept going on dates.,How would Others feel as a result?,unsatisfied,annoyed,content,B
30203,Ash saw a hole in their reasoning and cut a wide swath in the argument.,Why did Ash do this?,asset dominance in the negotiations,be aggressive in the negotiations,correct illogical reasoning,C
30204,Carson got evicted from their apartment. They refused to pay rent on time.,What will Carson want to do next?,find a new apartment,get kicked out of his apartment,stay in the old apartment,A
30205,Remy was cleaning out Jordan's garage for him when Jordan was sick in the hospital.,How would you describe Remy?,helpful,lazy,thankful to Remy,A
30206,Taylor's family had a dog and Taylor loved the dog also.,How would Taylor feel afterwards?,a pet owner,Glad to talk about a pet,good for having a dog,C
30207,"Sasha is not only an apprentice, but she is an apprentice to her mother and usually takes her place when she is not available.",What will Others want to do next?,work with Sasha,dissuade Sasha's mother from setting tasks for her,ask to be an apprentice,A
30208,Bailey was able to see Remy after Bailey was mean and banged on the door.,What will Remy want to do next?,make Bailey leave,find remy,invite Bailey inside,A
30209,Jordan ate all of Sydney's food they cooked for them.,How would you describe Jordan?,upset,Someone that enjoyed their dinner,angry,B
30210,Jordan took his sister to the circus and did not invite anyone else.,What will happen to Others?,want to go to the circus,left out,have a good time,B
30211,Austin went with Remy to a fortune teller and Remy was a little hesitant to go.,Why did Austin do this?,wanted Remy to give her hand to the fortune teller after his turn,pretend to get sicked,See what Remy's fortune was,C
30212,Remy hadn't thought of anything about what to wear for the giant dinner tonight.,What will Remy want to do next?,smart,passive,lazy,C
30213,Jordan's washer overflowed and flooded the laundry room. Jordan called a repairman.,What will Jordan want to do next?,put down a carpet,clean up the water,clean up the mess,B
30214,Gary was about to strike Robin. Robin raised their hand in protest.,Why did Robin do this?,wanted to avoid being hit,wanted to hug Gary,wanted to dance,A
30215,Carson issued an edict to Kendall to ask her to build an army.,What will Kendall want to do next?,issue an edict to Carson,look at the costs,edit the edict,B
