,context,question,answerA,answerB,answerC,correct
12,A Jordan procurou e encontrou terapia para ajudar os seus problemas.,O que vai acontecer com os Outros?,Ficar zangado que a Jordan tenha recebido ajuda da terapia.,apoiar Jordan para si mesmos obtendo ajuda com terapeuta,Ignora a Jordan por ir a terapia.,B
13,O Austin subiu ao comboio para viajar muito longe.,Porque é que o Austin fez isto?,Conhecer pessoas diferentes por todo o lado,"- Não, não.",Dormir em todos os locais,A
14,"Quando a Skylar começou a comer tarte, não conseguia parar.",Como é que a Skylar se sentiria depois?,sentia-se cheio,Um verdadeiro amante de tarte,Gosto muito de tarte.,B
15,Kendal viu Ash carregando uma caixa grande e abriu a porta para Ash.,O que o Kendall precisa fazer antes disso?,caminhar pela porta,feche a porta,.,C
16,Casey viu uma estrela cadente enquanto eles estavam acampando uma noite.,Como Casey se sentiria depois?,awestruck,triste,aventureiro e curioso,A
17,A Casey pagou à caixa e levou as malas para o carro.,Como descreveria o Casey?,Uma mãe ocupada.,Aborrecido.,indiferente,A
18,A Riley acabou de jantar e levou os pratos para a pia.,O que é que a Riley vai querer fazer a seguir?,Tirem o sabão para lavar a louça,secar,pediram para ser dispensado da mesa,B
19,"Kai não tinha certeza se ouvia Sasha, então repetia suavemente o que tinha sido dito.",O que vai o Kai querer fazer a seguir?,- Não .,Pergunte se ele ouviu bem.,lavagem de pratos,B
20,A Riley molhou as roupas novas que a Taylor comprou antes de as lavarem para ter a certeza de que estavam limpas.,O que é que a Taylor vai querer fazer a seguir?,Para as roupas a serem compradas,Tenha cuidado .,Veste as roupas novas.,C
21,O Remy comprou luvas novas e experimentou-as para ver se se encaixavam.,O que é que o Remy vai querer fazer a seguir?,Usem as luvas deles.,comprar um trenó,comprar um burro,A
22,"Depois de muitos encorajamentos de amigos, Alex passou mais tempo com as pessoas da comunidade.",O que vai acontecer com o Alex?,Fazer novos vizinhos,Tornar-se bem viajado,ser mais sociável,C
23,Taylor disse a Alex que ia fazer uma viagem e perguntou se ele gostaria de se juntar a ele.,O que é que o Alex vai querer fazer a seguir?,Pergunta ao chefe deles.,"A seguir, rir-se-ão da Taylor.",Não aceites o convite da próxima vez.,C
24,Remy preparou outra xícara de sopa para a criança doente com febre.,Como descreveria o Remy?,mimado,Como um bom pai.,Cuidadoso,B
25,lee era rico e se sentia culpado de modo que ele deu muito dinheiro para a caridade.,Como os outros se sentiriam como resultado?,como ingrato,como apreciativo,como desapreciativo,B
26,Kendall sempre quis ser ator na televisão. Kendall conseguiu o papel principal no programa de televisão.,Como se sentiria a Kendall depois?,muito ansioso,Muito chateado.,Muito feliz.,C
27,"A Cameron estava doente na escola e mal conseguia ficar de pé, por isso o Aubrey levou a Cameron para casa descansar.",Como descreveria o Aubrey?,confiável,uma pessoa que pensa nos outros,Uma pessoa que dá prioridade aos seus próprios interesses,B
28,A Alex limpou o olho da Remy porque ela notou que o rímel dela estava a começar a manchar.,O que é que o Alex precisa de fazer antes de fazer isto?,Beija o Remy .,Dê-lhes mascara .,Olha para o Remy.,C
29,O Casey era alérgico a cães e o cão do Jesse afetou a saúde dele.,Como se sentiria o Casey?,Doente,Não tem consideração pela saúde do Casey.,negligente da saúde do Casey,A
30,Carson reuniu seus amigos para compartilhar as grandes notícias.,Por que Carson fez isso?,fez isso para comemorar,Comemore com seus amigos,fez isso para lamentar,B
31,"Addison adorava batatas fritas demais, pois estavam a engordá-lo.",Como se sentiria a Addison depois?,Gordo e infeliz.,rápido e atraente,magro e feliz,A
32,"O Casey estava preocupado quando o comboio começou a tremer, mas chegaram à paragem e o Casey saiu bem.",O que vai querer fazer o Casey a seguir?,Vai ver um médico.,Entra no comboio.,apanha um táxi para casa.,C
33,"Como é a refeição favorita de Sasha e fácil de fazer, Sasha comeu pão torrado todas as manhãs.",Como descreveria a Sasha?,Satisfeita porque gosta de torradas .,Uma obcecada com pão,Pronto para começar o dia .,A
34,"A Skylar estava grávida, por isso sentiu um movimento na anca.",Como descreveria a Skylar?,tão estranho,tão tenso,tão calmo,C
35,"A Kendall queria ver um filme, então foram ao cinema e escolheram o último lançamento.",Como se sentiria a Kendall depois?,ansioso,descontentado,relaxado,C
36,"Depois de se candidatar a diferentes lugares por meses, Robin finalmente conseguiu um novo emprego.",Como é que a Robin se sentiria depois?,orgulhoso,envergonhado,Deprimido,A
37,"Riley vem tentando ganhar um torneio de jogo nos últimos 3 anos, mas sempre entrou em segundo",Como se sentiria Riley depois?,Um vencedor,"frustrado, mas depois ele se lembrava que era melhor que o primeiro lugar vencedor.",frustrada e derrotada,C
38,"A Skylar queria conhecer o Alex há muito tempo, porque gostava da aparência dele.",Como é que a Skylar se sentiria?,triste,Bonito.,Seja feliz.,C
39,A Kendall ajudou a acender o fogo porque estava com frio e fome.,Porque é que a Kendall fez isto?,Fizeste isto para te livrares da madeira,Fizeste isto para aqueceres,Fizeste isto para causar problemas,B
40,Cameron foi acusada de assédio sexual depois de vários alunos falarem.,Como se sentiria a Cameron depois?,vitorioso,Envergonhado das suas ações.,orgulhoso das suas ações,B
41,A Skylar não sabia o que iriam fazer na vida até terem um bebé.,O que vai a Skylar querer fazer depois?,criar a criança,Casar-se,Ignore a criança,A
42,"Embora soubesse que era errado, Bailey julgou a falta de justiça desse homem.",O que é que a Bailey precisa de fazer antes disto?,Conheço o homem.,Seja justo,Deixa o homem .,A
43,Jan era a babysitter favorita de todos porque brincava com crianças.,Como descreveria o Jan?,Ela vai conseguir mais empregos de babysitting.,Ela nunca mais vai tomar conta de crianças .,Ela nunca será paga por cuidar de crianças.,A
44,"A Riley não deixou nada à imaginação, enquanto revelavam tudo ao marido.",O que é que a Riley vai querer fazer a seguir?,Escondem-se dos maridos.,Certificar-se de que o marido entendeu tudo .,atrair o marido com mais revelações,B
45,O Ash ajudou o Casey a vender a casa.,O que vai acontecer ao Ash?,Que o Casey agradeça-lhe .,Ele vai vendê-lo .,Ele vai trabalhar duro.,A
46,"Austin lamenta que viu as ações subindo rapidamente, ele tinha ouvido o conselho errado e vendido suas ações no dia anterior.",O que vai acontecer ao Austin?,Lamento profundamente .,Vende-os e ganha mais dinheiro .,Como se fossem ricos.,A
47,"Mesmo que Jesse estivesse tendo um dia ruim, ele enfrentou bem cada desafio.",O que vão pensar os Outros?,Uma pessoa forte.,Levanta-te da cama.,Desculpa pelo Jesse.,A
48,Jesse disse a sua mãe que Sasha tinha gripe para que eles pudessem evitar o tempo de brincadeira com Sasha.,Como Sasha se sentiria como resultado?,saudável,inteligente,ostracizado,C
49,Alex encontrou uma casa que ela amava mais perto de seu trabalho.,Porque é que o Alex fez isto?,ela estava olhando,comprar a casa,não olhando,A
50,Jesse deu ao Ash a compreensão da ciência que estavam a aprender.,Como se sentiria o Jesse depois?,útil e gentil,Ainda bem que o Ash aprendeu.,Um bom amigo do Ash.,A
51,A Aubrey tirou o dinheiro da Robin da bolsa dela ontem para drogas.,O que é que o Aubrey vai querer fazer a seguir?,Arrestem o Aubrey .,comprar drogas,Peço desculpa .,B
52,"Kai ficou no chão de Quinn, enquanto Quinn se acovardou no chão do valentão.",Por que Kai fez isso?,Levante-se para Quinn,mostrar o valentão que eles não poderiam empurrar Quinn ao redor,mostrar o valentão que eles poderiam ajudar a empurrar Quinn ao redor,B
53,A mãe de Carson estava a celebrar o aniversário na semana seguinte.,Porque fez o Carson isto?,Queria comprar um presente .,Enviar convite para uma refeição de aniversário,reservar um local para uma refeição de aniversário,A
54,A Tracy contou aos pais sobre a briga na escola.,O que é que a Tracy vai querer fazer a seguir?,Diz aos pais deles,Explique por que ela fez isso.,Não gosta de irritar os pais.,B
55,A Robin ajudou a mãe do Remy com um grande projeto que tinham de completar.,Como se sentiria o Remy?,orgulhoso,louco,desanimado,A
56,Bailey parecia gostar do trabalho e chegou cedo quando uma promoção estava disponível.,Porque é que a Bailey fez isto?,Candidate-se à promoção,fez isso para fazer um bom trabalho,Esforce-se ainda mais para conseguir a promoção,C
57,"A Taylor olhou mais de perto para o relatório na reunião de hoje, depois do almoço.",Como é que a Taylor se sentiria depois?,feliz,preocupado,irritado,B
58,"Jordan se cansou de Addison sempre batendo nele, então ele o derrubou e apertou o rosto de Addison no chão.",O que a Jordânia precisa fazer antes disso?,Fuja de Addison,Decidir não lutar com Addison,começar uma luta com Addison,C
59,A Kendall também disse que tudo parecia bom e que continuas a fazer o bom trabalho.,O que é que a Kendall precisa de fazer antes disto?,Trabalhar no seu próprio projeto,procura de trabalho,Como o trabalho.,C
60,"Depois de tomar banho, Jordan estava limpo e brilhante.",Como se sentiria Jordan depois disso?,Invisível,vazio,higiénico,C
61,Taylor decidiu utilizar o primeiro nome de Jordan para nomear seu novo bebê.,O que a Jordânia deseja fazer a seguir?,hold Jordan,nome do filho,preenchimento da declaração de nascimento,C
62,Tracy jogou futebol profissional por muitos anos depois de ser contratada.,Como Tracy se sentiria depois?,um profissional de trabalho duro,Preguiçosa,Realizado,A
63,"Querendo manter o público a salvo da situação, Robin manteve o lobo longe da porta.",O que vai querer fazer a seguir?,Deixe o lobo correr livre.,Não se preocupe com o lobo.,Certifica-te que ninguém se aproxima .,C
64,Kendall tinha lido os resultados de uma pesquisa e tinha em mente quando pensava sobre o assunto.,Como se sentiria a Kendall depois?,inteligente,Ainda bem que pensaram no que os outros pensam.,dedicado,A
65,A Robin levou a Riley para fazer um piercing na orelha no aniversário dela.,Como descreveria a Robin?,Obrigado Robin .,Gosta de dar aos filhos o que eles querem.,Está bem.,B
66,Sydney caminhou junto a Tracy enquanto escutava a história de como o namorado de Tracy saiu.,Como descreveria Sydney?,um bom ouvinte,alguém que ignora seus amigos,despondente,A
67,A Aubrey sentou-se à janela do avião para que pudessem olhar pela janela.,Porque é que o Aubrey fez isto?,Veja a vista,Vai dormir.,Olhei pela janela para o voo,A
68,Sydney reagiu muito rapidamente e agarrou a mão do Aubrey.,Como é que a Sydney se sentiria depois?,Muito excitado.,uma sensação de alívio,irritado,B
69,O Taylor tinha um paciente com um ferimento de bala no abdômen.,O que é que a Taylor vai querer fazer a seguir?,Sente-se e documente a operação do paciente,Chame outro cirurgião para operar o paciente,Envie o pâncreas para o incinerador na cave.,A
70,A Sydney ensinou o Carson o básico de como fazer um bolo.,O que é que o Carson vai querer fazer a seguir?,Tente por conta própria.,Gosta de ensinar os outros a fazer bolo.,"- Não, não.",A
71,Carson foi ao shopping e fez alguma compra com a namorada.,Como seria que a Jordânia sentisse como resultado?,excitação,irritação,rude,A
72,Aubrey estava procurando uma saída porque Jan controlava a vida de Aubrey.,Como Aubrey se sentiria como resultado?,Ruim sobre si mesma,Como se ela tivesse cometido um erro,Controlado,C
73,O Skylar encontrou um dólar algures na casa.,O que a Skylar vai querer fazer a seguir?,Não diga nada sobre o que eles encontraram,mantê-lo desde que eles o encontraram,Olhe ao redor da casa,B
74,Carson exerceu a autoridade de Kendall enquanto eles estavam no trabalho.,Como Carson se sentiria depois?,poderoso,um colega de trabalho de Kendall,Exercendo sua autoridade,A
75,"Jordan e Riley estavam se preparando, Jordan estava com ciúmes de que outras pessoas notariam Riley e disse que odiavam sua roupa.",Como se sentiria Jordan depois disso?,alguém que faz o mal mesmo sabendo que é melhor,Uma pessoa mesquinha e mesquinha.,Como se não tivessem as melhores intenções.,B
76,"O filho da Sasha caiu do telhado, por isso ela levou-o para o hospital mais próximo.",O que os Outros vão querer fazer a seguir?,- Arranja-o .,Ignora-o .,ter um carro,A
77,O Carson colocou a mão debaixo de água fria para lavar a sujeira depois de entrar.,O que é que o Carson vai querer fazer a seguir?,enxaguar com sabão,Segue a pista do Carson.,Volte para fora na terra .,A
78,Sydney virou o rosto da Jordan para longe do naufrágio quando as chamas começaram a explodir.,Porque é que a Sydney fez isto?,- Não.,Proteger a Jordânia,Seja um bom amigo.,B
79,"O alarme da Robin não disparou naquela manhã, e por isso ela estava atrasada para o trabalho.",Como se sentiriam os Outros?,atrás,desanimado,alegre,B
80,A Addison produziu uma resposta para a Robin e não foi boa.,Como se sentiria Robin?,triste,feliz,excitado,A
81,O Kai é um terrorista com acesso a muitos explosivos.,O que é que o Kai precisa de fazer antes disto?,Prepara as cargas .,Matar tantas pessoas inocentes quanto puder.,entregaram-se à polícia.,A
82,A Addison fez uma incisão no Bailey para tirar a bala.,O que vai acontecer com a Addison?,Agradeça por ser um bom médico.,ser preso.,Ser preso.,A
83,A Bailey trabalhou duro o dia todo e finalmente estava a chegar a casa do trabalho.,Como descreveria a Bailey?,Como um grande trabalhador,como preguiçoso,Como incompetente.,A
84,A Casey deu à Alex um kit de primeiros socorros para segurar enquanto ela tratava de uma ferida que a Alex tinha feito ao jogar voleibol.,O que o Casey precisa fazer antes de tratar a ferida da Alex?,Localize um kit de primeiros socorros e solução de limpeza,Tira o telemóvel dela e chama uma ambulância .,Limpe a ferida,A
85,"A Sydney encontrou um caminho para a loja, mas o Jesse perdeu-se no caminho de volta.",O que é que a Sydney vai querer fazer a seguir?,gritar com o Jesse .,Fazer um plano para o Jesse.,caminhar com o Jesse,C
86,O Carson disse à Robin que tinham frio e a Robin cruzou os braços sobre o peito do Carson.,O que vai querer fazer a seguir?,Certifica-te que o Carson se aquece .,Aproxima-te deles.,Dá ao Carson água gelada .,A
87,"Jordan é um padre que, durante um sacramento, lavava os pés de sua congregação.",Como se sentiria a congregação depois disso?,É triste que não acreditem.,ligado a Deus,É triste pensar em outras coisas .,B
88,O projeto de Sasha não se manteve fixo e continuou a aparecer.,Como descreveria a Sasha?,frustrado,desanimado,criativo,C
89,"Jan sempre gostou de surfar, por isso ficaram tão chateados quando se mudaram para longe do oceano.",Como se sentiria Jan depois?,não cumprido,Atlético e ativo,Desportistas ou aventureiros,A
90,A Addison era uma professora a ajudar o Ash e deu-lhe algumas dicas para reduzir as opções do Ash.,O que é que a Addison vai querer fazer a seguir?,Deixa o Ash descobrir sozinho.,Deixa o Ash em paz .,Ensina o material ao Ash.,C
91,"Remy não queria ir para a aula, mas os pais disseram-lhes para ir.",Porque é que o Remy fez isto?,Não causar problemas.,Façam o que o diretor disse.,Ouça o professor.,A
92,O Lee veio buscar a Quinn e ir ao cinema ver o último blockbuster.,Como descreveria o Lee?,inspirado,entretido,sentir alívio,B
93,A turma do Aubrey tinha de decidir se se reuniam ou não no Dia do MLK.,Como descreveria o Aubrey?,tímido,insegura,persuasivo,C
94,Jordan visitou os avós do Aubrey naquela tarde para ver como estavam.,Como se sentiria Jordan depois disso?,Fui visitar os avós do Aubrey naquela tarde.,Como uma pessoa carinhosa,Como uma pessoa indiferente,B
95,"Sem que lhe perguntassem, a Robin forneceu comida para os filhos da Kendall depois de ela perder o emprego no mês passado.",O que é que a Kendall vai querer fazer a seguir?,Levar a Robin a almoçar com o novo salário dela .,Pergunte porque é que ninguém a ajudou.,Oferecer comida ao Robin depois de perderem o emprego.,A
96,"A Quinn sentiu-se muito sozinha hoje, mas, felizmente, um grupo de amigos dela estava a planear uma festa divertida naquela noite.",Como se sentiria o Quinn depois?,Irritados que os amigos nunca fazem nada.,Solitário por falta de amizade.,apreciar boas amizades,C
97,Jan fez os pais passarem um mau bocado por ficarem velhos e com cabelos grisalhos.,O que acontecerá aos Outros?,ficar zangado,Não fales com ela.,Rindo com isso.,A
98,A Cameron contou uma história à namorada deles.,O que é que a Cameron vai querer fazer a seguir?,Diz-lhe mais.,Ignora a namorada dele.,Consolar a namorada do Cameron.,C
99,Jordan foi para lá para se dar bem e fez isso por um bom tempo.,Como se sentiria Jordan depois disso?,triste,Feliz e contente,complacente,B
100,A Casey e a Jordan estavam a jogar às escondidas e a Casey escondeu-se no quarto da Jordan.,O que é que o Casey precisa de fazer antes disto?,Salta e assusta-os.,Encontre o quarto da Jordan.,Queria ganhar.,B
101,Cameron ganhou mais dinheiro que o amigo porque trabalhou muito mais.,O que é que a Cameron precisa de fazer antes disto?,roubar do seu amigo,Faça um bom trabalho no trabalho,Chame-se doente para o trabalho,B
102,Tracy descansou um pouco e preparou-se mentalmente para a longa cerimônia no dia seguinte.,Como se sentiria a Tracy depois?,Descansa e pronto,Como dormir uma sesta depois da cerimónia.,A fazer uma pausa na cerimónia da meia-noite.,A
103,A Robin deu à Jordan algo para entender para que ela pudesse estudar mais.,Como é que a Robin se sentiria depois?,Benevolente,impotente,ignorado,A
104,"Como parte da equipe de vendas, Jordan criou programas de conscientização e comentários positivos para atrair clientes.",O que é que a Jordan precisa de fazer antes disto?,ser conhecedor,ser empregador,gerar mais vendas,A
105,Taylor despertou o desejo dos homens batendo-lhes nos olhos no bar.,Como é que a Taylor se sentiria depois?,Gosto de flertar com homens.,assustado,Despreocupado,C
106,Riley começou outro relacionamento depois de estar em um relacionamento quebrado de longo prazo que estava sugando a alma.,O que Riley vai querer fazer a seguir?,seguir em frente,chupar almas,quebrá-los,A
107,Jan queria recuperar o ritmo dos acontecimentos do dia antes de ir para a cama.,O que vai o Jan querer fazer a seguir?,Vai dormir.,Verifiquei o elenco das notícias da TV .,Verifiquei as notícias no telemóvel dela.,B
108,"Sydney sabia que iria piorar, mas não aguentou e arranhou a crosta.",Como é que a Sydney se sentiria depois?,Como fazer de novo,alívio temporário,impaciente,B
109,"A Kendall cozinhou batatas para o jantar da família da Riley, mas queimou-as pretas.",O que é que a Riley e a Kendall vão querer fazer a seguir?,Vai querer feijão verde em vez de batatas,Queima mais batatas pretas,raspar a parte externa queimada,C
110,A Taylor sempre quis viajar para a Ásia antes de começar a faculdade.,Como Alex se sentiria?,Ótimo depois de viajar para a Ásia.,Tem uma sensação de energia recarregada,Como se ele tivesse saudades do seu amigo.,A
111,"O Alex pensava que entendia os trabalhos de casa de matemática, mas precisava de ajuda na parte da divisão.",O que é que o Alex vai querer fazer a seguir?,Obter uma boa nota,Enganar o seu melhor amigo .,Peça ajuda ao pai dele.,C
112,"O Ash não tinha carro, o Carson aceitou levá-lo à escola.",O que vai acontecer ao Ash?,"Vou para a escola, mas vou ter que pagar Ash",Obrigado ao Carson pela boleia .,ir buscar para a escola e chegar a tempo.,C
113,Quinn chamou os cães para dentro quando escureceu demais.,O que quer o Quinn fazer a seguir?,Deixe os cães lá fora.,magoar os cães.,Louvem os cães.,C
114,Taylor estava treinando para se tornar um cabeleireiro e se sentia confortável experimentando-se,Por que Taylor fez isso?,perguntar se outros gostam dos resultados,quis ter um novo olhar,iniciar a experimentação em outras pessoas,B
115,O Carson perdeu o emprego há um mês e está sentado em casa a tocar bateria o dia todo.,Porque é que isto aconteceu ao Carson?,Tem sido muito barulhento.,Procura outro emprego.,encontrar um novo lugar para viver,A
116,O Jesse estava de cama e não podia passear o cão.,Como descreveria o Jan?,uma pessoa que se preocupa com animais,Feliz por ter ajudado o Jesse .,Refrescado de levar ao ar livre para um passeio,B
117,"O Austin dirigiu-se para o outro andar durante a noite, e o Austin chegou a casa em segurança.",Como você descreveria Austin?,aliviado,uma criança,um adulto,A
118,Casey ficou em frente do Quinn cara a cara com lágrimas nos olhos.,Como se sentiria o Quinn?,animados e alegres por se verem,Felizes e pacíficos com amor em seus corações,Emocional o suficiente para chorar possivelmente,C
119,Remy comprou uma guitarra nova depois de poupar por meses quando a que ele queria ficou disponível.,Como é que o Remy se sentiria depois?,Desinspirado e desapontado,"satisfeito, paciente.",Desgostoso e arrependido,B
120,A Casey chegou a casa com um cão que se encaixava perfeitamente na família.,Como é que o Casey se sentiria depois?,uma pessoa que gosta de animais de estimação,cumpridos posteriormente,Irresponsável depois.,B
121,Quinn necessitou de ajuda de Alex para preparar um grande jantar para todos.,O que acontecerá com Alex?,agradecer,ensinar sobre o jantar,amado,A
122,A Taylor tratou mal a Carson e deixou-a abandonada no meio da noite.,O que vai acontecer ao Carson?,Caminhar para casa,Têm de encontrar o caminho de volta.,Tenho de ir com o Taylor.,B
123,A Skylar sabia agitar as pessoas e irritou a Jan sem tentar.,Como se sentiria Jan?,Relaxado e confortável,Satisfeitos por terem incomodado o Jan.,irritado,C
124,Carson emitiu um edital para Kendall sobre as novas regras do escritório.,Como é que o Carson se sentiria depois?,zangado por ser o chefe.,Como um bom chefe.,Como ir para casa.,B
125,A Skylar falou com o namorado sobre o novo emprego e o quanto ela gostava.,O que os Outros vão querer fazer a seguir?,gostem do trabalho deles.,Trabalhar duro no novo emprego,Parar de trabalhar,A
126,Casey encheu o coração da Sydney de calor depois de lhes dar flores no Dia dos Namorados.,Como descreveria o Casey?,atencioso,Agradecido,Agradecido,A
127,"O Remy era uma pessoa simpática, por isso fez uma analogia com o Lee.",O que é que o Remy vai querer fazer a seguir?,ter um motivo para pedir desculpa,ter perturbado Lee de alguma forma,Pergunta ao Lee se ele entendeu .,C
128,A Skylar fez comida para o funeral da ex-mulher e da filha.,Porque é que a Skylar fez isto?,Amava-os tanto.,Perder a ex-mulher e a filha,Odeiava-os.,A
129,O Carson atacou a Sasha depois de ela ter contado os segredos dele.,Como descreveria a reação do Carson?,vingativo e chateado,calma e racional,Feliz e impressionado.,A
130,Sydney brilhou como o sol depois de fazer o discurso e recebeu muitos aplausos por causa deste ato.,Como descreveria Sydney?,Sentir-se entediado,sentir-se passivo,sentir orgulho,C
131,O Casey trouxe o carro de volta para a Jan depois de o ter emprestado para ir trabalhar.,O que vai o Jan querer fazer a seguir?,Seja simpático com a Jan depois de ela o emprestar .,receber agradecimentos,comprar um carro novo,B
132,A Bailey verificou os bolsos do Jesse para ver o que tinha neles.,O que vai acontecer ao Jesse?,Peço desculpa.,Ficar zangado com a Bailey.,Não encontraram nada nos bolsos.,B
133,"Depois de terem o saco roubado no centro comercial, a Addison carregava o saco em todo o lado.",O que é que a Addison vai querer fazer a seguir?,Fique atento aos traficantes de carteiras .,impedir que os ladrões se movam.,Fiquem atentos aos ladrões de carteiras .,C
134,A Aubrey passou os últimos 50 anos a trabalhar.,Porque é que o Aubrey fez isto?,Fazer o chefe dar um aumento .,Relaxa .,passar mais tempo com a família,B
135,Austin alcançou seus objetivos e decidiu comemorar convidando todos a um restaurante.,O que queremos por Austin?,socializar em seguida,foi excitado,ir para casa seguinte,A
136,"Depois de começar a escola com sua amiga, Robin decidiu fazer outros amigos e não fazer os trabalhos de casa.",O que é que a Robin decidiu fazer?,Encontre uma escola.,decidiu fazer os trabalhos de casa dos outros amigos,decidiu não fazer os trabalhos de casa,C
137,"Addison era voluntária como enfermeira no hospital, visitava todos os pacientes e melhorava o moral.",Como se sentiria a Addison depois?,- É bom.,mau,infeliz,A
138,"O Ash aproveitou-se da Alex, obtendo muitos favores, sem devolver nenhum.",O que vai acontecer com o Alex?,louco,- Não .,Entrar em sarilhos.,A
139,O Taylor pôs o dinheiro no banco para pagar a hipoteca para sempre.,Como é que a Taylor se sentiria depois?,Aliviado por ter feito isto.,Tudo bem .,pagar a casa deles,A
140,Sasha era tão divertida quando iam ao clube de dança.,Como descreveria a Sasha?,Como se as pernas dela estivessem cansadas.,uma pessoa simpática,Uma pessoa má.,B
141,Estava perto do Natal e a Robin precisava de encontrar o presente perfeito para o filho.,Porque é que a Robin foi a várias lojas?,comprar o presente mais caro que ela pudesse,encontrar o melhor presente para o filho dela.,encontrar uma marca específica de presente,B
142,O Lee vai ver a Alex amanhã na feira.,Como Alex se sentiria?,Um bom amigo para Alex.,Gosta de ir a feiras,Como se quisessem ver o amigo deles.,B
143,A Aubrey viu a Taylor a pedir no food court e roubou-lhe a mala de compras.,Porque é que o Aubrey fez isto?,Seja um bom amigo.,Arranja itens de pagamento,ser generoso,B
144,"A Skylar estava bêbada e barulhenta, e gritou ao Lee para lhe trazer bebidas.",Como é que Lee se sentiria com este pedido?,Desiludido e usado,Fico feliz em obedecer.,Renuncia para servir,A
145,Sasha ressuscitou das cinzas para surpreender todos e concorrer a um cargo.,O que é que o Sasha vai querer fazer a seguir?,Era o fraco e queria provar que era diferente.,evitar a estratégia de campanha,Ir para a campanha,C
146,A Kay encontrou o culpado no caso da bolsa desaparecida.,Como se sentiriam os Outros?,Muito ameaçada,um detetive,Mais seguro .,C
147,"Segundo o artigo, o Sasha garantiu ao Lee que ele ficaria bem.",Como descreveria a Sasha?,pessoa odiosa,uma pessoa consoladora,Não há preocupação .,B
148,A Riley achou que a Robin seria perfeita para o emprego.,O que vai querer fazer a seguir?,candidatar-se ao emprego,desperdiçar a oportunidade,Arranja o emprego para a Robin.,A
149,A Cameron tomou comprimidos que lhe deram o médico para a ajudar a relaxar .,O que é que a Cameron vai querer fazer a seguir?,Ela estava ansiosa e estressada.,Ela não conseguia dormir por causa do stress.,Descanse a cabeça,C
150,"O Jesse pensava que havia algo de errado com a Casey, por isso levou-a ao médico para a examinar.",Como descreveria o Jesse?,sentir-se triste,O Casey feliz foi ver um médico.,Está bem.,B
151,Kai foi até a loja e pegou algumas fichas para a festa que seus amigos estavam tendo.,Por que Kai fez isso?,obter algum mergulho para comer com as batatas fritas,comer as batatas fritas com seus amigos,ir a uma festa,B
152,"O Lee era um rastreador experiente, por isso disse ao Ash para seguir o rasto.",O que é que o Lee precisa de fazer antes disto?,Recusar-se a ajudar Ash,Ensina o Ash a seguir um animal.,Conheça o bosque.,B
153,Taylor fez Quinn frustrado quando eles continuaram fazendo piadas bobas sobre eles.,O que Quinn vai querer fazer a seguir?,Faça as piadas,Pense neles,Faça uma piada com Taylor,C
154,A Audrey decidiu acabar com o namorado que a traiu.,O que é que o Aubrey vai querer fazer a seguir?,Descobrir que o namorado dela era infiel.,ir à loja e fazer compras,Encontrar um novo namorado.,C
155,"O Lee viu que a Riley estava com frio, por isso ofereceu-lhe um cobertor.",O que vai acontecer ao Lee?,feliz,Que lhe digam para sair.,ser repreendido,A
156,A Aubrey foi lá fora e encontrou lixo no estacionamento.,O que é que o Aubrey precisa de fazer antes disto?,Vai para o carro.,Apanha o lixo.,Denuncia o lixo .,A
