,context,question,answerA,answerB,answerC,correct
11,"A Taylor estava a fazer o seu trabalho, por isso pôs o dinheiro na gaveta.",O que é que a Taylor vai querer fazer a seguir?,Continua a fazer o seu trabalho.,Pára de pôr dinheiro na gaveta.,Deixou o emprego.,A
12,Carson acordou cedo de manhã e começou a fazer tarefas domésticas.,Porque fez o Carson isto?,Não queria fazer tarefas domésticas.,Queria que o quarto deles parecesse bagunçado.,Queriam fazer as suas tarefas,C
13,Cameron tentou trabalhar com comissão como corretor de ações.,O que é que a Cameron vai querer fazer a seguir?,pedir uma promoção,Tenta outra coisa.,Queria ficar rico.,B
14,A Taylor deu uma mesada à filha e foi mais do que da última vez.,O que os Outros vão querer fazer a seguir?,Diz-lhe para fazer um orçamento do dinheiro dela.,preguiçoso,Amado,A
15,A Tracy protegeu o corpo do Austin do sol com uma espessa camada de protetor solar.,O que vai acontecer à Tracy?,Ajudem o Austin a estar seguro.,afasta-te de todos.,Fica longe de Austin.,A
16,Kai fez um desejo e acreditou verdadeiramente que se iria realizar.,Como descreveria o Kai?,Uma pessoa cínica.,Como uma pessoa que deseja,uma pessoa crente,C
17,"O Jesse caiu da colina e magoou o tornozelo, o Austin ofereceu-se para a carregar e ela enrolou as pernas à volta da cintura dele.",O que é que o Austin vai querer fazer?,Vai para cima da colina.,Leva o Jesse para a sala de emergência .,Sacuda o Jesse e foge.,B
18,"O Lee era uma pessoa simpática, por isso colocou a camisola da Cameron à volta da Jordan para a manter aquecida.",Como se sentiria Jordan?,como ingrato.,como grato,Amigável e social,B
19,Cameron e os amigos estavam a jogar basebol e o Cameron bateu no jogo.,Porque é que a Cameron fez isto?,Queria marcar para a equipa deles.,Correr em torno das bases,Queria ir para casa depressa.,A
20,A Tracy estava a dizer à Jan que precisavam de tomar o volante.,O que é que a Tracy vai querer fazer a seguir?,Sai do carro.,dar mais instruções,Leva o volante .,C
21,A Jordan voltou para o carro da Sydney com a comida que eles encomendaram.,Como se sentiria Jordan depois disso?,Envergonhado depois.,Capaz de depois,- Desagradável depois.,B
22,A Alex e o Carson são melhores amigos.,O que é que o Alex vai querer fazer a seguir?,Falhar a casa do Carson de propósito.,Partilhar as boas notícias que Carson passou,recusar a inspecção,B
23,"A Skylar caiu, mas continuaram a andar porque estavam atrasados para a escola.",Porque é que a Skylar fez isto?,Sabia o que fazer porque era doloroso.,Peça desculpa ao professor por chegar tarde.,Vai à enfermeira buscar uma ligadura,C
24,Ash ganhou o dinheiro que eles precisavam para pagar seu aluguel mensal.,Por que Ash fez isso?,Pague seu aluguel,Tenha um bom crédito,Escreva um cheque para o aluguel,A
25,Quinn encontrou uma pedra no quintal de Austin e foi um diamante para surpresa de todos.,Como descreveria o Quinn?,sentir-se preguiçoso,sentir-se confuso,Sentindo-me bem.,C
26,O Sasha namorou a namorada do Quinn depois de se terem separado e pareciam dar-se bem.,O que quer o Quinn fazer a seguir?,Sê simpático .,Confrontar o Sasha sobre isso .,Fazer amor com eles.,B
27,Remy chegou ao equador da Terra depois de vários dias no mar.,O que Remy precisa fazer antes disso?,Pegue um barco ao sul,tirar fotos,post nas redes sociais,A
28,Quinn também sorriu porque a cena era muito engraçada e divertida.,Como descreveria o Quinn?,Aborrecido.,passivo,feliz,C
29,Addison basicamente disse à Tracy para se calar e foi recebido com um feedback negativo.,O que é que a Addison vai querer fazer a seguir?,Estava frustrado com a Tracy.,Desagradável,"- Não, não.",C
30,Sasha colocou o peixe num balde enquanto estava no barco.,Porque é que o Sasha fez isto?,Fica com o peixe.,Afogar o peixe.,Atira o peixe de volta .,A
31,Cameron acondicionou o almoço de Ash para ele enquanto Ash procurou seus livros.,Como descrever Cameron?,uma pessoa útil,Agradecimento a Cameron,uma pessoa irritada,A
32,A Aubrey ganhava a vida servindo numa mesa de um restaurante italiano.,O que é que o Aubrey precisa de fazer antes disto?,candidatar-se ao emprego,Pague as contas a tempo.,odeio comida,A
33,"Skylar acompanhou os animais de companhia em todas as partes do parque, enquanto funcionava como um cão",O que acontecerá com os outros?,pagar Skylar pelo seu jantar,andar cães em torno,pagar Skylar pelo seu serviço,C
34,Jan respondeu a todas as perguntas na grande conferência de imprensa da empresa.,Como descreveria o Jan?,importante para ser um porta-voz da empresa,uma pessoa tímida,uma pessoa com conhecimento,C
35,O Remy pagou ao Kendall logo depois de pedir dinheiro emprestado para comprar uma PSVITA.,Como Kendall se sentiria?,Estou chateado por o Remy não ter pago juros.,Como se o Remy não tivesse pago depressa o suficiente.,Ainda bem que recuperaram o dinheiro .,C
36,"Skylar recebeu uma carta no correio, era de Harvard, ele estava animado.",O que a Skylar vai querer fazer a seguir?,Leia a carta,Candidate-se à entrada em Harvard,Jogue a carta fora,A
37,"O Remy era uma pessoa generosa, por isso cumpriu os desejos da pessoa.",Como é que o Remy se sentiria depois?,egoísta,simpático,dar,C
38,Jan foi ao quarto da Skylar e encontrou a filha Skylar a ler livros sobre temas assustadores para Jan.,Como se sentiria Jan depois?,perturbados com a filha deles,superior,conteúdo,A
39,Sasha colocou as mãos nas costas dele enquanto ele relaxava na cama.,O que é que o Sasha vai querer fazer a seguir?,Aproxima-te deles.,Saiam da sala.,Esfregue as costas de alguém.,C
40,Robin participou da reunião da família no lago naquele verão.,Como é que a Robin se sentiria depois?,interessados em conhecer os seus parentes,nostálgico,animado para a família se reunir,B
41,Jesse abriu os olhos do Kai para possibilidades completamente novas na vida.,Como descreveria o Jesse?,um visionário,como generoso,como gentil,B
42,Sasha tinha induzido líquido nas células do seu projeto para ver o que aconteceria.,O que é que o Sasha vai querer fazer a seguir?,demonstrar,Mostra-o .,Observe os resultados,C
43,Riley preparou para sua recepção após o casamento em dois meses.,Como os outros se sentiriam como resultado?,excitação,bom no planeamento à frente,Outros ficariam insatisfeitos,A
44,"O Sasha jogava com o pai da Addison, porque o pai deles nunca fez nada com eles.",O que é que o Sasha vai querer fazer a seguir?,tomar um banho com eles,Fiquem orgulhosos do pai deles.,Vai para casa.,C
45,Lee foi convidado a sair porque ele estava sendo rude com todos os convidados.,O que os outros vão querer fazer a seguir?,Espera até o Lee ir embora.,Insulte todos ao seu redor,Tem muito para beber,A
46,"Depois de ganhar o sorteio, Robin dirigiu para casa o carro novo.",Como os outros se sentiriam como resultado?,triste que não ganharam o carro,ectásico,feliz que eles ganhassem o sorteio,A
47,A Jordan chamou o nome do Austin quando se separaram numa multidão.,Como descreveria o Jordan?,Medo de ficar sozinho.,Com medo de multidões.,Preocupado com o Austin.,C
48,Carson desafiou Jan a uma corrida uns contra os outros enquanto estava lá fora.,Porque fez o Carson isto?,Ganhar a corrida,Diverte-te,- Batia no Jan.,B
49,Carson parecia naturalmente enrolar-se para trás depois de beber a poção que o fazia sentir tontura.,Como é que o Carson se sentiria depois?,Como uma pessoa saudável,Como uma pessoa confiante,Como uma pessoa doente.,C
50,"A Kai devia ajudar o clube a preparar o evento, mas foi a casa de uns amigos.",Como se sentiriam os Outros?,Agradecido,irritado,Preocupado mais com os amigos do que com as responsabilidades,C
51,"Foi o momento de Lee e Austin chegarem na estrada, Lee e Austin finalmente saíram da casa",Como descreveria Lee?,alívio,uma pessoa ruim,uma boa pessoa,A
52,"O Kai contratou alguém para cortar a relva durante o verão, já que o joelho estava ferido.",Porque é que o Kai fez isto?,Pagar a pessoa,Senta-te e observa-os .,evitar mais lesões no joelho,C
53,A Jordan envergonhou o Lee por causa do seu mau desempenho.,Como se sentiria Lee?,muito envergonhado,bem sucedido,Como um vencedor.,A
54,"O Carson queria levar o Kai a um encontro, mas queria que fosse casual.",O que é que o Carson vai querer fazer a seguir?,Leva o Kai para uma ópera .,"- Não, não, não.",Convida o Kai para jantar.,C
55,"Quinn ajudou Addison a manter-se em ordem depois da mãe de Addison ter falecido, mas foi à custa do bem-estar mental de Quinn.",O que vai acontecer ao Quinn?,Continuar a ser capaz de ajudar Addison sem problemas.,Precisam de considerar a sua própria saúde mental antes de Addison,"- Não, não.",B
56,"A Jordânia melhorou o fluxo de trabalho e reduziu os problemas, simplificando todo o processo de trabalho com novas ideias.",O que a Jordânia precisa fazer antes disso?,Pense em inovações,obter reconhecimento,Obter um aumento,A
57,O Remy começou a chorar durante o filme.,O que vai acontecer ao Remy?,Seja grato,Largue o tecido,Fica zangado.,A
58,A Taylor não reparou no facto de terem esquecido de entregar os trabalhos de casa naquele dia.,Como é que a Taylor se sentiria depois?,uma pessoa preguiçosa,ansioso,Inteligente,B
59,O Austin divertia-se muito a jogar Dark Souls 3: The Fire Fades Edition.,Como descreveria o Austin?,Uma pessoa de mente fraca,Os videojogos precisavam ser mais difíceis.,Um jogador duro.,C
60,Casey comprou ferramentas na loja porque ele tinha que consertar as coisas em casa.,Como você descreveria Casey?,Trabalhador,Preguiçosa,Estúpido.,A
61,A Tracy ouviu o cão atrás da Kendall e gritou muito alto também.,O que é que a Kendall vai querer fazer a seguir?,afasta-te do cão.,Começa a correr.,Ataca-a.,A
62,O Remy tentou ajudar a Addison a entrar na faculdade.,O que vai acontecer com a Addison?,Ela vai ter ajuda.,ser grato,Ela vai falhar.,A
63,Jordan criou outra tabela para descobrir quais eram suas despesas mensais.,O que a Jordânia precisa fazer antes disso?,Obtenha suas informações financeiras,Evite seus dados,Faça um total,A
64,A Bailey fez várias dúzias de bolos para ajudar a nova padaria da Taylor.,Como se sentiria Taylor?,Agradeço o Bailey.,Dá um tapa na cara ao Taylor.,um padeiro,A
65,"A Jesse mandava os filhos à escola sonolentos, sujos e com fome todos os dias da semana.",O que vão os outros pensar?,satisfeito,satisfeito,indignado,C
66,"Jan, um escritor famoso, morreu inesperadamente. Sasha continuou o trabalho de Jan e publicou-o em honra de Jan e em seu nome.",Como descreveria a Sasha?,humilde,triste,fiel,C
67,A Riley salvou a vida da Jan da casa que pegou fogo.,Como descreveria a Riley?,"Estava assustada, por isso fugiu e escondeu-se.",Era uma heroína e todos a felicitavam.,Esperou que os bombeiros chegassem.,B
68,A Bailey pediu ajuda à vizinha da Casey quando ela estava a cuidar do cão e deixou o cão sair acidentalmente.,Como se sentiria o Casey?,Ainda bem que o cão foi perdido pela Bailey .,Estou contente que o cão tenha sido localizado e amarrado .,que a Bailey tinha razão em deixar o cão sair .,B
69,Jan é um artista musical.,Porque é que o Jan fez isto?,Não é música feliz,Ama música.,Faça outra canção.,B
70,"Mesmo que a Addison fosse boa no xadrez, a Bailey conseguiu vencer a Addison.",O que vai querer fazer a Bailey a seguir?,Peço desculpa por ter ganho contra a Addison .,E negaram a vitória.,Celebrem a vitória.,C
71,Sasha disse a Skylar para guardar os mantimentos antes que ela pudesse ir brincar.,O que Sasha precisa fazer antes disso?,Sair para brincar com os amigos,trazer sacos para dentro,Deixe Sasha sair,B
72,A Addison viu um anúncio para um telefone que estava dentro do orçamento e começou a poupar dinheiro.,Como descreveria a Addison?,Miopia,frugal,descuidado com o dinheiro.,B
73,"Taylor fez outra pergunta na sala de aula, mesmo que os outros alunos quisessem sair.",O que vai acontecer com os outros alunos?,Quero ir para casa.,Queres ir almoçar?,ficar zangado com a Taylor.,C
74,"Muitas pessoas notam que Jesse parece sempre triste, não vê nada positivo na vida e chora com frequência.",Como descreveria o Jesse?,Deprimido e triste,de bom humor,Sempre felizes.,A
75,"A Casey pediu à Aubrey para aceitar o presente, apesar de terem acabado há uma semana.",Como é que o Aubrey se sentiria por causa disso?,Estou feliz com o presente.,- Não. - Não.,Estou animado por ver a Cameron.,B
76,O Remy convidou amigos para o jogo de hóquei que estava a jogar.,Porque é que o Remy fez isto?,Queria jogar em anonimato.,Queria que os amigos o vissem jogar.,Queria jogar sozinho.,B
77,Aubrey acabou concluindo o trabalho de Lee e o transformou em um bom grau.,O que acontecerá com Aubrey?,ser feliz com o grau,Competência,obter um bom grau,A
78,O Alex está a comer um bife e um pouco ficou preso na garganta.,O que é que a Alex precisa de fazer antes disto?,Pega em pedaços menores.,tosse,Come mais depressa.,A
79,Skylar chamou Robin para o escritório para falar sobre seus planos de faculdade para o ano seguinte.,O que queremos de Skylar depois de ser chamado?,evitar falar sobre a faculdade,elaborar um plano para o ensino superior,decidir abandonar a escola,B
80,A Bailey ligou para todos os amigos e pediu-lhes para se encontrarem com ela no pomar local.,O que vão os amigos dela querer fazer lá?,colher a abóbora,andar nas montanhas-russa,Falem uns com os outros.,C
81,"Robin fez a Bailey conhecer, e depois tornaram-se bons amigos.",O que vai acontecer ao Robin?,Quero agradecer-lhes por serem um bom amigo.,Quero ser agradecido por ser um bom amigo.,ser convidado por eles para sair mais vezes,C
82,"Depois de ter tido um dia muito ocupado no trabalho, Remy finalmente ligou para a amiga.",Como descreveria o Remy?,Um bom amigo.,Uma pessoa má.,Finalmente ligou para a amiga dela.,A
83,A Skylar trancou as chaves do Carson no carro do Aubrey e teve de fugir para se esconder do Carson.,O que vai acontecer ao Carson?,Preciso de levar o Carson para casa.,Tenho de pagar por um serralheiro.,irritado,B
84,O Austin escapou da gaiola e fugiu para a floresta para se esconder um pouco.,O que é que o Austin vai querer fazer a seguir?,preguiçoso,forte,Abre-o .,C
85,A mãe de Alex implorou por semanas para ele ir ao médico por causa da unha infectada do pé.,Como se sentiria a mãe dele?,Aliviado pelo Alex.,- Estou contente por marcar uma consulta .,preguiçoso,A
86,A Aubrey esperou a resposta da Cameron sobre o que queriam fazer esta noite.,O que é que a Cameron vai querer fazer a seguir?,Pergunta ao Cameron o que eles querem fazer esta noite.,Dê-lhes uma resposta .,Estudar esta noite.,B
87,"A Addison queria celebrar a promoção no trabalho, por isso o Kai reuniu os amigos da Addison.",Que tipo de pessoa é o Kai?,feliz com o Kai.,Uma pessoa inútil.,Um bom amigo para a Addison.,C
88,A Skylar fez o cabelo da Casey azul e fez-lhe um corte assimétrico.,O que fez a Skylar?,elegante,usou tinta azul e corou o cabelo do Casey.,Comprei um livro novo.,B
89,Riley é um papagaio que é propriedade de Remy.,Como descreveria Riley?,uma ave muito silenciosa,um papagaio típico,uma ave estupida,B
90,O ex-marido abusivo da Ash perguntou ao Sasha onde estava.,O que é que o Sasha vai querer fazer a seguir?,Diz ao ex-marido sobre o hotel.,Ajuda o Ash a encontrar um abrigo local.,trazer o ex-marido para o hotel,B
91,"O cientista louco conhecido como Remy queria aproveitar o poder do núcleo da Terra, por isso usou a sua broca gigante para chegar lá.",Como descreveria o Remy?,Aventureiro,um mineiro ganancioso,Um cientista louco.,C
92,Carson pegou a mão da Jordan na mão da Cameron para que se sentissem mais confortáveis.,Como descreveria o Carson?,desanimado,irritado,Amigável,C
93,"Kai não parava de incomodar Jan e, eventualmente, foi longe demais e irritou Jan.",Como descreveria o Kai?,Amigável e prestativo,Relaxados e tranquilos.,Um mau amigo.,C
94,O Austin emprestou-lhes o dinheiro quando os outros precisavam desesperadamente de dinheiro.,Como se sentiriam os Outros?,Os outros ficarão tristes e rejeitarão o comportamento do Austin .,"felizes e aliviados, eles precisam disso.",preocupado e rejeitaria o dinheiro,B
95,A Jordan voltou para casa e descarregou o vapor batendo num saco de boxe.,Porque é que a Jordan fez isto?,Descompressar depois de ter um encontro ruim.,Descomprimir-se depois de um dia duro no trabalho,Relaxe em casa,B
96,Cameron teve uma facada na pergunta porque outros na classe tinham dificuldade em respondê-la.,Como você descreveria Cameron?,Sentido em cima,envolvidos,Sentiu-se inteligente,B
97,O Sasha estava a andar na bicicleta do Austin.,O que vai acontecer com o Sasha?,Sasha a conduzir um carro,a pilotar um avião,Estava a andar de bicicleta com o Austin.,C
98,Jordan convidou a namorada de Addison para que pudesse conhecer todos na família.,O que a Jordânia deseja fazer a seguir?,shun Addison seguinte,greet Addison next,ignore Addison next,B
99,O Casey é o melhor amigo da Cameron e foi uma grande surpresa quando o Casey começou a namorar o pai da Cameron.,Como se sentiria Cameron?,É estranho o arranjo.,que seria divertido para variar,Um pouco estranho.,A
100,Kendall deu aos amigos um acolhimento quente na viagem para a casa.,Como descrever Kendall?,sentir- se amado,excitado para atender o restante da família de Kendall,sensação de entorse,A
101,O Austin estava muito ocupado e não queria ignorar o seu caldo Remy que começou a chorar.,Como é que o Austin se sentiria depois?,É mau porque ele não quis chatear o Remy.,Ele vai continuar a ignorar o Remy porque ele tem coisas mais importantes para fazer .,Ele vai ficar feliz porque agora o Remy vai deixá-lo em paz .,A
102,Jesse agradou o pai de Lee e acabou sendo recompensado pela bondade.,O que Jesse vai querer fazer a seguir?,Entre em contato com Lee,Retirar-se de todos,Ser adorado,C
103,A Skylar levava maçãs para fora depois de apodrecerem no frigorífico.,Como é que a Skylar se sentiria depois?,abominável,sujo,Uma pessoa fácil de se comunicar,B
104,Alex bebeu muito numa festa.,O que é que o Alex vai querer fazer a seguir?,Traz uns drinques.,Vai à festa.,Chame um amigo,C
105,Ash começou a rir depois de ver um estranho tropeçar e cair na calçada.,Como descreveria o Ash?,divertida com o que aconteceu,divertida,Entretenido pelo que aconteceu,A
106,Sasha apresentou outro amigo ao jogo que agradou a todos.,O que é que os outros vão querer fazer a seguir?,Deixa a Sasha fora.,Obrigado Sasha .,Diverte-te,B
107,"O Riley estava a tentar entrar na casa, viraram a chave da fechadura.",Porque é que a Riley fez isto?,embebedar-se,Vai para casa.,Abre a porta e entra.,C
108,"A Bailey não pôde vir porque estavam doentes, por isso o Remy defendeu o caso da Bailey.",O que é que o Remy precisa de fazer antes disto?,Fica em casa com a Bailey.,Apareça para o caso .,bem sucedido,B
109,"Como era o Dia dos tolos e eles estavam a tentar comemorar, a Sydney fez uma partida com a Tracy.",O que é que a Tracy vai querer fazer a seguir?,Perdoe-os e decida uma nova brincadeira .,E brincar com isso e fazer uma partida com a Sydney também .,Desculpem-se e planeiem fazer uma piada outra vez.,B
110,A Riley sentiu-se pronta para dar uma volta.,Como é que a Riley se sentiria depois?,triste,capaz,irritado,B
111,Casey sempre teve dinheiro suficiente para salvar e pagar as contas no tempo.,Como descreveria Casey?,Frugal com o dinheiro,ânimo com o dinheiro,orgulha,A
112,"A Skylar saltou jubilosa pela calçada, não acreditavam que conseguiram o número da Bailey.",Como é que a Skylar se sentiu depois?,feliz por saltar pela calçada,Amigável e obediente,Incrédulo por ter conseguido o número da Bailey.,C
113,A Bailey ficou sem dinheiro e voltou para casa dos pais.,Porque é que a Bailey fez isto?,Ajudá-la a encontrar um emprego .,estava quebrado,Era rico.,B
114,"Addison colocou o trabalho de Kendall em ação, o que fez Kendall muito bem sucedido a longo prazo.",O que vai acontecer com a Kendall?,ser recompensado,ser admirado,Cometer muitos erros,A
115,A Skylar seguiu-o por todo o lado porque gostava dele.,Como descreveria a Skylar?,Rejeitando-o,Outros querem que a Skylar lhe diga que gosta dele.,Obsessivo,C
116,"A Skylar pôs comida no carro do Ash, sabendo que ele não teria tempo para almoçar durante a longa viagem.",Como se sentiria Ash?,Desiludido por não ter comida.,Muito grato e aliviado.,Fome e tristeza,B
117,Alex deu ao filho de Lee um brinquedo para mantê-lo ocupado durante o filme.,O que vai acontecer ao Lee?,Fazer um filme.,Ser amado pelo filho do Lee.,Obrigado Alex.,C
118,O Carson usava o capacete e o resto do equipamento de protecção.,Porque fez o Carson isto?,evitar ferimentos,necessários para transportar os engrenagens,precisava de planear para jogar com segurança,A
119,"O Austin tinha muito em comum com eles, por isso convidaram-nos para uma festa.",Como se sentiriam os Outros?,em dívida,É triste ser excluído.,Estou feliz por estar incluído.,C
120,A Skylar estava a preparar-se para uma viagem e pediu à Addison para trocar o óleo no carro antes da viagem.,O que vai acontecer com a Addison?,Agradeça à Addison por ter trocado o óleo .,ressentido com a Skylar,Preparados para a viagem.,C
121,Carson colocava os vegetais em água fria e preparava-se para os ferver.,Como é que o Carson se sentiria depois?,Como se estivessem prontos para cozinhar os vegetais.,Muito cuidado .,Gosta de preparar,A
122,"Quinn exigiu os esforços do Alex para ter sucesso, por isso ele ofereceu-se para pagar por aulas particulares.",O que vai acontecer com o Alex?,Estar desgostoso.,Passar nos exames,- Estou contente por poder ajudar .,B
123,Jan foi para uma nova escola e juntou-se à equipa de basquetebol para mostrar as suas habilidades.,Como se sentiriam os Outros?,Infeliz por ter a Jan na equipa.,Como deixar a equipa.,Ciumento do talento,C
124,O Kai era o gerente no trabalho e dava às pessoas o dinheiro que ganhavam.,O que é que o Kai precisa de fazer antes disto?,de tornou-se gerente no trabalho,Pensem em cheques para as pessoas,encorajar as pessoas a continuar o bom trabalho,C
125,"Sasha e Kai fugiam da escola ontem, e Kai foi apanhada pela mãe dela.",O que é que o Sasha vai querer fazer a seguir?,"Vingar-me deles, por pôr ovos na casa deles.",quebrar a amizade deles com alegria,Esqueça a escola,B
126,"A Cameron bateu no irmão, sempre que podiam.",Como descreveria a Cameron?,um valentão,Muito mau .,Muito zangado.,A
127,Quinn era muito bom a tocar piano e desenvolvia o talento diariamente.,O que é que o Quinn precisa de fazer antes disto?,Gostava de tocar piano.,Pratique todos os dias,Queria aprender a tocar piano.,B
128,A Aubrey cantou a canção alto para que todos pudessem ouvir.,O que é que o Aubrey vai querer fazer a seguir?,Aprenda canções novas.,Pára de cantar.,Canta menos,A
129,"Carson tinha recebido um presente extravagante para o aniversário deles, e eles adoraram muito.",Como descreveria o Carson?,Sentindo-se mimados no seu aniversário,gratos pelo seu presente,Aproveitando o dom deles,B
130,Sasha declarou guerra à Rússia no jogo de mesa.,Porque é que o Sasha fez isto?,Não gosto da Rússia.,Ganha o jogo.,falhar,B
131,Alex obteve documentos para análise e eles estavam cheios de erros que ele precisaria corrigir primeiro.,Como Alex se sentiria depois?,um bom revisor,fastidious,raivoso,A
132,"A Kendall não os conhecia bem, só falavam online, mas ela gostava muito desta pessoa.",Como se sente Kendall?,"Aborrecida, não está interessada neles.",Estou confiante que esta relação vai funcionar.,entusiasmado com uma nova relação,C
133,Sydney disse a Cameron para acabar com sua namorada depois de vê-la traindo.,Porque é que a Cameron fez isto?,Abraço Cameron,Estar com alguém que não traiu,ser enganado,B
134,"Uma noite, Jan voltou do trabalho e teve um pneu furado quando estava quase no local.",O que vai o Jan querer fazer a seguir?,Arranjar o piso .,Venda o carro.,Faça com que trabalhe a tempo,A
135,Kendall correu para o relógio da praça da cidade para que o amigo o tirasse uma foto.,- Não.,E Jamie tinha acabado de almoçar no Sonic Drive In e terminou na praça da cidade,e Jamie tinha visitado o professor na loja de sapatos que lhes disse para evitar a praça da cidade,E o Jamie tinha um encontro de almoço no restaurante chinês na praça da cidade .,B
136,"Kendall estava com febre há três dias, então Jan a levou a um médico.",Como se sentiria Jan depois?,Aliviado que Kendall estava melhorando.,cansado depois da colonoscopia,inspirado a ir para a faculdade de medicina,A
137,Remy levou seus pertences com eles quando foram evacuados devido ao próximo furacão.,O que Remy vai querer fazer a seguir?,Arrume suas roupas,"Ficar em sua casa, em vez de evacuar",quer tirar sua família da cidade o mais cedo e rapidamente possível,C
138,Alex passou seu tempo com as pessoas ajudando-os a fazer as coisas em seu próprio tempo.,O que os outros vão querer fazer a seguir?,Seja gentil,Desperdiçar o tempo de Alex,Obrigado Alex,C
139,A Riley abriu o envelope e preencheu o formulário antes de o entregar a tempo.,Como descreveria a Riley?,Capaz de,atrasado,não quer,A
140,A Addison aplicou as habilidades de Casey em frente a um supervisor e disse ao supervisor que as aprenderam com o Carson.,O que vai acontecer ao Casey?,Receber crédito por ensinar a Addison.,Escreve uma desculpa para a Addison .,tornar-se candidato a uma promoção,A
141,"A Addison saiu da sala quando ela terminou, e o Lee fechou a porta atrás dela quando ela saiu.",O que é que a Addison vai querer fazer a seguir?,Desce lá para baixo.,Fala com a Addison .,Ajuda o Addison a sair .,A
142,"Quinn estava a jogar um videojogo com o Alex, e o Quin exigiu o esforço do Alex para completar uma missão.",O que vai acontecer com o Alex?,Agradeço o Alex.,Pára de jogar videojogos com o Alex.,alcançar o seu objetivo,C
143,A Sydney levou o Kai para almoçar e sugeriu alguns dos melhores itens do menu.,O que vai o Kai querer fazer a seguir?,escolher um item do menu,ajudar Kai a evitar alergias alimentares,recusar a refeição,A
144,A Aubrey trouxe lanches para partilhar com as outras pessoas da festa.,O que os Outros vão querer fazer a seguir?,Queria ser gentil.,Queria ser generoso.,"Obrigado , Aubrey .",C
145,Jan é estudante de ciências políticas e está envolvido na política local.,Como descreveria o Jan?,descuidados com o seu trabalho.,descuidados com o trabalho.,Apaixonados pelo seu trabalho,C
146,A Robin queria ser uma bailarina famosa quando tivesse idade suficiente.,O que vai querer fazer a seguir?,Seja determinado,Envergonhar-se-á.,Falha,A
147,"Durante a festa de aniversário de sua irmã, Sasha compartilhou seus brinquedos com as outras crianças.",Porque é que o Sasha fez isto?,Deixe-me em paz.,brincar sozinha,Deixe-os brincar com ela.,C
148,A Quinn levou a bicicleta ao mecânico depois de se ter desfeito enquanto a conduzia.,O que vai acontecer ao Quinn?,Vou ter de andar .,Arranja o carro.,Vou ter uma conta para pagar,C
149,"Addison deu a Bailey a vantagem, já que era sua primeira vez jogando.",Porque é que a Addison deu vantagem à Bailey?,Ajude-a a aprender,sabotá-la,causar problemas,A
150,Sasha ouviu a mãe depois de chegar em casa da escola na sexta-feira.,Como é que o Sasha se sentiria depois?,Estou feliz por saber coisas.,Deixado no escuro,irritado,A
151,A Robin estava a tentar fazer uma fogueira.,Como é que a Robin se sentiria depois?,vazio,cumprido,inteligente,C
152,O Lee encontrou-o no armário da Tracy e a Tracy ficou zangada por o Lee estar a olhar para lá.,O que vai acontecer ao Lee?,ser evitado,Fica zangado com o Lee.,ser gritado,C
153,"O Casey já não gostava do Aubrey, por isso, disseram à turma todos os segredos do Aubrey.",O que é que o Aubrey vai querer fazer a seguir?,Desculpa o Casey.,Luta com o Casey .,Dá um bolo ao Casey.,B
