,context_1,context_2,context_3,question_1,question_2,question_3,answerA_1,answerA_2,answerA_3,answerB_1,answerB_2,answerB_3,answerC_1,answerC_2,answerC_3,correct
30010,Kendall impressionou Remy como era importante ser verdadeiro sobre tudo.,Kendall impressionou a Remy quanto era importante ser verdadeiro sobre tudo.,Kendall impressionava o Remy como era importante ser honesto sobre tudo.,Como você descreveria Kendall?,Como descrever Kendall?,Como descreveria a Kendall?,Desiludido com Remy,decepcionado na Remy,Desiludido com o Remy.,rude e indiferente,ruidosa e descuido,Desagradável e indiferente.,maduros e compreensivos,maturidade e compreensão,maduro e compreensivo,C
30011,Jesse desenvolveu um plano concreto e pensou através das opções possíveis.,Jesse elaborou um plano concreto e pensou através das opções possíveis.,Jesse desenvolveu um plano concreto e pensou nas possíveis opções.,Porque é que o Jesse fez isto?,Por que Jesse fez isso?,Porque é que o Jesse fez isto?,Descubra as respostas em tempo real,Figura das respostas sobre a mosca,Descobre as respostas no momento.,Coloque o plano em movimento,Coloque o plano em funcionamento,Coloca o plano em movimento,Venha preparado para a situação,Come preparado para a situação,Venha preparado para a situação,C
30012,Taylor disse a seu bom amigo que eles os amavam muito.,Taylor contou ao seu bom amigo que os amava muito.,Taylor disse à sua boa amiga que os amavam muito.,Como os outros se sentiriam como resultado?,Como os outros se sentiriam como resultado?,Como se sentiriam os Outros?,Apaixonado,em amor,apaixonados,Cansado,Canina,cansado,deprimido,depressão,Deprimido,A
30013,Cameron jogou jogos no telefone de Skylar e depois deixou cair no banheiro.,Cameron jogou jogos no telefone Skylar e depois o fez no banheiro.,A Cameron jogava no telemóvel da Skylar e depois deixou-o cair na sanita.,Skylar e Cameron vão se sentir como depois?,Skylar e Cameron sentirão como depois?,Como é que a Skylar e a Cameron se vão sentir depois?,Envergonhada,Muito vergonha,- Muito envergonhado .,Muito estúpido.,Muito,Muito estúpido.,desencorajado,desmotivação,desanimado,B
30014,Riley salvou a vida de Jan e suas amigas.,Riley salvou a vida de Jan e sua vida de amigos de meninas.,A Riley salvou a vida do Jan e da amiga dele.,Como Riley se sentiria depois?,Como se sentiria Riley depois?,Como é que a Riley se sentiria depois?,Riley salvou um gato,riley salvou um gato,O Riley salvou um gato.,Riley salvou um cão,riley salvou um cão,O Riley salvou um cão.,salvou a vida de Jan,Salvado Jan's,Salvou a vida do Jan.,C
30015,Austin impôs a Kai as regras da prisão durante seu primeiro dia de encarceramento.,Austin impôs ao Kai as regras da prisão durante o primeiro dia de encarceramento.,Austin impôs a Kai as regras da prisão durante o primeiro dia de encarceramento.,O que vai acontecer com Kai?,O que acontecerá com o Kai?,O que vai acontecer ao Kai?,obter biscoitos grátis de Kai,chegue a biscoitos soltos de Kai,Recebe biscoitos grátis do Kai.,É preciso aprender a seguir as regras,têm de aprender a seguir as regras,Tenho de aprender a seguir as regras.,valentão Kai,bully Kai,- O Kai é um valentão .,B
30016,Jordan estava na parte de trás da linha quando viu Austin.,"Jordan estava no fundo da linha quando ele detectou Austin, e a Jordânia chamou o nome",O Jordan estava no fundo da fila quando viu o Austin.,Como se sentiria Austin como resultado?,Como seria que Austin sentisse como resultado?,Como se sentiria Austin?,embarassed,embaralhado,Envergonhado.,feliz,feliz,feliz,irritada,irritação,irritado,B
30017,Tracy sempre disse a Jan tudo e Jan realmente apreciou a colher interior dela.,Tracy sempre contou a Jan e Jan realmente apreciou a scoop interna dela.,A Tracy sempre contou tudo à Jan e a Jan apreciava muito a informação dela.,O que Tracy precisa fazer antes disso?,O que é necessário para Tracy antes disso?,O que é que a Tracy precisa de fazer antes disto?,e Jan precisa ser amigável,e Jan precisa ser amigo,E o Jan precisa de ser amigável.,e Jan não precisa falar um com o outro,e Jan precisa não conversar com o outro,E Jan não precisam de falar um com o outro.,Contar tudo a Jan,conta tudo o que,Diz tudo ao Jan.,C
30018,Robin voltou para casa mais cedo depois de uma reunião desastrosa na fábrica.,Robin chegou a casa logo após uma reunião desastrosa na planta.,A Robin voltou cedo depois de uma reunião desastrosa na fábrica.,Como você descreveria Robin?,Como descrever Robin?,Como descreveria a Robin?,Não é bom no seu trabalho,não bom no seu trabalho,Não são bons no trabalho.,Vai ser promovido,a promoção,Vou ser promovido.,É provável que obtenha um aumento,nã,Provavelmente receberá um aumento,A
30019,"Alex tentou vencer a corrida, mas tudo o que ele pegou foi poeira dos pilotos na frente dele.","Alex tentou ganhar a raça, mas todos os seus capturados eram poeiras dos competidores em sua frente","Alex tentou ganhar a corrida, mas tudo o que ele apanhou foi poeira dos pilotos à sua frente.",O que Alex vai querer fazer a seguir?,O que queremos com Alex?,O que é que o Alex vai querer fazer a seguir?,tirar fotos com troféu,Tomar figuras com trófi,Tirar fotos com troféu,Pratique com mais força,prática mais difícil,Pratique mais .,entrar na corrida,entrar na raça,Entrem na corrida,B
30020,"Alex salvou Skylar do trabalho de ligar, aparecendo em sua casa.","Alex salvou Skylar o problema de chamar, mostrando-se em sua casa.","A Alex poupou a Skylar o trabalho de ligar, aparecendo em casa dela.",Como você descreveria Alex?,Como descrever Alex?,Como descreveria o Alex?,embarassed,embaralhado,Envergonhado.,Não confiável,não fidedigna,não confiável,útil,,útil,C
30021,Skylar mudou o lugar de Addison e limpou-o e parecia muito melhor do que antes.,Skylar alterou o local de Addison e o fez e o achou muito melhor do que,A Skylar mudou a casa da Addison e limpou-a e parecia muito melhor do que antes.,O que a Skylar vai querer fazer a seguir?,O que queremos com Skylar?,O que vai a Skylar querer fazer a seguir?,limpo próximo,         ,limpo a seguir,ser pago a seguir,ser pago em seguida,será pago em seguida,Faça uma bagunça,Fazer uma mecha,Faça uma confusão .,B
30022,Jesse cumpriu bem seus deveres como enfermeira e depois se aposentou para se tornar escritora.,Jesse cumpriu bem bem suas funções de enfermeira e depois se aposentou para se tornar escritora.,Jesse cumpriu bem os seus deveres como enfermeira e depois se aposentou para se tornar escritora.,Como Jesse se sentiria depois?,Como Jesse se sentiria depois?,Como se sentiria o Jesse depois?,Fico feliz por ter terminado,lacrada a ser terminada,Estou contente por ter terminado .,Como se tornar um médico,como se tornar um médico,Como se fosse médico.,Como ficar em enfermagem,como ficar na enfermagem,Como ficar na enfermagem.,A
30023,Remy melhorou sua compreensão da compra do computador explicando como o computador funciona.,Remy melhorou a compreensão dos mesmos sobre a compra de computador explicando como funciona o computador,"Remy melhorou a compreensão deles sobre o computador, explicando como ele funciona.",Como você descreveria Remy?,Como descreveria a Remy?,Como descreveria o Remy?,Como alguém que comprou o computador,Como alguém que comprou o computador,Como alguém que comprou o computador,Como alguém que pode explicar o computador,Como alguém que pode explicar o computador,Como alguém que pode explicar o computador,como inteligente,como smart,tão esperto,B
30024,Skylar precisava de um novo telefone depois que ela deixou cair o antigo no banheiro.,Skylar necessitou de novo telefone após deixar cair a sua velha no banheiro.,A Skylar precisava de um novo telefone depois de ter deixado cair o velho na sanita.,Como Skylar se sentiria depois?,Como senti-lo-ia depois?,Como é que a Skylar se sentiria depois?,inconveniente,inconvenientes,inconveniente,klumsy,favela,- Desagradável.,vazio,vazio,vazio,B
30025,Skylar foi picado por uma abelha porque eles estavam batendo no ninho com uma vara e todas as abelhas ficaram com raiva.,"O Skylar foi agarrado por uma abelha, pois eles estavam batendo o ninho",Skylar foi picada por uma abelha porque eles estavam a bater no ninho com um pau e todas as abelhas ficaram zangadas.,Como você descreveria o Skylar?,Como descreveria o Skylar?,Como descreveria a Skylar?,Lamentável,arrependido,arrependido,cuidado,cuidadosa,Cuidado .,imprudência,inaparente,imprudente,C
30026,Carson cavou as unhas no peito de Jesse quando Jesse começou a balançar para ele.,Carson fez as unhas para o peito de Jesse quando Jesse começou a oscilar.,O Carson enfiou as unhas no peito do Jesse quando ele começou a agitar-se contra ele.,O que Carson vai querer fazer a seguir?,O que queremos por Carson?,O que é que o Carson vai querer fazer a seguir?,Rindo de Jesse,risos em Jesse,Rindo do Jesse .,subjugar Jesse,subduo Jesse,Subjugar Jesse,Gritar de dor,prurido na dor,gritar de dor,B
30027,Taylor estava muito doente e agradeceu ao médico pela ajuda de Carson.,Taylor estava muito doente e agradeceu o médico pelo auxílio de Carson.,Taylor estava muito doente e agradeceu ao médico pela ajuda de Carson.,O que Carson vai querer fazer a seguir?,O que queremos por Carson?,O que é que o Carson vai querer fazer a seguir?,Apenas vá embora para casa,só sair de casa,Vai para casa .,Comece um regime vitamínico,inicia um regime de vitaminas,iniciar um regime de vitaminas,Arranjar para encontrar uma loja,Disposições para encontrar uma loja,arranjar uma loja,A
30028,Sydney despertou os interesses de Kendall na esperança de que ela concordasse em ir ao filme com ela.,Sydney despertou os interesses de Kendall sobre as esperanças que concordaria em ir ao filme,Sydney despertou os interesses de Kendall na esperança de que ela concordasse em ir ao cinema com ela.,Por que Sydney fez isso?,Por que o Sydney?,Porque é que a Sydney fez isto?,fez isso para ser rude,fez com que isso fosse rude,Fizeste isto para ser mal educado.,Pergunte ao Kendall para o cinema,perguntar ao cinema,Peça ao Kendall para ir ao cinema.,fez isso para ser amigável,fez isso para ser amigo,Fiz isto por amizade.,C
30029,"Depois de esperar até o dia anterior ao início do projeto, Carson começou ontem à noite.","Após a espera até o dia anterior ao projeto, Carson iniciou a noite passada.","Depois de esperar até ao dia anterior ao projeto, Carson começou ontem à noite.",Como você descreveria Carson?,Como descreveria Carson?,Como descreveria o Carson?,um indivíduo trabalhador,um indivíduo em dificuldade,Um trabalhador árduo,irresponsáveis,responsabilidade,Irresponsável.,Propenso a adiar as coisas, Propensão a pôr fora,- tendem a adiar as coisas.,B
30030,"Taylor tinha deixado seu telefone em casa, então Taylor educadamente perguntou a alguém para o tempo.","Taylor havia deixado o telefone em casa, então Taylor pediu gentilmente alguém para a hora.","A Taylor tinha deixado o telemóvel em casa, por isso, ela perguntou educadamente a alguém a hora.",O que Taylor precisa fazer antes disso?,O que é necessário para Taylor diante disso?,O que é que a Taylor precisa de fazer antes disto?,Encontre alguém para perguntar,encontrar alguém para perguntar,Encontre alguém para perguntar.,vai dizer a Taylor o tempo atual,contará a Taylor o momento atual,Dizerão à Taylor a hora actual.,comprar um novo celular,compra de um novo celular,comprar um novo telemóvel,A
30031,"O Ash estava a tentar fugir da Susan, o Ash correu o mais rápido possível.","Ash tentou afastar de Susan, e Ash correu o mais rápido possível.",O Ash estava a tentar fugir da Susan.,O que Ash vai querer fazer a seguir?,O que queremos por Ash?,O que é que o Ash vai querer fazer a seguir?,esconder onde Susan não pode encontrá-los,ocultar onde Susan não consegue encontrá-los,Esconde-te onde a Susan não os possa encontrar.,correr atrás de Susan e tentar tocá-los,correr depois de Susan e tentar tocar neles,Corra atrás da Susan e tente tocar nelas .,correr atrás de Susan e tentar pegá-los,pular depois de Susan e tentar flagrá-los,Corra atrás da Susan e tente pegá-los .,A
30032,Skylar aprendeu alemão na faculdade e começou a usá-lo.,Skylar aprendeu a alemão na faculdade e passou a utilizá-la.,A Skylar aprendeu alemão na faculdade e começou a usá-lo.,O que a Skylar vai querer fazer a seguir?,O que queremos com Skylar?,O que vai a Skylar querer fazer a seguir?,ignorá-lo,ignorar,Ignora isso.,sair da língua,parar a língua,Deixa a língua,falar alemão,speak alemanha,Fala alemão.,C
30033,Carson fez progressos no relatório que eles precisavam completar para o trabalho.,Carson fez progresso no relato de que precisavam completar o trabalho.,Carson fez progressos no relatório que precisavam preencher para o trabalho.,O que Carson precisa fazer antes disso?,O que é necessário para Carson diante disso?,O que é que o Carson precisa de fazer antes disto?,Evite o trabalho,evitar o trabalho,evitar o trabalho,Não trabalhe no projeto,não trabalhar o projeto,Não trabalhar no projeto,começar a escrever,inicia-se a escrita,Começa a escrever.,C
30034,Remy passou todo o seu tempo jogando videogames durante todo o verão.,Remy passou todo o seu tempo jogando videogames durante todo o verão.,O Remy passou o verão a jogar videojogos.,Por que Remy fez isso?,Por que a Remy fez isso?,Porque é que o Remy fez isto?,Esperar pelo verão,aguardar o verão,Esperem pelo verão .,queria se divertir,quis ter diversão,Queria divertir-me.,Obter um jogo de vídeo,obter um vídeo game,- Não .,B
30035,Cameron estudou ciência por anos e agora ela tem um excelente trabalho de ensino.,Cameron estudou a ciência há anos e agora obteve um excelente trabalho de ensino.,A Cameron estudou ciências durante anos e agora tem um excelente emprego de professora.,Como você descreveria Cameron?,Como descrever Cameron?,Como descreveria a Cameron?,muito aliviado,Muito alívio,Muito aliviado.,Alguém que desperdiça seu tempo,alguém que despespe seu tempo,Alguém que perde o tempo dela.,Alguém que gosta de estudar,án,alguém que gosta de estudar,C
30036,"Robin viu Taylor o tempo todo, e um dia, Robin decidiu convidá-la para sair.","Robin viu Taylor o tempo todo, e um dia Robin decidiu pedir para ela.","A Robin via a Taylor o tempo todo, e um dia, a Robin decidiu convidá-la para sair.",Como Robin se sentiria depois?,Como se sentiria Robin depois?,Como é que a Robin se sentiria depois?,excitado,excitação,excitado,triste,triste,triste,vertiginosa,tonturas,Vertigem,A
30037,Taylor recebeu todos os prêmios na feira deste ano.,Taylor obteve todos os prêmios na feira deste ano.,Taylor obteve todos os prémios na feira este ano.,Como você descreveria Taylor?,Como descreveria Taylor?,Como descreveria a Taylor?,Muito exaltado,Muito,Muito entusiasmado .,Planeje doar os prêmios,planeamento para doar os prémios,planejando doar os prémios,Orgulhosos de terem conseguido ganhar dinheiro,orgulharam que eles conseguiram ganhar dinheiro,orgulhosos de terem conseguido ganhar dinheiro,A
30038,Robin assistiu a um filme com todas as crianças e elas estavam felizes.,Robin assistiu um filme com todas as crianças e elas estavam felizes.,A Robin assistiu um filme com as crianças e elas ficaram felizes.,Como você descreveria Robin?,Como descrever Robin?,Como descreveria a Robin?,maternal,materna,materna,feliz,feliz,feliz,raivoso,irritação,irritado,B
30039,"Tracy sabia que seu amigo estava triste, então eles os convidaram para uma festa para animá-los.","Tracy conhecia o amigo como triste, de modo que os convidavam a uma festa para aleg","A Tracy sabia que o amigo estava triste, por isso convidaram-nos para uma festa para os animar.",Como você descreveria Tracy?,Como descreveria Tracy?,Como descreveria a Tracy?,Uma pessoa que quer que seus amigos sejam felizes,uma pessoa que queira que seus amigos sejam satisfeitos,Uma pessoa que quer que seus amigos sejam felizes.,Como uma pessoa vizinha,Como uma pessoa vizinha,Como uma pessoa vizinha,ir a uma festa,vá a uma festa,ir a uma festa,A
30040,Lee se vestiu para o Halloween como um personagem assustador de um filme de terror.,Lee se vestiu para o Halloween como personagem assustador de um filme de terror.,Lee vestiu-se para o Halloween como um personagem assustador de um filme de terror.,Como Lee se sentiria depois?,Como Lee sentiria depois?,Como é que o Lee se sentiria depois?,Culpado,responsabilidade,Culpado.,louco,ic,louco,Assustado,prurido,assustado,C
30041,Bailey trouxe comida para fora para os animais que estavam no celeiro.,Bailey trouxe comida fora dos animais que estavam no açude.,A Bailey levou comida para fora para os animais que estavam no celeiro.,O que Bailey precisa fazer antes disso?,O que é necessário para Bailey antes disso?,O que é que a Bailey precisa de fazer antes disto?,Traga água,água,Traz água .,Comprar comida,Compra de alimentos,Comprar comida,ir para dentro,entrar dentro,Vai para dentro.,B
30042,Sasha ganhou na loteria que era para um jackpot de milhões de dólares.,Sasha ganhou a sorte que era para um jackpot de milhões de dólares.,"Sasha ganhou a lotaria, que tinha um jackpot de milhões de dólares.",Como Sasha se sentiria depois?,Como se sentiria Sasha depois?,Como é que o Sasha se sentiria depois?,feliz e excitado,feliz e excitado,Feliz e animado,estressado e preocupado,stress e stress,estressado e preocupado,Ansioso,ansiedade,ansioso,A
30043,Sydney olhou nos olhos de Robin e beijou-o nos lábios.,Sydney olhou para os olhos de Robin e o beijou nos lábios.,Sydney olhou nos olhos do Robin e beijou-o nos lábios.,Como você descreveria Sydney?,Como descreveria Sydney?,Como descreveria Sydney?,Não é uma pessoa afetuosa,Não uma pessoa afectada,Não é uma pessoa afetuosa.,uma pessoa romântica,uma pessoa romântica,uma pessoa romântica,enojado com Robin,Desculpado com Robin,Desgosto com Robin .,B
30044,Aubrey ficou tão envergonhado quando eles foram pegos roubando que o rosto coberto com as mãos.,Aubrey estava tão constrangido quando foram capturados despidos que os reco,A Aubrey ficou tão envergonhada quando foram apanhados a roubar que cobriram o rosto com as mãos.,Como você descreveria Aubrey?,Como descreveria Aubrey?,Como descreveria o Aubrey?,Orgulhosos de si mesmos,orgulha de si,orgulhosos de si mesmos.,Envergonhar-se de si mesmo,vergonha de si,Envergonhados de si mesmos.,Satisfeitos com suas ações,satisfeito com suas ações,"Satisfeitos com o que fizeram,",B
30045,Robin deu uma festa em Tupperware e queria ter todos os seus amigos.,Robin jogou uma festa de Tupperware e queria ter todos os amigos.,A Robin fez uma festa de Tupperware e queria convidar todos os amigos.,Como você descreveria Robin?,Como descrever Robin?,Como descreveria a Robin?,uma pessoa do povo,uma pessoa,pessoa social,um solitário,a loner,Um solitário.,Inconveniente,acolhimento,não acolhendo,A
30046,Bailey é um gerente de loja. Bailey fez Taylor contagem de inventário físico após a venda de ação de graças.,"Bailey é um gestor de loja, Bailey fez contagem de inventário físico de Taylor após a venda de",A Bailey fez a Taylor contar o inventário físico depois da venda de Acção de Graças.,Porque é que a Bailey precisava de fazer isto?,Por que Bailey precisou disso?,Porque é que a Bailey precisava de fazer isto?,verificar os registros contra o estoque real,verificar os registos contra a unidade populacional,verificar os registos contra o estoque real,Prepare-se para as primeiras vendas da Black Friday,Preparação para a venda de 6 de Julho de Black Preparação,Preparem-se para as vendas da Black Friday.,queria ter a loja organizada,quis obter a loja organizada,Queria organizar a loja.,A
30047,Cameron queria que Ash dormisse e contou-lhe uma história.,Cameron queria que Ash dormisse e lhe contasse uma história.,Cameron queria que o Ash dormisse e contou-lhe uma história.,Por que Cameron fez isso?,Por que Cameron fez isso?,Porque é que a Cameron fez isto?,Continue contando histórias,manter histórias,Continua a contar histórias.,adormecida,sono,adormecido,Queria ir dormir sozinho,quis dormir a si,Ele queria ir dormir sozinho.,C
30048,Bailey manteve os mandamentos de seu texto religioso porque seus pais lhe disseram para fazê-lo.,"Bailey manteve os comandos de seu texto religioso, pois seus pais o informaram.",A Bailey manteve os mandamentos do texto religioso porque os pais lhe disseram.,O que Bailey vai querer fazer a seguir?,O que queremos por Bailey?,O que vai querer fazer a Bailey a seguir?,Abandone seus pais,abandon seus pais,abandonam os pais,quebrar a lei,quebra de lei,quebrar a lei,Seja uma boa pessoa,ser uma pessoa boa,ser uma boa pessoa,C
30049,Bailey manteve a estabilidade em todos os níveis da competição de ginástica naquele dia.,Bailey manteve a estabilidade em todos os níveis da competição de ginástica naquele dia.,Bailey manteve a estabilidade em todos os níveis da competição de ginástica naquele dia.,O que Bailey precisa fazer antes disso?,O que é necessário para Bailey antes disso?,O que é que a Bailey precisa de fazer antes disto?,Queda muito,Acontecimentos,Caem muito,perder o equilíbrio,equilíbrio de perda,Perder o equilíbrio,Mantenha-se firme,manter estável,Fique quieto .,C
30050,Skylar comprou um relógio para seu melhor amigo e eles gostaram muito.,Skylar comprou uma vinheta para o melhor amigo e gostaram muito.,A Skylar comprou um relógio para o seu melhor amigo e eles gostaram muito.,O que a Skylar precisa fazer antes disso?,O que o Skylar precisa fazer antes disso?,O que é que a Skylar precisa de fazer antes disto?,Veja um relógio,ver uma vigília,vê um relógio,Compre uma cerveja,compra de uma cerveja,Compra uma cerveja.,comprar Skylar um presente,Compr Skylar uma dom,Compra uma prenda para a Skylar .,A
30051,Sydney levou Riley de volta para casa para que eles pudessem assistir a uma nova série de televisão.,Sydney levou Riley para trás para assistir uma nova série de televisão.,A Sydney levou a Riley para casa para verem uma nova série de televisão.,Como você descreveria Sydney?,Como descreveria Sydney?,Como descreveria Sydney?,sentimento desapegado,sensação desvinculada,Sentir-se separado,Sentindo-se em conflito,sentir- se enjoado,sentir-se confuso,sentir-se grande,sentir- se grande,Sentindo-me bem.,C
30052,Robin levou a data dos filmes e depois para jantar e ambos se divertiram muito.,Robin tomou sua data os filmes e depois jantar e ambos tiveram um grande tempo.,A Robin levou o encontro ao cinema e depois para jantar e ambos se divertiram.,O que acontecerá com os outros?,O que acontecerá com os outros?,O que acontecerá aos Outros?,Aproveite a data,gozo o dia,Aproveita a data.,Peça uma data,Pedido de uma data,pedir um encontro,casar-se,casar- se,Casar-se,A
30053,Robin começou a escola hoje e os outros estavam muito curiosos sobre ela.,Robin começou a escola hoje e os outros eram muito curiosos a respeito dela.,A Robin começou a escola hoje e os outros estavam muito curiosos sobre ela.,O que os outros vão querer fazer a seguir?,O que queremos?,O que os Outros vão querer fazer a seguir?,Os outros vão fazer perguntas a seguir,As demais irão fazer perguntas a seguir.,Os outros vão fazer perguntas a seguir.,Os outros vão ignorá-la.,As outras ignoram a sua próxima,Os outros vão ignorá-la a seguir.,Apresentar-se,a introdução,Apresente-se.,A
30054,Taylor respondeu a essa pergunta com certeza depois de alguma longa deliberação sobre ela.,Taylor respondeu com certeza essa questão após uma longa deliberação.,Taylor respondeu com certeza a esta pergunta depois de uma longa deliberação.,Como você descreveria Taylor?,Como descreveria Taylor?,Como descreveria a Taylor?,criativo,Criação,criativo,pensivo,pensive,pensativo,confiante,Confidente,confiante,C
30055,Jordan comeu toda a comida de Sydney e teve que obter mais porque Sydney estava com fome.,A Jordânia comia toda a comida de Sydney e tinha que ganhar mais porque Sydney estava com fome,A Jordan comeu toda a comida da Sydney e teve de comprar mais porque a Sydney estava com fome.,Como Jordan se sentiria depois?,Como a Jordânia se sentiria depois?,Como se sentiria Jordan depois disso?,rude,rude,Desagradável,Preguiçosa,preguiça,preguiçoso,Assustado,prurido,assustado,A
30056,Riley abriu o formulário porque eles estavam esperando um cheque no correio.,Riley abriu o formulário por esperar uma verificação no correio.,A Riley abriu o formulário porque esperavam um cheque no correio.,Porque é que a Riley fez isto?,Por que o Riley fez isso?,Porque é que a Riley fez isto?,Envie uma carta,enviar uma carta,Envia uma carta.,Arranja algum dinheiro,conseguir algum dinheiro,Arranja algum dinheiro.,Verifique o e-mail,check the mail,Verifique o correio.,B
30057,"Jordan parecia alto e baixo para as chaves do carro em falta, mas não conseguiu encontrá-los.","Jordan achou alto e baixo para as chaves de carro faltantes, mas não encontrou.","A Jordan procurou por todas as partes pelas chaves do carro, mas não as encontrou.",Por que Jordan fez isso?,Por que a Jordânia fez isso?,Porque é que a Jordan fez isto?,Esconda as chaves,ocultar as chaves,Esconde as chaves.,Pergunte se alguém os viu,Pergunte se alguém os viu,Pergunta se alguém os viu.,Sair da casa,despedimento,Sair da casa,C
