,context_1,context_2,context_3,question_1,question_2,question_3,answerA_1,answerA_2,answerA_3,answerB_1,answerB_2,answerB_3,answerC_1,answerC_2,answerC_3,correct
10010,"O Quinn e o Kendall andavam muito sozinhos, e o Quinn nunca tinha conhecido os amigos do Kendall.","Quinn e Kendall se desvincularam muito sozinho, Quinn nunca conheceu","Quinn e Kendall passavam muito tempo sozinhos, Quinn nunca tinha conhecido os amigos da Kendall.",O que Quinn vai querer fazer a seguir?,O que queremos Quinn?,O que quer o Quinn fazer a seguir?,Conheça os amigos,reunir os amigos,Conheça os amigos.,pedir a Kendall para compartilhar,Pedido de participação no mercado,Peça à Kendall para partilhar,Sair sozinho,hang out,Andar sozinho.,A
10011,Austin fez a curva rapidamente.,Austin fez a virada rapidamente.,O Austin fez a curva rapidamente.,O que Austin precisa fazer antes disso?,O que é necessário para Austin antes disso?,O que é que o Austin precisa de fazer antes disto?,Não entrar em um acidente,Não entrar em um acidente,Não entrar num acidente.,Evite o carro,evite o carro,Evite o carro.,Precisava falar com seu professor,necessitou de conversar com o professor,precisava de falar com o professor dele.,B
10012,"Remy forneceu a Addison uma oferta promocional em seu negócio de vendas, explicando que era uma boa oportunidade.","Remy forneceu uma oferta de promoção para o Addison em seus negócios de venda, explica","Remy deu a Addison uma oferta promocional no seu negócio de vendas, explicando que era uma boa oportunidade.",O que Remy precisa fazer antes disso?,O que é necessário fazer por Remy antes disso?,O que é que o Remy precisa de fazer antes disto?,obter um escritório pronto para Addison,consulte um serviço pronto para o Addison,Prepara um escritório para a Addison .,encomendar Addison alguns cartões de visita,Pedidos de adison,Pede à Addison alguns cartões de visita .,preparar uma apresentação para mostrar Addison,elaborar uma apresentação para demonstrar Addison,Preparar uma apresentação para mostrar a Addison,C
10013,Jordan levantou a pergunta de Taylor porque eles precisavam saber a verdade.,"Jordan levantou a questão de Taylor, pois precisavam conhecer a verdade.",A Jordan fez a pergunta da Taylor porque precisavam de saber a verdade.,O que Jordan vai querer fazer a seguir?,O que a Jordânia deseja fazer a seguir?,O que vai querer fazer a seguir?,Ignorar a verdade,ignorar a verdade,Ignorar a verdade,Não faças nada.,não faz nada,Não faças nada.,encontrar a verdade,encontrar a verdade,encontrar a verdade,C
10014,Jordan deu-lhes algo para fazer sua dor de cabeça ir embora.,Jordan lhes deu algo para que a cefaleia fosse eliminada.,A Jordan deu-lhes algo para fazer a dor de cabeça desaparecer.,O que a Jordânia precisa fazer antes disso?,O que o Jordânia precisa fazer antes disso?,O que é que a Jordan precisa de fazer antes disto?,localizar medicamento,án,encontrar remédios,Seja grato,ser gratificado,Seja grato,comer medicamento,medicamentos para comer,comer remédio,A
10015,Cameron virou-se no sofá quando o ouvido Remy andar na sala.,Cameron passou no sofá quando o ouvido andou na sala.,Cameron virou-se no sofá quando ouviu o Remy entrar no quarto.,O que Remy vai querer fazer a seguir?,O que queremos?,O que é que o Remy vai querer fazer a seguir?,Faça as pessoas pensarem que ele está dormindo,fazer com que as pessoas pensem que está dormindo,Faz as pessoas pensarem que ele está a dormir.,ir sobre o seu dia,vá ao seu dia,- Não .,Ignorar Remy,ignorar a remessa,Ignora o Remy.,B
10016,"Sasha deu seu bebê para adoção, já que ela era muito pobre para criar um novo filho.","Sasha deu o seu bebê para adoção, pois era muito pobre para criar um novo filho.","Sasha deu o bebê para adoção, já que era pobre demais para criar uma nova criança.",Como seria Sasha depois?,Como seria Sasha depois?,Como é que o Sasha vai fazer depois?,ele tinha se sentido deprimido,sentir- se deprimido,tinha-se sentido deprimido,Sentia-se passivo,sentira-se passivo,Sentia-se passivo,Desesperado,desesperado,desesperado,A
10017,"sydney foi encorajado a escrever, então sydney tentou seu ofício de escrever.",sydney foi estimulado a escrever de modo que sydney tentou escrever seus,"Sydney foi incentivada a escrever, por isso Sydney experimentou o seu ofício de escrita.",Como você descreveria Sydney?,Como descreveria Sydney?,Como descreveria Sydney?,Orgulhosos de si mesmos por tentarem,orgulham-se por tentarem,orgulhosos de se terem tentado,Acalme-se,calm,Calma .,Como um escritor,como escritor,Como um escritor.,A
10018,"Quinn queria perder peso antes de sua lua de mel, então ele comeu uma salada todos os dias durante seis meses.","Quinn queria perder peso antes de sua lua de mel, assim ele comia uma salada","O Quinn queria perder peso antes da lua de mel, por isso comeu uma salada todos os dias durante seis meses.",Como você descreveria Quinn?,Como descreveria Quinn?,Como descreveria o Quinn?,arrependido e com fome,arrependido e com fome,Arrepende-se e está com fome.,Autodisciplinado e inteligente,autodisciplinado e inteligente,Autodisciplinar e inteligente.,Ansiedade e medo,ansiedade-ridícula e medo,Ansioso e assustado,B
10019,Riley parou em segurança porque ouviu um barulho alto enquanto dirigia.,"Riley passou para a segurança, pois ouvia um ruído alto durante a condução.",O Riley parou para a segurança porque ouviu um barulho alto enquanto dirigia.,O que Riley vai querer fazer a seguir?,O que queremos com Riley?,O que é que a Riley vai querer fazer a seguir?,Chame seu amigo para assistência,chame a sua amiga para assistência,Chamar o seu amigo para pedir ajuda,Ignorar o ruído,ignorar o ruído,Ignora o barulho.,Ligue para a AAA para obter assistência,Convite a AAA para assistência,Chamar o AAA para pedir ajuda,C
10020,"Taylor encontrou os assentos de Cameron vazios, embora Cameron claramente afirmasse estar no assento e Taylor temia que o show começasse em breve.","Taylor encontrou os bancos de Cameron vazios, embora Cameron tenha afirmado claramente estar no banco e","Taylor encontrou os assentos de Cameron vazios, embora Cameron claramente afirmou estar no assento e Taylor estava preocupado que o show começasse em breve.",O que Taylor vai querer fazer a seguir?,O que queremos por Taylor?,O que é que a Taylor vai querer fazer a seguir?,deixar o auditório raciocinando que Cameron deixou,deixe o raciocínio do auditório que Cameron deixou,Deixe o auditório argumentando que Cameron deixou,Faça um anúncio para todo o auditório,efectuar um anúncio a todo o auditório,Faça um anúncio para todo o auditório,andar ao redor fora e olhar para Cameron,caminhar em torno de fora e olhar para Cameron,Anda lá fora e procura a Cameron .,C
10021,Aubrey estava lidando com um problema de dependência há anos. Aubrey finalmente recebeu tratamento de qualidade.,Aubrey tinha passado por um problema de dependência. Aubrey conseguiu finalmente um tratamento de,Aubrey tinha lutado contra um problema de dependência durante anos.,Como Aubrey se sentiria depois?,Como se sentiria Aubrey depois?,Como é que o Aubrey se sentiria depois?,jovem,jovens,jovem,Motivação,motivado,motivado,pensivo,pensive,pensativo,B
10022,Alex ganhava a vida trabalhando para Bailey e Bailey apreciava seu empregado.,Alex ganhou um trabalho de vida para Bailey e Bailey apreciaram o seu funcionário.,Alex ganhava a vida a trabalhar para a Bailey e a Bailey apreciava o empregado.,O que Bailey vai querer fazer a seguir?,O que queremos por Bailey?,O que vai querer fazer a Bailey a seguir?,Diga a Alex que eles fazem um bom trabalho,contaram a Alex que eles fazem um bom trabalho,Diz ao Alex que eles fizeram um bom trabalho.,necessário para ace a entrevista,necessitou de ace a entrevista,Precisava de um excelente resultado na entrevista.,Necessário para impressionar Bailey,Necessidade de imprimir Bailey,Precisava de impressionar a Bailey.,A
10023,"Jan ofereceu a Jordan um passeio de volta na piscina, então Jordan encontrou o slick de Jan de volta.","Jan ofereceu à Jordânia uma volta de trás na piscina, assim a Jordânia encontrou o desli","A Jan ofereceu à Jordan uma carona na piscina, para que a Jordan encontrasse o dedo de volta da Jan.",Como Jordan se sentiria depois?,Como a Jordânia se sentiria depois?,Como se sentiria Jordan depois disso?,irritada,irritação,irritado,desconfortável,Pouco confortável,desconfortável,entretido,< < < < < < < < < ,entretido,C
10024,"Austin teve três filhos, todos eles se tornaram médicos.",Austin tinha três filhos todos médicos.,"Austin teve três filhos, todos eles se tornaram médicos.",O que Alex vai querer fazer a seguir?,O que queremos com Alex?,O que é que o Alex vai querer fazer a seguir?,viver a vida feliz,viver feliz,Viva a vida feliz,Mooch fora de seus filhos,vergonha dos seus filhos,- Não .,Certifique-se de que seus filhos lhe comprem coisas,as crianças que compram as coisas,Certifique-se que os filhos lhe comprem coisas.,A
10025,"O cão de Alex precisava ir ao veterinário, então ela levou o cão para o carro.",O cão de Alex precisou ir ao vet para levar o cão ao carro.,"O cão da Alex precisava de ir ao veterinário, por isso ela levou-o ao carro.",Como Alex se sentiria depois?,Como se sentiria Alex depois?,Como se sentiria o Alex depois?,Responsáveis,responsável,responsável,ptimo.,Muito,- Ótimo.,super,super,Super,A
10026,"Skylar viu um filme que foi muito bom, e quer vê-lo novamente com os amigos no teatro.","Skylar viu um filme que era muito bom, e quer vê-lo novamente com amigos","A Skylar viu um filme que foi muito bom, e quer vê-lo novamente com amigos no cinema.",O que a Skylar precisa fazer antes disso?,O que o Skylar precisa fazer antes disso?,O que é que a Skylar precisa de fazer antes disto?,Compre uma cópia online do filme,Compra uma cópia online do filme,Compre uma cópia online do filme,Veja o filme novamente em seguida,ver o filme novamente em seguida,Veja o filme novamente na próxima .,Peça aos amigos para virem ao filme,Pedir aos amigos que venham ao filme,Peça aos amigos para ir ao cinema.,C
10027,Casey rolou nas costas de Taylor enquanto eles estavam jogando lutando no chão.,Casey jogou-se para o fundo de Taylor enquanto jogavam brigando no chão.,O Casey rolou nas costas da Taylor enquanto brincavam a lutar no chão.,Porque é que o Casey fez isto?,Por que o Casey?,Porque fez o Casey isto?,Brincar com Taylor,Jogo com Taylor,brincar com o Taylor.,magoado Taylor,dói Taylor,magoar o Taylor.,ganhar a luta,vencer a luta,Ganhar a luta.,A
10028,"Cameron carregava seu peso, mesmo que eles não deveriam levantar muito.","Cameron carregava o peso, embora não se supunha levantar muito.","Cameron carregava o peso deles, embora não deveriam levantar muito.",O que vai acontecer com Cameron?,O que acontecerá com Cameron?,O que vai acontecer com a Cameron?,esticar um músculo,shunt a músculo,Tensionar um músculo,Seja ileso,Não ser,Não se magoe.,que Cameron tinha que carregar todo o peso,mau que Cameron tenha de carregar todo o peso,Foi mau que a Cameron tivesse de carregar todo o peso.,A
10029,"Kai e Austin namoraram durante todo o ensino médio, mas estavam terminando quando foram para a faculdade.","Kai e Austin já haviam cursado o ensino médio, mas estavam se desligando","O Kai e o Austin namoraram durante o liceu, mas acabaram quando entraram na faculdade.",O que Kai vai querer fazer a seguir?,O que o Kai quer fazer em seguida?,O que vai o Kai querer fazer a seguir?,Ir para a escola de Austin,ir à escola de Austin,Ir para a escola de Austin.,lamentar a perda de kai,luto pela perda de kai,Lamento a perda do Kai.,Compre seu próprio casaco,compra do seu próprio avental,Comprar o seu próprio casaco,A
10030,Robin tocou todos os dias e ficou bom o suficiente para ser aceito em uma escola de música de prestígio.,Robin jogava todos os dias e se agradou o suficiente para ser aceito em uma escola de,Robin tocava todos os dias e foi aceito numa escola de música de prestígio.,Como Robin se sentiria depois?,Como se sentiria Robin depois?,Como é que a Robin se sentiria depois?,Bom na teoria da música,boa teoria musical,bom em teoria musical,Como um perdedor,como um perdedor,Como um falhado.,Animado com a escola,excitado para a escola,Estou animado para a escola .,C
10031,Aubrey assou muitos biscoitos enquanto tentava muitos tipos de receita. Ela tinha que comer biscoitos todas as noites por um tempo.,"Aubrey coagiu com muitos biscoitos enquanto tentava muitas formas de receita,",A Aubrey fez muitos biscoitos enquanto experimentava muitas receitas.,Por que Aubrey fez isso?,Por que o Aubrey?,Porque é que o Aubrey fez isto?,coletar muitas receitas on-line,reunir em linha muitas receitas,recolher muitas receitas online,Encontrar muitas receitas online,encontrar muitas receitas na Internet,encontrar muitas receitas online,assar biscoitos perfeitos,biscoitos perfeitos de bolo,Fazer bolinhos perfeitos .,B
10032,Jordan está esperando por uma data de lançamento de videogame há meses. Jordan compra o jogo e vai para casa. Jordan rasga abrir a embalagem.,A Jordânia está aguardando um prazo de lançamento de vídeos. A Jordânia compra o jogo e,Jordan está esperando por uma data de lançamento do jogo há meses. Jordan compra o jogo e vai para casa. Jordan abre a embalagem.,Como Jordan se sentiria depois?,Como a Jordânia se sentiria depois?,Como se sentiria Jordan depois disso?,Incomodado em esperar por isso,irritado na espera por isso,irritado por esperar por ele,pronto para começar a jogar o jogo,¿pronto para jogar o jogo,Pronto para começar a jogar o jogo,"Frustrado, custou tanto",frustraram o custo de tanto,"frustrado, custou tanto.",B
10033,Sydney deu ao carro o óleo certo para que ele funcionasse sem problemas até a próxima mudança de óleo.,Sydney deu o carro o óleo certo para que ele corresse suavemente até a próxima troca de,Sydney deu ao carro o óleo certo para que funcionasse sem problemas até a próxima troca de óleo.,O que os outros vão querer fazer a seguir?,O que queremos?,O que os Outros vão querer fazer a seguir?,fechar o capô do carro,fechar o pêlo,Feche o capô do carro,Faça a mesma coisa,faça a mesma coisa,Faça a mesma coisa,Jogue as garrafas de óleo fora,au,Atira as garrafas de óleo.,A
10034,"Taylor é responsável por relatar no trabalho, ela olhou atentamente para um novo relatório.","Taylor é responsável pela notificação no trabalho, ela olhou de perto um novo relatório.","A Taylor é responsável por reportagens no trabalho, ela analisou de perto um novo relatório.",O que Taylor precisa fazer antes disso?,O que é necessário para Taylor diante disso?,O que é que a Taylor precisa de fazer antes disto?,Leia uma revista,leia uma revista,ler uma revista,passar o relatório,Passagem no relatório,passar o relatório,Leia o relatório,leia o relatório,Leia o relatório.,C
10035,"Ash enviou sua filha para a loja enquanto ela banhava os gêmeos, limpava a casa e fazia o jantar.","Ash enviou a filha para a loja enquanto banhou os gêmeos, limpou a casa e","Ash mandou a filha à loja enquanto ela banhava os gémeos, limpava a casa e preparava o jantar.",Como você descreveria Ash?,Como descreveria Ash?,Como descreveria o Ash?,Impresso,< < < < < < < < < ,Impressionado,over worker,sobre o trabalhador,Trabalhador em excesso,Satisfeito,satisfeito,- Estou contente.,B
10036,"Alex e Ash tiveram uma discussão que se transformou em uma enorme luta no estacionamento, onde eles jogaram socos e Alex rasgou Ash em pedaços.",Alex e Ash tiveram um argumento que se alastrava para uma enorme luta no parque onde,Alex e Ash tiveram uma discussão que se transformou numa grande briga no parque de estacionamento onde eles deram socos e Alex rasgou Ash em pedaços.,O que Alex vai querer fazer a seguir?,O que queremos com Alex?,O que é que o Alex vai querer fazer a seguir?,Desculpem-me.,Pedidos,Peça desculpa.,Vá para o hospital,Ir ao hospital,Vai para o hospital.,Fique para se acalmar,riz,Fica para te acalmares .,A
10037,Jan era uma mãe arrogante e Jan controlava a vida de Aubrey.,Jan era mãe de sobreposição e Jan controlava a vida de Aubrey.,Jan era uma mãe dominadora e Jan controlava a vida do Aubrey.,O que Aubrey vai querer fazer a seguir?,O que queremos com Aubrey?,O que é que o Aubrey vai querer fazer a seguir?,Ajudar Aubrey a evitar erros,Ajuda Aubrey a evitar erros,Ajudar o Aubrey a evitar erros.,Sair de casa,Leave home,Sair de casa,Faça Aubrey seguro,Aubrey pode ser administrado a partir de sangue ou de sangue.,Faça com que o Aubrey esteja seguro.,B
10038,"A Tracy apertava-se à volta da Riley, e a Riley, a sua filha de 3 anos, ia atravessar a rua.","Tracy apertou em torno de Riley, Riley, seu filho de três anos,","A Tracy aproximou-se da Riley, a filha de três anos, que ia atravessar a rua.",O que Riley vai querer fazer a seguir?,O que queremos com Riley?,O que é que a Riley vai querer fazer a seguir?,chorar,choro,chorar,Mantenha Riley segura,Manter Riley seguro,Mantém a Riley segura.,incentivar Riley a olhar para os dois lados,incentivar Riley a examinar ambas as formas,encorajar Riley a olhar para ambos os lados,B
10039,"Kendall ouviu alguém chamar seu nome, então ela imediatamente se virou.",kendall ouvia alguém chamar o nome dela para que ela se voltasse imediatamente.,"A Kendall ouviu alguém a chamar o nome dela, por isso virou-se imediatamente.",Como Kendall se sentiria depois?,Como se sentiria Kendall depois?,Como se sentiria a Kendall depois?,hipervigilância,hiper vigilante,hipervigilante,Como confuso,como,como confuso,como normal,como normal,como de costume,C
10040,Sasha teve ótimas notas e continuou a ser uma estudante brilhante.,"Sasha obteve excelentes notas e continuou sendo um brilhante, um estudante.",Sasha teve ótimas notas e continuou a ser uma brilhante estudante.,Por que Sasha fez isso?,Por que o Sasha?,Porque é que o Sasha fez isto?,Entre nas classes avançadas,entrar nas classes avançadas,Entrar nas aulas avançadas,Seja um bom aluno,ser um bom aluno,Seja um bom aluno.,Evite se concentrar na escola,evitar focalizar a escola,evitar focar na escola,A
10041,"Eventualmente, Riley vingou a morte de seu irmão nas mãos do traidor.","Eventualmente, Riley aventou a morte do irmão nas mãos do traidor.","Finalmente, Riley vingou a morte do irmão nas mãos do traidor.",O que Riley vai querer fazer a seguir?,O que queremos com Riley?,O que é que a Riley vai querer fazer a seguir?,Buscando traição,buscam traição,Procure traição.,Vingança,Revenge,Vingança-te .,procurar alívio,procura alívio,procurar alívio,C
10042,Sasha partiu dias atrás para sua viagem à Europa com sua família.,Sasha deixou dias atrás para sua viagem à Europa com a família.,O Sasha partiu há dias para uma viagem à Europa com a família.,O que Sasha precisa fazer antes disso?,O que é necessário para que Sasha possa fazer antes disso?,O que é que o Sasha precisa de fazer antes disto?,estava indo em uma viagem com sua família,estava fazendo uma viagem com a família,ia fazer uma viagem com a família.,Esquecer a Europa,Esquecimento Europeu,Esquece a Europa.,sair para ir para a Europa,licença para ir à Europa,Deixe-me ir para a Europa.,C
10043,Riley expressou os sentimentos de Kendall ao pegar algumas rosas e ir jantar.,"Riley expressou os sentimentos de Kendall, obtendo algumas rosas e indo ao jantar.",A Riley expressou os sentimentos da Kendall comprando rosas e indo jantar.,O que vai acontecer com Kendall?,O que acontecerá com Kendall?,O que vai acontecer com a Kendall?,feliz,feliz,feliz,Seja grato por Kendall por sua bondade,Agradecer por Kendall pela sua espécie,Que a Kendall agradeça-lhe a sua bondade.,Amado,amado,Amado,C
10044,Ash tirava o melhor de Sasha toda vez que ele vinha visitar.,Ash tirou o melhor de Sasha todas as vezes que chegou a visitar.,O Ash tirava o melhor de Sasha sempre que ele vinha visitar-nos.,O que Ash vai querer fazer a seguir?,O que queremos por Ash?,O que é que o Ash vai querer fazer a seguir?,Aproveite o tempo,gozo o tempo,Aproveite o tempo,Tenha um bom tempo,ter um bom tempo,Diverte-te bem.,Crescer as relações com a Sasha,crescimento das relações com Sasha,Crescer relações com Sasha,C
10045,Remy manteve suas notas para que ela pudesse ir de férias com a família.,Remy manteve seus graus para que pudesse ir de férias com a família.,A Remy manteve as notas altas para poder ir de férias com a família.,Como você descreveria Remy?,Como descreveria a Remy?,Como descreveria o Remy?,Orgulha-te,orgulha,orgulhoso,uma falha,a,um fracasso,uma pessoa guiada,uma pessoa a caminho,uma pessoa impulsionada,C
10046,"Jordan era um motorista lento, outros pilotos vaiaram na Jordânia com frequência. Jordan perdeu toda a confiança neles. O avô de Jordan ensinou como dirigir melhor, Jordan começou a dirigir mais rápido.","A Jordânia era um condutor lento, outros motoristas despediam-se frequentemente. A","Jordan era um motorista lento, outros motoristas beijavam Jordan muitas vezes. Jordan perdeu toda a confiança neles. O avô de Jordan ensinou a dirigir melhor, Jordan começou a dirigir mais rápido.",O que a Jordânia precisa fazer antes disso?,O que o Jordânia precisa fazer antes disso?,O que é que a Jordan precisa de fazer antes disto?,Prove que outros motoristas estão errados,prova de outros motoristas,Provar que os outros condutores estão errados.,Treine na academia para ser capaz de se mover mais rápido,treinar na academia para poder se deslocar mais rapidamente,treinar no ginásio para poder me mover mais rápido,tirar lições de condução de seu avô,leo aulas de direção de seu avô,Leccionar a conduzir com o avô.,C
10047,A Bailey teve de arranjar um emprego a trabalhar a noite toda.,"Bailey teve que conseguir um emprego trabalhando durante a noite, trabalhava toda a noite.",A Bailey teve de arranjar um emprego para trabalhar à noite.,O que Bailey vai querer fazer a seguir?,O que queremos por Bailey?,O que vai querer fazer a Bailey a seguir?,Vá para casa e coma,ir para casa e comer,Vai para casa e come .,ir para a escola,ir à escola,ir para a escola,ir para o trabalho,ir trabalhar,Vai trabalhar.,A
10048,"Robin tinha uma queda por Jordan, então ela expressou interesse nele.","robin teve uma ruptura em jordan, de modo que manifestou interesse nele.","A Robin estava apaixonada pelo Jordan, por isso ela manifestou interesse nele.",Como Robin se sentiria depois?,Como se sentiria Robin depois?,Como é que a Robin se sentiria depois?,como nervoso,como nervo,como nervoso,um trabalhador duro,um trabalhador duro,Um trabalhador duro.,gosta de ser direto para a frente com os outros,gosta de ser imediatamente para a frente com outros,gosta de ser direto com os outros,A
10049,A Skylar queria matar o Jan naquele dia porque o Jan disse algo importante para a Skylar.,Skylar queria matar jan naquele dia porque jan dizia algo que significa para skylar,A Skylar queria matar a Jan naquele dia porque ela disse algo mau à Skylar.,O que vai acontecer com Skylar?,O que acontecerá com o Skylar?,O que vai acontecer à Skylar?,ela vai ser gritada com,ela vai ficar enrolada na,Ela vai ser gritada .,É preciso controlar a si mesmo,tem que se controlar,têm de se controlar,ser feliz,ser feliz,Seja feliz.,B
10050,"A Robin conseguiu a posição, eles sabiam como chegar a casa.","Robin pegou os seus suportes, souberam chegar em casa.",A Robin conseguiu orientar-se e sabiam como chegar a casa.,Como você descreveria Robin?,Como descrever Robin?,Como descreveria a Robin?,no caminho para o trabalho,sobre o modo de trabalho,a caminho do trabalho,no caminho de casa,no caminho de origem,No caminho de casa.,Ruim com direções,más direções,Mal com as instruções,B
10051,jan ensinou truques de addison dog para que o cão pudesse aprender algo novo e divertido.,jan ensinou truques de cães addison para que o cão pudesse aprender algo novo e,Jan ensinou truques de cão para que o cão pudesse aprender algo novo e divertido.,Como a Addison se sentiria como resultado?,Como senti-lo-ia Addison?,Como se sentiria Addison?,irritada com o seu cão,irritação com o cão,irritados com o cão deles,Feliz pelo seu cão,feliz pelo cão,Felizes pelo cão deles.,É triste não ter aprendido nada,triste não ter aprendido nada,É triste não ter aprendido nada.,B
10052,"Quinn precisava de dinheiro rápido e, assim, teve que ir buscar um empréstimo.","Quinn necessitou de dinheiro rápido e, assim, teve que conseguir um empréstimo.","Quinn precisava de dinheiro rápido e, portanto, teve de arranjar um empréstimo.",Como Quinn se sentiria depois?,Como se sentiria Quinn depois?,Como se sentiria o Quinn depois?,Ainda bem que o empréstimo foi concedido,o crédito foi concedido,Estou contente que o empréstimo tenha sido concedido.,Deprimido uma dívida ocorreu,ocorreu uma dívida deprimida,Deprimido uma dívida ocorreu,caro,< 1/ 10,caro,A
10053,Sasha trabalhou duro por dois anos para colocar um down-payment em sua casa dos sonhos. Sasha finalmente salvar o suficiente e amou sua nova casa.,"Sasha trabalhou muito tempo para depositar um pagamento despedido em casa, Sasha",Sasha trabalhou duro durante dois anos para fazer um adiantamento na casa dos seus sonhos.,Como você descreveria Sasha?,Como descreveria Sasha?,Como descreveria a Sasha?,Orgulha-te,orgulha,orgulhoso,Trabalhador,Trabalho duro,trabalhador,realizado,realizado,- Compreendido.,C
