,context_1,context_2,context_3,question_1,question_2,question_3,answerA_1,answerA_2,answerA_3,answerB_1,answerB_2,answerB_3,answerC_1,answerC_2,answerC_3,correct
25015,Addison obteve boas notas depois de estudar por semanas para se sair bem em suas finais.,Addison obteve bons graus após estudar por semanas para fazer bem os seus finais.,A Addison obteve boas notas depois de estudar durante semanas para ter boas notas nos exames finais.,Como se sentiria a Addison depois?,Como senti-lo-ia depois?,Como se sentiria a Addison depois?,inútil,inútil,inútil,realizado,realizado,- Compreendido.,Terrível.,péssimo,Terrível.,B
25016,Sydney e Kendall estavam discutindo e Sydney puxou uma faca. Sydney matou Kendall instantaneamente quando ela usou a faca.,"Sydney e Kendall estavam argumentando e Sydney pularam uma faca, Sydney matou rapidamente a",Sydney e Kendall estavam a discutir e Sydney puxou uma faca e a Sydney matou a Kendall instantaneamente quando ela a usou.,O que vai acontecer com Sydney?,O que acontecerá com Sydney?,O que vai acontecer com a Sydney?,cair morto depois,queda de óbito após,Morrer depois.,Ir para a cadeia,ir ao cárcere,Ir para a prisão.,Passar depois,Passar depois,Morrer depois.,B
25017,O Jesse estava a pagar uma multa por um crime.,"Jesse estava cumprindo pena de crime, Jesse fazia ontem atendimento comunitário.",O Jesse estava a pagar uma multa por um crime.,Como Jesse se sentiria depois?,Como Jesse se sentiria depois?,Como se sentiria o Jesse depois?,Como se fossem insultados,como foram insultados,Como se fossem insultados.,Jesse ajudou a comunidade,que Jesse ajudou a comunidade,que Jesse ajudou a comunidade,Como se fossem livres,como eles estavam livres,Como se fossem livres.,B
25018,O Jesse levava a mulher para a França para o aniversário.,"Jesse levou a esposa para a França para o aniversário, e eles foram todos os anos.",O Jesse levou a mulher para a França no aniversário.,Como você descreveria Jesse?,Como descrever Jesse?,Como descreveria o Jesse?,impensado e cruel,ideação e crueldade,sem consideração e cruel,odioso e falso, Odeia e fadiga,Odioso e falso.,Apaixonado e genuíno,amor e genuína,amorosa e genuína,C
25019,Riley estava visitando a cidade de Skylar e Skylar queria mostrar a Riley os pontos turísticos da cidade.,Riley visitava a cidade de Skylar e Skylar queria mostrar Riley as vistas da,A Riley estava na cidade da Skylar e a Skylar queria mostrar-lhe os pontos turísticos.,Por que Skylar fez isso?,Por que o Skylar fez isso?,Porque é que a Skylar fez isto?,Leve-o para a cidade,ausentar-se na cidade,Leva-o para a cidade.,Queria causar uma boa impressão em Riley,quis fazer uma boa impressão sobre Riley,Queria fazer uma boa impressão na Riley.,mostrar-lhe os pontos turísticos,mostro-lhe as atenções,Mostra-lhe as vistas.,C
25020,Aubrey enviou a Ash uma mensagem de texto sobre ir ao cinema mais tarde naquela noite.,Aubrey enviou mensagem de texto a Ash sobre a ida aos filmes mais tarde.,A Aubrey mandou uma mensagem ao Ash sobre ir ao cinema naquela noite.,Como você descreveria Aubrey?,Como descreveria Aubrey?,Como descreveria o Aubrey?,entediada,prurido,Aborrecido.,feliz,feliz,feliz,Passivo,passiva,passivo,A
25021,"Jordan queria vingança contra Bailey, então ele publicou as informações da conta dela online.","Jordan queria vingar em Bailey, então publicou sua informação de relato online.","O Jordan queria vingança da Bailey, por isso publicou as informações da conta dela online.",O que Bailey vai querer fazer a seguir?,O que queremos por Bailey?,O que vai querer fazer a Bailey a seguir?,Obtenha as informações de Bailey,obter informações de Bailey,- Obter as informações da Bailey.,Vingança na Jordânia,arrendamento na Jordânia,Vingar-me do Jordan.,Faça um plano de vingança,efectuar um plano de acção,Faça um plano de vingança.,C
25022,Taylor expressou sua posição claramente para a equipe adversária naquele dia.,Taylor expressou sua posição claramente para a equipe contrária naquele dia.,Taylor expressou claramente a sua posição à equipa adversária naquele dia.,Como Taylor se sentiria depois?,Como senti-lo-ia depois?,Como é que a Taylor se sentiria depois?,desonesto e sorrateiro,desonest e sneaky,Desonesto e astuto.,claro e conciso,límpido e conciso,clara e concisa,confiante para ganhar,Confidente para a conquista,Confiante de ganhar,C
25023,Remy colocar creme no rosto de Lee para ajudá-los com acne.,Remy colocou creme na face de Lee para ajudá-los com acne.,O Remy pôs creme no rosto do Lee para os ajudar com a acne.,O que vai acontecer com Remy?,O que vai acontecer com a Remy?,O que vai acontecer ao Remy?,Fica bem.,Olhar bom,- Está bem.,Parece mau.,olha ruim,- Não.,pior,pior,pior,A
25024,Jordan esperou a oportunidade de Lee e viu que Lee realizou a tarefa muito bem.,Jordan aguardou a oportunidade de Lee e viu que Lee realizou muito bem a tarefa.,Jordan esperou a oportunidade de Lee e viu que Lee realizou a tarefa muito bem.,Como Jordan se sentiria depois?,Como a Jordânia se sentiria depois?,Como se sentiria Jordan depois disso?,Irritado com Lee,ânimo em Lee,zangado com o Lee.,Ressentido com Lee,Recorrência em Lee,ressentido com Lee.,Orgulho de Lee,orgulha,orgulhoso do Lee,C
25025,"Como Riley queria expandir o grupo, Riley estabeleceu postos avançados em novas áreas.","Como Riley queria ampliar o grupo, Riley estabeleceu outposts em novas áreas.","Como Riley queria expandir o grupo, Riley estabeleceu postos avançados em novas áreas.",Como Riley se sentiria depois?,Como se sentiria Riley depois?,Como é que a Riley se sentiria depois?,Satisfeito com a sua refeição,satisfeitos com a refeição,"Satisfeitos com a sua refeição,",realizado,realizado,- Compreendido.,desencorajado,desmotivação,desanimado,B
25026,Casey levou esses fatores em consideração ao fazer deliberações sobre o que fazer a seguir.,Casey levou em conta estes fatores ao fazer deliberações sobre o que fazer a seguir.,Casey levou esses fatores em conta ao deliberar sobre o que fazer a seguir.,Como você descreveria Casey?,Como descreveria Casey?,Como descreveria o Casey?,Negligenciado,negligência,negligente,descuidada,carlosidade,descuidado,minucioso,apertada,a fundo,C
25027,Tracy foi para o campo que tinha milho e sentou-se e olhou ao redor.,Tracy foi para o campo que tinha milho nele e sentou e olhou.,Tracy foi ao campo que tinha milho e sentou-se e olhou em volta.,O que Tracy vai querer fazer a seguir?,O que queremos agora por Tracy?,O que é que a Tracy vai querer fazer a seguir?,Sair do campo,deixe o campo,Deixe o campo,necessário para conduzir o trator para o campo,necessário para conduzir o tractor para o campo,necessários para conduzir o tractor para o campo,Grite com sua mãe,cheiro na mãe,gritar com a mãe dela.,A
25028,Sasha fez uma pausa para o almoço no parque para comer seus sanduíches.,Sasha fez um almoço no parque para comer seus sanduíches.,A Sasha fez uma pausa para almoçar no parque para comer as sanduíches.,Por que Sasha fez isso?,Por que o Sasha?,Porque é que o Sasha fez isto?,Comer o almoço,comer almoço,a almoçar,Ela odiava a natureza,ela odeia pela natureza,Ela odiava a natureza .,Ela amava o parque,ela adorava o parque,Ela adorava o parque.,C
25029,Kai decorou sua casa para o Halloween para garantir que as crianças soubessem que viriam.,Kai decoraram a casa deles para oHalloween para garantir que os filhos soubessem vir.,O Kai decorou a casa deles para o Halloween para garantir que as crianças soubessem que vinham.,Por que Kai fez isso?,Por que o Kai fez isso?,Porque é que o Kai fez isto?,ser desconvidado,ser não convidado,não ser convidado,mostrar as crianças que poderiam obter doces,mostrar crianças que podem ter candide,Mostrar às crianças que podiam ter doces.,subir em uma escada,subir numa escada,subir uma escada,B
25030,"Jesse foi de férias para a Disney World novamente no ano seguinte, depois de sua primeira viagem lá.","Jesse voltou a viajar para o mundo Disney no ano seguinte, depois de sua primeira viagem lá.","Jesse foi de férias para o Disney World novamente no ano seguinte, após sua primeira viagem lá.",Porque é que o Jesse fez isto?,Por que Jesse fez isso?,Porque é que o Jesse fez isto?,Tenha uma boa viagem,ter uma boa viagem,Boa viagem .,Divirta-se no Disney World novamente,gozo-nos novamente na Disney World,Divirtam-se novamente na Disney World .,Divirta-se na Disneyland novamente,gozo-nos novamente na Disneylândia,Divirtam-se em Disneylandia outra vez.,B
25031,Reagan estava se candidatando à escola de enfermagem e pediu a Lee uma carta de recomendação.,Reagan estava aplicando a escola de enfermagem e solicitou a Lee uma carta de recomendação.,Reagan estava a candidatar-se à escola de enfermagem e pediu uma carta de recomendação à Lee.,O que Reagan precisava fazer antes disso?,O que o Reagan precisou de fazer antes disso?,O que é que o Reagan precisava de fazer antes disto?,fazer um bom trabalho para Lee para impressioná-los,fazer bons trabalhos para Lee para impressioná-los,Faça um bom trabalho para Lee impressioná-los .,Feliz Reagan,feliz com Reagan,Estou feliz pelo Reagan.,Acabar de ir para a faculdade de medicina,terminar indo para a faculdade de medicina,Acabar de ir para a faculdade de medicina,A
25032,"Robin usou o dispositivo de Tracy para encontrar seu telefone e, em seguida, devolveu o dispositivo depois de encontrá-lo.",Robin utilizou o dispositivo de Tracy para encontrar o seu telefone e depois retornou o dispositivo após o encontrar,A Robin usou o aparelho da Tracy para encontrar o telemóvel e depois devolveu o aparelho depois de o ter encontrado.,O que vai acontecer com o dispositivo da Tracy?,O que acontecerá com o dispositivo de Tracy?,O que vai acontecer ao dispositivo da Tracy?,Recusar-se a usá-lo,Recusar utilizá- lo,recusar-se a usá-lo,Não tenha sucesso com isso,Não obtiveram sucesso com isso,Não tenho sucesso com isso.,devolvê-lo depois que eles são feitos,devolva-lo depois de realizados,Devolve-o depois de terminado.,C
25033,Remy arredondado seu pescoço suavemente com o braço para confortá-los.,Remi apertou o pescoço com o braço para consolar o mesmo.,Remy enrolava suavemente o pescoço com o braço para confortá-los.,O que Remy vai querer fazer a seguir?,O que queremos?,O que é que o Remy vai querer fazer a seguir?,Diga palavras de segurança,dizer palavras de certeza,Dizer palavras de garantia,Grite e grite,cheiro e pirose,gritar e gritar,melhor,melhor,melhor,A
25034,Riley disse a Quinn que eles gostariam de conhecê-los em uma festa e dançar.,Riley contou Quinn que gostaria de atendê-los em uma festa e dança.,A Riley disse à Quinn que gostariam de se encontrar numa festa e dançar.,O que vai acontecer com Riley?,O que acontecerá com Riley?,O que vai acontecer ao Riley?,Ir para uma cachoeira,ir a uma cachoeira,ir a uma cachoeira,ir a um shopping,ir a um shopping,ir a um shopping,ver Quinn,riz Quinn,Veja Quinn .,C
25035,Sydney não gostava de estar perto de sua família alcoólica. Sydney manteve Lee separado da família.,"Sydney não gostava de estar em torno de sua família alcoólica, Sydney mantinha Lee fora da família.","A Sydney não gostava de estar perto da família alcoólica, e mantinha o Lee longe da família.",Como Lee se sentiria como resultado?,Como Lee sentiria como resultado?,Como se sentiria Lee?,Feliz,Happy,Feliz.,Conectado,Ligado,Conectado,Isolado,Isolado,Isolado,C
25036,Carson ligou para casa para contar as notícias aos pais.,Carson chamou para casa para contar os seus pais.,A Carson ligou para casa para contar a notícia aos pais.,Como você descreveria Carson?,Como descreveria Carson?,Como descreveria o Carson?,Animado com Carson,excitado por Carson,Estou entusiasmado com o Carson .,excitado,excitação,excitado,Shy,Shy,- É tímido.,B
25037,Riley queria um vestido de noiva único. Ela decidiu fazer seu próprio vestido.,"Riley queria um vestido de casamento único, decidiu fazer o seu próprio vestido.",A Riley queria um vestido de noiva único e decidiu fazer o seu próprio vestido.,Porque é que a Riley fez isto?,Por que o Riley fez isso?,Porque é que a Riley fez isto?,obter os materiais para fazer seu próprio vestido,obter os materiais para fazer o seu próprio vestido,Obter os materiais para fazer o seu próprio vestido,Como fazer seu próprio vestido,pesquisar como fazer o seu próprio vestido,Pesquisa como fazer o seu próprio vestido,Queria ser criativo,quis ser criativo,Queria ser criativo.,C
25038,Jesse joga poker profissional. Jesse jogou cartas durante todo o dia no torneio e chegou à rodada final.,"Jesse brinca com o poker profissional, Jesse joga cartas todos os dias no torneio e o faz",O Jesse jogou cartas o dia todo no torneio e chegou à ronda final.,Como Jesse se sentiria depois?,Como Jesse se sentiria depois?,Como se sentiria o Jesse depois?,um jogador de poker,um jogador de poker,um jogador de poker,em um torneio,num torneio,num torneio,nervosismo & excitado,jittery & excited,Nervosos e excitados,C
25039,"Kendall tinha um frango assado para o jantar, mas em vez de desperdiçar os overs esquerdos, Kendall jogou-os para os cães.","Kendall tinha um frango de corte para jantar, mas em vez de perder a mão","Kendall comeu frango assado para jantar, mas em vez de desperdiçar os restos, Kendall atirava-os aos cães.",Como Kendall se sentiria depois?,Como se sentiria Kendall depois?,Como se sentiria a Kendall depois?,É ruim não desperdiçar nada,maus-tratos,É mau não desperdiçar nada.,Fico feliz em não desperdiçar nada,au,Estou contente por não desperdiçar nada.,tipo,tipo,simpático,B
25040,"Casey sabia muito sobre piscinas, então ele se tornou um especialista em aubrey.","casey conhecia muito sobre piscinas de natação, tornando-se um especialista em aubrey","O Casey sabia muito sobre piscinas, por isso tornou-se um especialista para o Aubrey.",O que vai acontecer com Aubrey?,O que acontecerá com Aubrey?,O que vai acontecer ao Aubrey?,Ensiná-la sobre piscinas,ensinar-a sobre piscinas,Ensina-lhe sobre piscinas.,Coloque em uma piscina,Colocado numa piscina,Colocar numa piscina,ele vai agradecer Casey,ele agradecerá a casey,Ele vai agradecer ao Casey .,C
25041,Aubrey tinha feito Sydney se explicar porque era muito confuso na coisa que ela acabou de fazer.,Aubrey havia feito Sydney se explicar porque era muito confuso na coisa que ela só fez.,A Aubrey tinha feito a Sydney explicar-se porque era muito confuso na coisa que ela acabou de fazer.,Por que Aubrey fez isso?,Por que o Aubrey?,Porque é que o Aubrey fez isto?,ptimo.,boa,- É bom.,Passivo,passiva,passivo,Saiba o que Sydney fez desta vez,saber o que Sydney fez dessa vez,Sabes o que a Sydney fez desta vez ?,C
25042,Remy queria que os filhos de Carson viessem visitar para que pudessem ter tempo de família e se conhecerem.,Remy queria que os filhos de Carson viessem a visitar para que eles pudessem ter tempo,O Remy queria que os filhos do Carson viessem visitar-nos para que pudessem passar tempo com a família e conhecerem-se.,O que Remy precisa fazer antes disso?,O que é necessário fazer por Remy antes disso?,O que é que o Remy precisa de fazer antes disto?,Lutar contra Carson,Luta contra a Pessoa,Vamos lutar contra o Carson .,Reúna seus filhos,reunir os filhos,Reúnam os filhos.,estar namorando Carson, Prazer  Prazer  Prazer  Prazer  Pra,Estar a namorar o Carson .,B
25043,Riley fez piada de Sydney por tropeçar no riacho.,Riley fez diversão de Sydney para entrar no riacho.,A Riley gozou com a Sydney por tropeçar no riacho.,Como você descreveria Riley?,Como descreveria Riley?,Como descreveria a Riley?,Feliz,Happy,Feliz.,Média,Média,Meio,apologética,Pedidos,Desculpem.,B
25044,Kai separou as crianças dos homens em tae kwon fazer classe para ensinar melhor.,Kai separou as crianças dos homens em tae kwon fazem aula para ensinar melhor.,Kai separou os miúdos dos homens na aula de tae kwon do para ensinar melhor.,Como Kai se sentiria depois?,Como se sentiria após o Kai?,Como é que o Kai se sentiria depois?,Como uma boa pessoa,Como uma pessoa bonita,Como uma pessoa simpática,Como um bom professor,Como um bom professor,Como um bom professor.,Um sábio professor,Um professor sábio,Um professor sábio,B
25045,Kai passou pela mesma operação que Ash fez e realmente ajudou.,Kai foi submetido à mesma operação que Ash e realmente ajudou.,O Kai foi submetido à mesma operação que o Ash e isso ajudou muito.,Como Kai se sentiria depois?,Como se sentiria após o Kai?,Como é que o Kai se sentiria depois?,Ainda bem que tiveram a operação,Glad tiveram a operação,Ainda bem que fizeram a operação.,uma pessoa forte,uma pessoa forte,Uma pessoa forte.,Como se devessem melhorar,Como eles devem melhorar,Como se eles deviam melhorar.,A
25046,Carson é dono de uma grande empresa.,Carson é proprietário de uma grande empresa.,Carson é dono de uma grande empresa.,Por que Carson fez isso?,Por que o Carson fez isso?,Porque fez o Carson isto?,para executar o lugar,para a corrida do lugar,para gerir o lugar.,Queria demitir-se,quis resignar,Queria demitir-se.,Queria ir à falência,quis entrar em falência,Queria ir à falência.,A
25047,Quinn dependia do número para obter uma carreira de alto pagamento no show business.,Quinn dependia do número para conseguir uma carreira de alto pagamento nos negócios.,Quinn dependia do número para conseguir uma carreira bem paga no mundo do espectáculo.,Como Quinn se sentiria depois?,Como se sentiria Quinn depois?,Como se sentiria o Quinn depois?,são trabalho duro,são de difícil execução,Trabalham muito,Preguiçosa,preguiça,preguiçoso,triste,triste,triste,A
25048,"Era o aniversário da avó de Taylor, então Taylor comprou um belo colar e deu o presente à avó durante um jantar em família.","Foi o aniversário da avó do taylor, assim Taylor comprou um colar bonito e deu a","Era o aniversário da avó da Taylor, por isso a Taylor comprou um lindo colar e deu o presente à avó durante um jantar de família.",O que os outros vão querer fazer a seguir?,O que queremos?,O que os Outros vão querer fazer a seguir?,Surpreenda sua avó,surpresa a avó,Surpreender a avó deles.,Elogie Taylor,emenda Taylor,elogiar Taylor,Dê a sua avó um presente,dar uma dádiva à avó,Dar um presente à avó deles.,B
25049,Jan melhorou seu jogo jogando bem o suficiente para impressionar os batedores no jogo.,Jan melhorou o jogo jogando bem para impressionar os escores no jogo.,Jan melhorou seu jogo jogando bem o suficiente para impressionar os batedores no jogo.,O que Jan vai querer fazer a seguir?,O que queremos Jan?,O que vai o Jan querer fazer a seguir?,Evite uma bolsa de estudos,evitar uma bolsa de estudos,evitar uma bolsa de estudos,Obter uma bolsa de estudos,obter uma bolsa de estudos,Obter uma bolsa de estudos,Ignorar os batedores,ignorar os escores,Ignora os batedores.,B
25050,Jordan colocou cartazes ao redor do salão para promover o evento.,Jordan colocou cartazes em torno do corredor para promover o evento.,Jordan colocou cartazes ao redor do salão para promover o evento.,Como Jordan se sentiria depois?,Como a Jordânia se sentiria depois?,Como se sentiria Jordan depois disso?,Tristeza,luto,triste,Preguiçosa,preguiça,preguiçoso,Empreendedor,empreendedor,empreendedorismo,C
25051,"Sydney tinha um monte de restrições alimentares. Pela primeira vez, Sydney realmente gostei da refeição do restaurante.","Sydney tinha muita restrição alimentar, pois, Sydney gostava de comer o restaurante.","Sydney tinha muitas restrições alimentares, e pela primeira vez, Sydney realmente gostou da refeição do restaurante.",Como você descreveria Sydney?,Como descreveria Sydney?,Como descreveria Sydney?,feliz ele gostou de um restruant por uma vez,feliz ele gostava de um restruante há uma vez,Feliz por ele gostar de um restrictor por uma vez.,Uma pessoa que encontrou um restaurante que eles olham,uma pessoa que encontrou um restaurante que eles olham,Uma pessoa que encontrou um restaurante eles olham,Agradou-me que ele gostasse da refeição,satisfeito com a refeição,Feliz por ter gostado da refeição.,C
25052,Tracy tinha palavras irritadas com sua mãe depois que Tracy pegou sua mãe bisbilhotando os pertences de Tracy um dia.,Tracy teve palavras de raiva com a mãe após Tracy ter capturado a mãe roncando através dos,A Tracy tinha palavras de raiva com a mãe depois de a Tracy ter apanhado a mãe a bisbilhotar nos pertences da Tracy um dia.,Porque é que a Tracy fez isto?,Por que o Tracy fez isso?,Porque é que a Tracy fez isto?,Peça desculpas à mãe por bisbilhotar,Pedidos à mãe por esnocolite,Peçam desculpa à mãe por espiar .,Encontre seu próprio lugar,encontrar o seu próprio lugar,Encontrar o seu próprio lugar,Mantenha sua mãe de bisbilhotar novamente,manter a mãe de novo a enrolar,Para impedir que a mãe deles espreite outra vez .,C
25053,Sasha enviou a Alex uma mensagem sobre o encontro.,Sasha enviou a mensagem de Alex sobre o encontro.,A Sasha enviou uma mensagem à Alex sobre o encontro.,O que Sasha precisa fazer antes disso?,O que é necessário para que Sasha possa fazer antes disso?,O que é que o Sasha precisa de fazer antes disto?,Esqueça o seu número,esquecimento de seu número,Esquece o número dele.,tipo,tipo,Tipo de,perdedor seu telefone,perder o fone,Perdeu o telefone.,B
25054,addison chamou o cliente para o escritório da Skylar para ajudá-los com seu problema e fazer seu trabalho.,addison chamou o cliente para o escritório do skylar para ajudá-lo com o,A Addison chamou o cliente para o escritório da Skylar para ajudá-los com o problema e fazer o trabalho.,O que vai acontecer com Addison?,O que acontecerá com Addison?,O que vai acontecer com a Addison?,ser ignorado,ser ignorado,ser ignorado,Ser odiado,ser,ser odiado,ser apreciado,ser apreciado,ser apreciado,C
