,context_1,context_2,context_3,question_1,question_2,question_3,answerA_1,answerA_2,answerA_3,answerB_1,answerB_2,answerB_3,answerC_1,answerC_2,answerC_3,correct
20011,Jordan estava com ciúmes das novas tintas de Carson. Jordan usou a matriz de tintas de Carson sem permissão.,"A Jordan tinha ciúme das novas pinturas de Carson, e a Jordan usava a matriz de pinturas",A Jordan tinha ciúmes das novas tintas do Carson e usou a sua variedade sem permissão.,Como você descreveria a Jordânia?,Como descreveria a Jordânia?,Como descreveria o Jordan?,feliz,feliz,feliz,um imaturo,um,um imatur,Preocupado com Carson,Preocupado com a inquietação da Pessoa,Preocupado em perturbar o Carson,B
20012,"Sasha ficou feliz ao ver que, ao chegar em casa, encontrou sua porta da frente trancada, como havia sido quando ela saiu de casa naquela manhã.","Sasha estava feliz em ver que, ao chegar à casa, a porta da frente estava tranca","Sasha ficou feliz por ver que, ao chegar em casa, a porta da frente estava trancada como estava quando ela saiu da casa naquela manhã cedo.",Como você descreveria Sasha?,Como descreveria Sasha?,Como descreveria a Sasha?,ptimo.,boa,- É bom.,Ainda bloqueado,bloqueado,Ainda trancado.,normal,normal,Normal,C
20013,Addison estava fazendo sua festa de aniversário à tarde e ninguém veio.,Adison estava tendo seu aniversário à tarde e ninguém veio.,A Addison estava a dar a festa de aniversário à tarde e ninguém veio.,Como se sentiria a Addison depois?,Como senti-lo-ia depois?,Como se sentiria a Addison depois?,Alguém com más habilidades de planejamento de festa, Pessoa com baixa capacidade de planejamento de partidos,alguém com habilidades de planejamento de festas pobres,Rejeitado,rejeição,rejeitado,feliz,feliz,feliz,B
20014,"Kai precisava usar o banheiro, então ela se desculpou antes de sair da mesa.",Kai necessitou de usar o banheiro para se desculpar antes de sair da mesa.,"A Kai precisava de ir à casa de banho, por isso desculpou-se antes de sair da mesa.",Como Kai se sentiria depois?,Como se sentiria após o Kai?,Como é que o Kai se sentiria depois?,Ansioso depois,Ansiosos após,ansioso depois,educada depois,polido depois,educado depois.,estressada depois,", , , , , , , , , ",- Estressado depois.,B
20015,"Ash ficou na piscina por muito tempo e teve uma queimadura de sol, então Ash colocou aloe em suas queimaduras solares.","Ash estava fora da piscina por muito tempo e ganhou uma queimadura solar, então Ash colocou a","O Ash esteve muito tempo na piscina e ficou queimado, por isso, ele pôs aloe na queimadura.",Como Ash se sentiria depois?,Como se sentiria Ash depois?,Como é que o Ash se sentiria depois?,cuidado,cuidadosa,Cuidado .,Aliviado,Descontado,- Aliviado.,cauteloso,prudência,cauteloso,B
20016,Jordan estava fazendo picles e queria guardar tudo antes de sua mãe voltar para casa.,Jordan estava fazendo as pisadas e queria retirar tudo antes que sua mãe voltasse para casa,O Jordan estava a fazer picles e queria guardar tudo antes da mãe voltar.,O que Jordan vai querer fazer a seguir?,O que a Jordânia deseja fazer a seguir?,O que vai querer fazer a seguir?,Deixe os picles de fora,descole as cápsulas,Deixe os picles fora,Faça uma bagunça na cozinha,fazer uma mecha na cozinha,fazer uma bagunça na cozinha,terminar decapagem e limpar,terminar a descasca e limpar,Acabar de decorar e limpar,C
20017,Ash cometeu um erro no trabalho e Riley deu a Ash outra chance.,Ash cometeu um erro no trabalho e Riley deu outra chance a Ash.,O Ash cometeu um erro no trabalho e a Riley deu-lhe outra oportunidade.,O que Riley vai querer fazer a seguir?,O que queremos com Riley?,O que é que a Riley vai querer fazer a seguir?,Esforce-se mais do que nunca para melhorar,"riz prurido, prurido, prurido, prurido, ",Tente mais do que nunca melhorar,quer Ash para fazer bem,quer Ash fazer bem,Ele quer que Ash se safa .,Conheça as pessoas,sabe sobre as pessoas,Sabe das pessoas.,B
20018,O Kendall deixou o cão do Carson sair da caneta.,Kendall deixe o cão de Carson fora da caneta de brincadeira.,A Kendall deixou o cão do Carson sair do canil.,O que Carson vai querer fazer a seguir?,O que queremos por Carson?,O que é que o Carson vai querer fazer a seguir?,pet o cão,cão,acaricie o cão,Cuidado com isso,cuidados para a mesma,Cuidado com ele .,deixá-lo correr livre,"utilize a solução de Nespo e, se for caso disso, a solução de",Deixa-o correr livre.,C
20019,Taylor vendeu a terra de Jordan por seu preço pedido.,Taylor vendeu a terra da Jordânia por seu preço de compra.,A Taylor vendeu a terra da Jordan pelo preço que pediu.,O que Jordan vai querer fazer a seguir?,O que a Jordânia deseja fazer a seguir?,O que vai querer fazer a seguir?,Receber uma comissão a seguir,recepção de uma comissão em seguida,receber uma comissão a seguir,Comprar uma casa nova,compra de uma nova casa,comprar uma casa nova,ir de férias,de férias,ir de férias,B
20020,Skylar estava fazendo uma exposição sobre câmeras para a feira de ciências da escola em sua cidade.,Skylar estava fazendo uma exposição sobre câmeras para a feira de ciências da escola em sua cidade.,A Skylar estava a fazer uma exposição sobre câmaras para a feira de ciências da escola na cidade deles.,Por que Skylar fez isso?,Por que o Skylar fez isso?,Porque é que a Skylar fez isto?,necessário para fazer um obturador para a câmera,Necessidade de esfola para a câmera,Precisava de fazer um obturador para a câmara,Configure seu estande de ciência,Setup sua cabina de ciências,Configurar a cabine de ciência dele,estava com raiva e queria socar a caixa,estava irritado e queria puncionar a caixa,Estava zangado e queria dar um murro na caixa.,B
20021,Riley deu a Quinn uma vista da cidade de seu condomínio alto.,Riley deu uma visão da cidade a partir de seu alto preservativo.,O Riley deu à Quinn uma vista da cidade do apartamento alto dele.,O que vai acontecer com Riley?,O que acontecerá com Riley?,O que vai acontecer ao Riley?,Aprecia-o.,apreciá-lo,Agradeço-lhe .,não terá amigos,não terá amigos,Não terá amigos.,ele terá saltado,nã,Ele vai saltar .,A
20022,Quinn estava com pressa e estava rapidamente dirigindo pela estrada.,Quinn estava com pressa e estava dirigindo rapidamente a rodovia.,Quinn estava com pressa e estava a conduzir rapidamente pela auto-estrada.,Como você descreveria Quinn?,Como descreveria Quinn?,Como descreveria o Quinn?,não em um rush,Não na corrida,Não tenho pressa.,com pressa,prurido,De pressa.,muito infeliz,muito infeliz,muito infeliz,B
20023,Carson disse à irmã de Cameron a notícia de que Cameron estava grávida.,Carson contou à irmã de Cameron a notícia de que Cameron estava grávida.,Carson disse à irmã de Cameron que ela estava grávida.,O que Cameron vai querer fazer a seguir?,O que queremos por Cameron?,O que é que a Cameron vai querer fazer a seguir?,Escolha um nome,1,Escolha um nome .,fumar um cigarro,fumar um cigarro,Fuma um cigarro.,beber álcool,álcool,beber álcool,A
20024,A Jordan disse ao namorado da Riley que a Riley podia sair naquela noite.,Jordan contou ao namorado de Riley que Riley podia sair naquela noite.,A Jordan disse ao namorado da Riley que a Riley podia sair naquela noite.,O que Riley vai querer fazer a seguir?,O que queremos com Riley?,O que é que a Riley vai querer fazer a seguir?,Sair com o namorado,sair com o namorado,Saem com o namorado deles.,Converse com o namorado de Riley,conversar com o namorado de Riley,Fala com o namorado da Riley.,Diga-lhes que eles são divertidos,conta-lhes que são divertidos,Diz-lhes que são divertidos.,A
20025,Sydney finalmente bateu em seu amigo no Dr. Mario depois de semanas de pratice.,Sydney finalmente batia na amiga do Dr. Mario após semanas de prática.,A Sydney finalmente venceu a amiga no Dr. Mario depois de semanas de prática.,Por que Sydney fez isso?,Por que o Sydney?,Porque é que a Sydney fez isto?,Prove-se a seu amigo,provar-se à amiga,Prova-se à amiga dela.,Tente vencer Sydney,tentar vencer Sydney,Tente vencer Sydney .,Felicitando Sydney,parabéns Sydney,Parabéns à Sydney .,A
20026,Skylar realmente ama seu irmão e ela se certifica de que ela o segue por toda parte.,Skylar ama o irmão e ela se certifica de que o acompanha em todo o lugar.,A Skylar ama muito o irmão e segue-o para todo o lado.,Por que Skylar fez isso?,Por que o Skylar fez isso?,Porque é que a Skylar fez isto?,Conheça todos os amigos do seu irmão,conhecer todos os amigos de seu irmão,Conhece todos os amigos do irmão dela.,Perturbando seu irmão,perturbar o irmão,perturbar o irmão dela.,Ama seu irmão,ama o irmão,Ama o irmão dela.,C
20027,Kendall viu Robin começar a se inclinar muito perto da borda do penhasco e agarrou os quadris de Robin.,Kendall viu Robin começar a se inclinar muito perto da borda do clique e,Kendall viu Robin começar a inclinar-se muito perto da beira do penhasco e agarrou os quadris de Robin.,Porque é que o Kendall fez isto?,Por que o Kendall fez isso?,Porque é que a Kendall fez isto?,Certifique-se de Robin caiu do penhasco enquanto olha,esqueça o clique de Robin enquanto olha,Certifique-se que Robin caiu do penhasco enquanto olhava,empurrar Robin sobre o penhasco e assassiná-los,pressione Robin sobre o clique e abaste- os,empurrar o Robin para o penhasco e matá-los .,Certifique-se de que Robin ficou seguro enquanto olhava,assegurar que Robin permaneceu seguro enquanto olha,Certifique-se que Robin fique segura enquanto procura.,C
20028,Austin estava cansado e não queria ir para a escola hoje.,Austin estava cansado e não queria ir à escola hoje.,Austin estava cansado e não queria ir à escola hoje.,O que Austin vai querer fazer a seguir?,O que queremos por Austin?,O que é que o Austin vai querer fazer a seguir?,ir para a escola,ir à escola,ir para a escola,Fingir estar doente,pretenda estar doente,Finge estar doente .,Ele fez isso porque não dormiu bem.,isso porque ele não dormia bem.,Ele fez isto porque não dormiu bem.,B
20029,O Austin precisava de boleia e perguntou ao Skylar.,Austin necessitou de uma viagem e perguntou Skylar. Skylar veio e chegou Austin,O Austin precisava de boleia e pediu à Skylar.,O que a Skylar precisa fazer antes disso?,O que o Skylar precisa fazer antes disso?,O que é que a Skylar precisa de fazer antes disto?,Diga a Austin que ela está ocupada,conta-lhe Austin s busy,Diz ao Austin que ela está ocupada.,Descubra onde Austin estava,figura fora onde Austin,Descobrir onde estava o Austin.,Ignorar o chamado de Austin,ignorar o chamado de Austin,Ignora a chamada do Austin.,B
20030,Quinn venceu o amigo de Jesse duramente em cada jogo que eles jogaram uns contra os outros e logo se cansou da falta de desafio.,Quinn batia com dificuldade o amigo de Jesse em todos os jogos que jogavam contra si,Quinn bateu o amigo do Jesse em todos os jogos que jogaram e logo se cansou da falta de desafio.,O que Quinn vai querer fazer a seguir?,O que queremos Quinn?,O que quer o Quinn fazer a seguir?,Tenha um jogo desafiador,tem um jogo desafiador,ter um jogo desafiador,pedir Jesse para uma revanche,Pedido de rematch Jesse,Peça ao Jesse uma revanche .,declarar-se campeão reinante,declarar-se campeão dominante,Declaram-se campeões reinantes,C
20031,"A Jordânia produzia muito dinheiro anualmente, podendo sempre pagar as suas contas a tempo.","A Jordânia produziu muito dinheiro anualmente, sempre conseguindo pagar suas contas no tempo.","O Jordan ganhava muito dinheiro anualmente, sempre conseguindo pagar as contas a tempo.",Como Jordan se sentiria depois?,Como a Jordânia se sentiria depois?,Como se sentiria Jordan depois disso?,descontraída,lúdico,relaxado,triste,triste,triste,financeiramente responsável,responsabilidade financeira,financeiramente responsável,C
20032,Tracy passou a semana inteira trabalhando na casa da árvore para as crianças.,Tracy permaneceu toda a semana trabalhando na casa de árvore para as crianças.,A Tracy passou a semana toda a trabalhar na casa da árvore para as crianças.,Como você descreveria Tracy?,Como descreveria Tracy?,Como descreveria a Tracy?,Preguiçosa,preguiça,preguiçoso,Trabalhou todo o fim de semana construindo a casa da árvore de uma criança,trabalhou-se todo o final de semana em uma casa de vegetação de uma criança.,Trabalhei o fim de semana inteiro a construir a casa da árvore de um miúdo.,industrious,industria,trabalhador,C
20033,Sasha pediu o conselho de Sydney porque ela estava nervosa com a faculdade.,Sasha solicitou o conselho de Sydney por estar nervosa em relação à faculdade.,A Sasha pediu conselhos à Sydney porque estava nervosa com a faculdade.,Como você descreveria Sasha?,Como descreveria Sasha?,Como descreveria a Sasha?,Como ajudar Sasha,Como ajudar a Sasha,Como ajudar o Sasha.,cauteloso,prudência,cauteloso,Como dar conselhos a Sasha,Como dar Sasha,Como dar conselhos ao Sasha.,B
20034,Taylor gostava de comer comida picante quando saiu para comer.,Taylor gostava de comer comida especiada quando ela saía para comer.,Taylor gostava de comer comida picante quando saía para comer.,Como Taylor se sentiria depois?,Como senti-lo-ia depois?,Como é que a Taylor se sentiria depois?,Muito quente,Muito quente,Muito quente.,Como ela comeu comida branda,como ela come alimentos,Como se ela tivesse comido comida frágil.,Gosta de comida quente,Como alimentos quentes,Gosta de comida quente.,C
20035,Alex amou muito e ficou online para falar sobre isso a noite toda.,Alex gostava muito e foi online para falar sobre isso durante toda a noite.,Alex adorou muito e passou a noite toda a falar sobre isso.,Como Alex se sentiria depois?,Como se sentiria Alex depois?,Como se sentiria o Alex depois?,entediada,prurido,Aborrecido.,desapegado,< < < < < < < < < ,separado,ptimo.,Muito,- Ótimo.,C
20036,O Kai ajudou a mãe a preparar o jantar naquela noite.,Kai ajudou a mãe a jantar naquela noite.,O Kai ajudou a mãe a preparar o jantar naquela noite.,O que os outros vão querer fazer a seguir?,O que queremos?,O que os Outros vão querer fazer a seguir?,E-mail,completo,Cheio,Amado,amado,Amado,Espero que gostem do jantar,espera que goste de jantar,Espero que gostem do jantar.,C
20037,Quinn deu Austin detenção porque Austin estava sendo muito rude com Quinn.,Quinn deu a detenção de Austin porque Austin estava sendo muito rude para Quinn.,Quinn deu a Austin uma suspensão porque ele estava a ser muito rude com a Quinn.,Como se sentiria Austin como resultado?,Como seria que Austin sentisse como resultado?,Como se sentiria Austin?,culpado,culpa,culpado,firme,steadfast,firme,excitado,excitação,excitado,A
20038,"Robin notou alguém se esgueirando no quintal de Jan, então Robin protegeu a propriedade de Jan.","Robin observou alguém que se escorreu no pátio de Jan, de modo que Robin protege","A Robin viu alguém a entrar no quintal da Jan, por isso a Robin protegeu a propriedade dela.",Como você descreveria Robin?,Como descrever Robin?,Como descreveria a Robin?,proteção,Protecção,proteção,descuidada,carlosidade,descuidado,Gratidão,Agradecimento,Agradecido,A
20039,Addison colocou seu filho em suas costas e começou a dar tapinhas nas costas para fazê-los tossir.,Addison coloque o filho na sua parte de trás e comece a patronhar,Addison colocou o filho nas costas e começou a dar-lhes uma palmadinha nas costas para fazê-los tossir.,Como se sentiria a Addison depois?,Como senti-lo-ia depois?,Como se sentiria a Addison depois?,negrito,em negrito,em negrito,um bom pai,um bom parental,um bom pai,em causa,em causa,interessados,B
20040,Skylar contou a Alex como eles se sentiam e Alex perguntou o que estava acontecendo.,Skylar contou a Alex como se sentiu e Alex perguntou o que estava acontecendo.,A Skylar contou à Alex como se sentiam e a Alex perguntou o que se passava.,Como Skylar se sentiria depois?,Como senti-lo-ia depois?,Como é que a Skylar se sentiria depois?,Gosta de compartilhar como se sente,gosta de compartilhar como ele se sente,gosta de partilhar o que sente,ouvida,ouvida,ouvido,likes to confide in Rio de Janeiro,gosta de confiar em Alex,Gosta de confiar no Alex.,B
20041,Taylor levou os alunos para suas mesas e mostrou-lhes seus materiais escolares.,Taylor dirigiu os alunos para suas carteiras e mostrou-lhes o seu material escolar.,Taylor levou os alunos às suas secretárias e mostrou-lhes os materiais escolares.,Como você descreveria Taylor?,Como descreveria Taylor?,Como descreveria a Taylor?,Significa para as crianças,média para crianças,Meio para crianças,Muito organizado,muito organizada,muito organizado,feliz,feliz,feliz,B
20042,Skylar vê a viagem da mulher enquanto caminha para seu carro. Todas as bolsas das mulheres derramam e mantimentos caem em todos os lugares.,"Skylar vê a viagem da mulher ao caminhar para o carro, todas as bolsas de","Skylar vê a mulher tropeçar enquanto caminha para o carro, as malas das mulheres derramam e as compras caem por todo o lado.",O que a Skylar vai querer fazer a seguir?,O que queremos com Skylar?,O que vai a Skylar querer fazer a seguir?,Ajude a jogar as coisas fora,ajuda a jogar o material,Ajuda-me a jogar as coisas fora.,ajudar as mulheres a pegá-lo,ajuda as mulheres a ingerir,Ajuda as mulheres a apanharem .,Não ajudar e ir embora,Não ajuda e desloque,Não me ajude e vá embora.,B
20043,Skylar foi em torno de Taylor para chegar à fonte de bebida.,Skylar foi por volta de Taylor para chegar ao bebedouro.,A Skylar contornou a Taylor para chegar à fonte.,O que a Skylar vai querer fazer a seguir?,O que queremos com Skylar?,O que vai a Skylar querer fazer a seguir?,Dê-me licença a seguir,digo me desculpar em seguida,Disculpe-me a seguir .,tirar uma soneca a seguir,"a seguir, faça um nap","- Não, não.",Faça sua lição de casa em seguida,fazer o trabalho doméstico seguinte,Faz os trabalhos de casa dela a seguir.,A
20044,Remy deu a Addison um copo de vinho para sua promoção no trabalho.,Remy deu a Addison um copo de vinho para sua promoção no trabalho.,O Remy deu à Addison um copo de vinho pela promoção no trabalho.,O que Addison vai querer fazer a seguir?,O que queremos com Addison?,O que é que a Addison vai querer fazer a seguir?,Fuja para a floresta,vá para a floresta,Fugir para a floresta .,Agradeça à outra pessoa,Agradecimentos à outra pessoa,Agradeça à outra pessoa,Pegue um barco na água,tomar um barco na água,tomar um barco na água,B
20045,Robin estava se casando com o homem de seus sonhos que ela amava.,Robin estava se casado com o homem de seus sonhos que amava.,A Robin ia casar com o homem dos seus sonhos que ela amava.,O que Robin vai querer fazer a seguir?,O que queremos por Robin?,O que vai querer fazer a seguir?,Caminhe pelo corredor,desça o aisle,Desça pelo altar,sair em datas com o homem,sai em datas com o homem,Sair em encontros com o homem,Fugir,run away,Fugir.,A
20046,Foi um dia muito quente. Quinn decidiu colocar seu terno e saltar direto para a piscina.,Quinn decidiu colocar o seu adesivo e salto direito na piscina.,"Era um dia muito quente, o Quinn decidiu vestir o fato e saltar para a piscina.",Porque é que o Quinn fez isto?,Por que Quinn?,Porque é que o Quinn fez isto?,Encontre uma maneira de relaxar,encontrar uma maneira de relaxar,encontrar uma maneira de relaxar,esfriar para baixo do calor,resfriamento a partir do calor,A refrescar-se do calor,Fique dentro o dia todo,ficar dentro de todos os dias,Fique dentro o dia todo.,B
20047,Addison dormiu bem na parte da manhã e queria descansar para o dia.,O adison dormiu bem de manhã e queria descansar para o dia.,Addison dormiu bem pela manhã e queria descansar o dia todo.,O que Addison vai querer fazer a seguir?,O que queremos com Addison?,O que é que a Addison vai querer fazer a seguir?,Relaxe naquele dia,flexibilização naquele dia,Relaxa naquele dia.,energizado,energizados,energizado,dormir,sono,dormir,A
20048,"O Quinn conseguiu um novo software de lead, ganharam novos clientes facilmente.","Quinn ganhou novo software de chumbo, eles ganharam novos clientes com facilidade.",O Quinn arranjou um novo software e ganhou clientes facilmente.,O que Quinn vai querer fazer a seguir?,O que queremos Quinn?,O que quer o Quinn fazer a seguir?,ir para fora,náuseas,Vai lá para fora.,Reiniciar seu computador,reiniciar o seu computador,Reinicie o computador,ir em uma corrida,náusea,Vai correr.,B
20049,Ash provocou uma resposta de Jesse depois que eles tiveram uma briga.,Ash provocou resposta de Jesse após ter luta.,O Ash provocou uma resposta do Jesse depois de terem brigado.,O que Ash vai querer fazer a seguir?,O que queremos por Ash?,O que é que o Ash vai querer fazer a seguir?,ignorá-lo,ignorar,Ignora isso.,forme uma resposta ela mesma,", , , , , , , , , ",Formar uma resposta ela mesma,menosprezá-lo,a ele,Desvalorizá-lo,B
20050,Sasha queria reunir todos para orar. Sasha juntou as mãos em um círculo.,"Sasha queria reunir todos para orar, Sasha juntou as mãos em círculo.",Sasha queria reunir todos para rezar.,Por que Sasha fez isso?,Por que o Sasha?,Porque é que o Sasha fez isto?,Convide seus amigos,convidar seus amigos,Convide os amigos dela.,Queria ter unidade,quis ter unidade,Queria ter unidade,Queria que todos fossem embora,quis ter todos desaparecido,Queria que todos se fossem embora.,B
20051,"Carson era uma boa pessoa, então ele se certificava de beijar aubrey de volta.","o carson era uma pessoa bonita, assim ele se certificou de que a sis","Carson era uma pessoa simpática, por isso, deu um beijo a Aubrey.",O que Aubrey vai querer fazer a seguir?,O que queremos com Aubrey?,O que é que o Aubrey vai querer fazer a seguir?,Ignorar Carson,ignore carson,Ignora o Carson .,olhar para carson,án,Olhe para Carson .,Evite Carson,Evite a vida em animais,Evite o Carson .,B
20052,"Robin estava cansada de Casey e suas palhaçadas, então ela deu um golpe a Casey.",robin estava cansado de casey e seus antics de modo que ela deu um,"A Robin estava farta da Casey e das suas palhaçadas, por isso deu uma pancada à Casey.",O que vai acontecer com Casey?,O que acontecerá com Casey?,O que vai acontecer ao Casey?,Casey vai chorar,casey vai chorar,Casey vai chorar .,Casey dirá em robin,casey contará sobre robin,A Casey vai contar sobre o Robin.,Casey perdoará Robin,casey perdoará robin,Casey vai perdoar Robin.,A
20053,Sydney foi para sua cama querendo dormir uma noite de sono.,Sydney levou para a cama dela querendo dormir uma noite.,"A Sydney foi para a cama, querendo dormir.",O que Sydney vai querer fazer a seguir?,O que queremos em seguida por Sydney?,O que é que a Sydney vai querer fazer a seguir?,Dormir porque estão cansados,"sono, pois estavam cansados",Dormiram porque estavam cansados.,adormecer,queda de sono,adormecer,chorar,choro,chorar,B
20054,O Remy trabalha no laboratório do Quinn.,A Remy trabalha no laboratório Quinn. Quinn forneceu o quadro de Remy para a,O Quinn forneceu ao Remy a estrutura para a pesquisa.,O que Remy vai querer fazer a seguir?,O que queremos?,O que é que o Remy vai querer fazer a seguir?,Escrever um artigo com Remy,redigido um artigo com Remy,Escrever um trabalho com o Remy.,encomendar camundongos para estudo in vivo,riz estudos in vivo,Ordenar ratos para estudo in vivo,obter Remy um aumento,.,Dá um aumento ao Remy .,A
20055,Remy finalmente lhes salvou dinheiro comprando comida no supermercado.,Remy acabou por economizá-los com dinheiro comprando alimentos na loja do a,O Remy finalmente poupou-lhes dinheiro para comprar comida no supermercado.,O que Remy precisa fazer antes disso?,O que é necessário fazer por Remy antes disso?,O que é que o Remy precisa de fazer antes disto?,necessidade de cortar cupons para o supermercado,lipídeos para a loja do açude,Preciso de cortar cupons para a mercearia.,Precisa comprar cortes caros de carne,necessidade de compra de cortes caros de carne,Precisam de comprar pedaços caros de carne.,Queria poupar para as férias,quis salvar férias,Queria poupar para as férias.,A
