,context_1,context_2,context_3,question_1,question_2,question_3,answerA_1,answerA_2,answerA_3,answerB_1,answerB_2,answerB_3,answerC_1,answerC_2,answerC_3,correct
10,Austin jogou um dos jogos mais populares do mundo e foi convidado a participar de uma competição.,Austin foi o jogo mais popular do mundo e foi chamado a aderir a uma competição.,Austin jogou um dos jogos mais populares do mundo e foi convidado para participar de uma competição.,O que Austin vai querer fazer a seguir?,O que queremos por Austin?,O que é que o Austin vai querer fazer a seguir?,Parar de jogar em seguida,parar de jogar,Deixa de jogar agora.,Junte-se à competição,adequar-se à concorrência seguinte,"A seguir, junte-se à competição.",Torne-se hábil no jogo,tornar-se apto no jogo,Tornar-se hábil no jogo,B
11,"Taylor estava fazendo seu trabalho, então ela colocou o dinheiro na gaveta.",taylor estava fazendo seu trabalho para que ela colocasse o dinheiro na gaveta.,"A Taylor estava a fazer o seu trabalho, por isso pôs o dinheiro na gaveta.",O que Taylor vai querer fazer a seguir?,O que queremos por Taylor?,O que é que a Taylor vai querer fazer a seguir?,Continue fazendo seu trabalho,continuar fazendo o seu trabalho,Continua a fazer o seu trabalho.,Pare de colocar dinheiro na gaveta,parar de colocar dinheiro na gaveta,Pára de pôr dinheiro na gaveta.,Desistir do seu trabalho,parar de trabalhar,Deixou o emprego.,A
12,Carson acordou de manhã cedo e começou a fazer tarefas.,O indivíduo despertou cedo pela manhã e iniciou as tarefas.,Carson acordou cedo de manhã e começou a fazer tarefas domésticas.,Por que Carson fez isso?,Por que o Carson fez isso?,Porque fez o Carson isto?,não queria fazer tarefas,não quis fazer as tarefas,Não queria fazer tarefas domésticas.,Queria que seu quarto parecesse bagunçado,quis que o seu espaço pudesse olhar a mess,Queria que o quarto deles parecesse bagunçado.,Queria fazer suas tarefas,quis obter suas tarefas realizadas,Queriam fazer as suas tarefas,C
13,Cameron tentou trabalhar em comissão como corretor de ações. Eles não fizeram quase nada.,"Cameron tentou trabalhar com comissão como corretor de ações, quase nada fez.",Cameron tentou trabalhar com comissão como corretor de ações.,O que Cameron vai querer fazer a seguir?,O que queremos por Cameron?,O que é que a Cameron vai querer fazer a seguir?,Peça uma promoção,Pedido de promoção,pedir uma promoção,Tente outra coisa,experimentar algo mais,Tenta outra coisa.,Queria ficar rico,quis obter riqueza,Queria ficar rico.,B
14,Taylor deu a sua filha um subsídio e foi mais alguns dólares do que da última vez.,Taylor deu à filha um subsídio e foi um pouco mais de bolachas do que,A Taylor deu uma mesada à filha e foi mais do que da última vez.,O que os outros vão querer fazer a seguir?,O que queremos?,O que os Outros vão querer fazer a seguir?,Diga-lhe para orçamentar o seu dinheiro,conta-a para orçamentá-lo,Diz-lhe para fazer um orçamento do dinheiro dela.,Preguiçosa,preguiça,preguiçoso,Amado,amado,Amado,A
15,Tracy protegeu o corpo de Austin do sol com uma espessa camada de protetor solar.,Tracy protegeu o corpo de Austin do sol com uma camada espessa de filtro solar.,A Tracy protegeu o corpo do Austin do sol com uma espessa camada de protetor solar.,O que vai acontecer com Tracy?,O que vai acontecer com Tracy?,O que vai acontecer à Tracy?,Ajude Austin a ser seguro,Austin ser seguro,Ajudem o Austin a estar seguro.,Afaste-se de todos,án án án án án án án án án ,afasta-te de todos.,Fique longe de Austin,.,Fica longe de Austin.,A
16,Kai fez um desejo e realmente acreditou que se tornaria realidade.,Kai fez um desejo e acreditava que isso viria a ser verdadeiro.,Kai fez um desejo e acreditou verdadeiramente que se iria realizar.,Como você descreveria Kai?,Como descreveria Kai?,Como descreveria o Kai?,Uma pessoa cínica,uma pessoa singular,Uma pessoa cínica.,Como uma pessoa desejante,como uma pessoa desejada,Como uma pessoa que deseja,Uma pessoa crente,uma pessoa que acredita,uma pessoa crente,C
17,Jesse caiu na colina e machucou o tornozelo. Austin ofereceu-se para carregá-la e ela envolveu as pernas em torno de sua cintura.,"Jesse caiu o morro e dói o tornozelo, Austin ofereceu-lhe e envoltou","O Jesse caiu da colina e magoou o tornozelo, o Austin ofereceu-se para a carregar e ela enrolou as pernas à volta da cintura dele.",O que Austin vai querer fazer então?,O que queremos por Austin?,O que é que o Austin vai querer fazer?,Suba a colina,subir o morro,Vai para cima da colina.,levar Jesse para a sala de emergência,levar Jesse ao pronto-socorro,Leva o Jesse para a sala de emergência .,sacudir Jesse fora e fugir,Agitar Jesse e correr,Sacuda o Jesse e foge.,B
18,"Lee era uma pessoa legal, então ele colocou o suéter de Cameron em torno de Jordan para mantê-la quente.","lee foi uma pessoa bonita, de modo que ele colocou o suor de camerão em","O Lee era uma pessoa simpática, por isso colocou a camisola da Cameron à volta da Jordan para a manter aquecida.",Como se sentiria Jordan como resultado?,Como seria que a Jordânia sentisse como resultado?,Como se sentiria Jordan?,como ingrato,como ingrato,como ingrato.,Como Gratidão,como gratidão,como grato,amigável e social,amigos e sociais,Amigável e social,B
19,O Cameron e os amigos estavam a jogar basebol.,"Cameron e seus amigos estavam jogando bola de futebol, Cameron chegou a bater no jogo.",Cameron e os amigos estavam a jogar basebol e o Cameron bateu no jogo.,Por que Cameron fez isso?,Por que Cameron fez isso?,Porque é que a Cameron fez isto?,Queria marcar para sua equipe,quis pontuar para sua equipe,Queria marcar para a equipa deles.,correr em torno das bases,Execute em torno das bases,Correr em torno das bases,Queria ir para casa rapidamente,quis ir para casa rapidamente,Queria ir para casa depressa.,A
20,Tracy estava dizendo a Jan que eles precisavam segurar o volante.,Tracy estava contando a Jan que precisavam se apropriar da roda de direção.,A Tracy estava a dizer à Jan que precisavam de tomar o volante.,O que Tracy vai querer fazer a seguir?,O que queremos agora por Tracy?,O que é que a Tracy vai querer fazer a seguir?,Deixe o carro,despedimento do carro,Sai do carro.,Dê mais instruções,dará mais instruções,dar mais instruções,tomar a roda,retire a roda,Leva o volante .,C
21,Jordan voltou para o carro de Sydney com a comida que eles pediram.,A Jordânia retornou ao carro de Sydney com a comida que ordenava.,A Jordan voltou para o carro da Sydney com a comida que eles encomendaram.,Como Jordan se sentiria depois?,Como a Jordânia se sentiria depois?,Como se sentiria Jordan depois disso?,Envergonhada depois,vergonha após,Envergonhado depois.,Capaz depois,A partir de então,Capaz de depois,Perturbado depois,tonturas após,- Desagradável depois.,B
22,"O Alex e o Carson são melhores amigos, o Alex fez a inspecção do Carson para eles.","Alex e Carson são os melhores amigos, Alex fizeram a inspeção domiciliar de Car",A Alex e o Carson são melhores amigos.,O que Alex vai querer fazer a seguir?,O que queremos com Alex?,O que é que o Alex vai querer fazer a seguir?,Falhar a casa de Carson de propósito,Falência de casa de Carson para o efeito,Falhar a casa do Carson de propósito.,Compartilhe a boa notícia de que Carson passou,partilhar das boas notícias que Carson passou,Partilhar as boas notícias que Carson passou,Recusar-se a fazer a inspeção,recusar a inspecção,recusar a inspecção,B
23,"Skylar caiu, mas eles continuaram indo porque eles estavam atrasados para a escola. Skylar finalmente olhou para sua contusão.","O Skylar caiu, mas continuou indo, porque estava atrasado à escola, e o Skylar","A Skylar caiu, mas continuaram a andar porque estavam atrasados para a escola.",Por que Skylar fez isso?,Por que o Skylar fez isso?,Porque é que a Skylar fez isto?,Saiba o que fazer porque foi doloroso,saber o que fazer porque foi doloroso,Sabia o que fazer porque era doloroso.,Peça desculpas ao professor por chegar atrasado,pecuniar ao professor por chegar ao final,Peça desculpa ao professor por chegar tarde.,ir para a enfermeira para uma bandagem,ir ao enfermeiro para um curativo,Vai à enfermeira buscar uma ligadura,C
24,Ash ganhou o dinheiro que eles precisavam para pagar seu aluguel mensal.,Ash obteve o dinheiro que precisava pagar o seu aluguel mensal.,Ash ganhou o dinheiro que precisavam para pagar a renda mensal.,Por que Ash fez isso?,Por que o Ash fez isso?,Porque é que o Ash fez isto?,Pague seu aluguel,pagar o seu arrendamento,Pagar o aluguer,Tenha um bom crédito,ter bom crédito,ter um bom crédito,Escreva um cheque para o aluguel,efectuar um controlo da renda,Escreva um cheque para a renda,A
25,Quinn encontrou uma pedra no quintal de Austin e foi um diamante para a surpresa de todos.,Quinn encontrou uma pedra no pátio de Austin e foi um diamante para a surpresa de todos.,Quinn encontrou uma pedra no quintal de Austin e foi um diamante para surpresa de todos.,Como você descreveria Quinn?,Como descreveria Quinn?,Como descreveria o Quinn?,sentir-se preguiçoso,sentir- se preguiça,sentir-se preguiçoso,Sentindo-se em conflito,sentir- se enjoado,sentir-se confuso,sentir-se grande,sentir- se grande,Sentindo-me bem.,C
26,Sasha namorou a namorada de Quinn depois que eles se separaram e pareciam realmente se dar bem.,Sasha datou a namorada de Quinn depois de romper e parecia realmente apertar.,O Sasha namorou a namorada do Quinn depois de se terem separado e pareciam dar-se bem.,O que Quinn vai querer fazer a seguir?,O que queremos Quinn?,O que quer o Quinn fazer a seguir?,Sejam simpáticos.,ser bom,Sê simpático .,Confrontar Sasha sobre isso,confrontar Sasha sobre ela,Confrontar o Sasha sobre isso .,Faça amor com eles,afetem-se a eles,Fazer amor com eles.,B
27,Remy chegou ao equador da Terra depois de vários dias no mar.,Remy chegou ao equador da Terra após vários dias no mar.,Remy chegou ao equador da Terra depois de vários dias no mar.,O que Remy precisa fazer antes disso?,O que é necessário fazer por Remy antes disso?,O que é que o Remy precisa de fazer antes disto?,Pegue um barco ao sul,apanhar um barco ao sul,Leva um barco para sul .,tirar fotos,Tomar fotos,Tirar fotos,post nas redes sociais,Posto nas redes sociais,postar nas redes sociais,A
28,Quinn também deu um sorriso porque a cena foi muito engraçada e divertida.,Quinn também sorriu porque a cena era muito divertida e divertida.,Quinn também sorriu porque a cena era muito engraçada e divertida.,Como você descreveria Quinn?,Como descreveria Quinn?,Como descreveria o Quinn?,entediada,prurido,Aborrecido.,Passivo,passiva,passivo,feliz,feliz,feliz,C
29,Addison basicamente disse Tracy para calar a boca e foi recebido com feedback negativo.,Addison basicamente contou a Tracy para shut up e foi atendido com feedback negativo,Addison basicamente disse à Tracy para se calar e foi recebido com um feedback negativo.,O que Addison vai querer fazer a seguir?,O que queremos com Addison?,O que é que a Addison vai querer fazer a seguir?,Sentiu-se frustrado com Tracy,foi frustrado com Tracy,Estava frustrado com a Tracy.,rude,rude,Desagradável,Faça as alterações a seguir,"a seguir,","- Não, não.",C
30,Sasha enrolou o peixe em um balde enquanto ela estava no barco.,Sasha reelevava o peixe em um balde enquanto estava fora do barco.,Sasha colocou o peixe num balde enquanto estava no barco.,Por que Sasha fez isso?,Por que o Sasha?,Porque é que o Sasha fez isto?,Mantenha o peixe,manter os peixes,Fica com o peixe.,afogar o peixe,desidratação dos peixes,Afogar o peixe.,Jogue o peixe de volta,deitar o peixe de novo,Atira o peixe de volta .,A
31,Cameron preparou o almoço de Ash para ele enquanto Ash procurava por seus livros.,Cameron acondicionou o almoço de Ash para ele enquanto Ash procurou seus livros.,Cameron fez o almoço do Ash enquanto ele procurava os livros.,Como você descreveria Cameron?,Como descrever Cameron?,Como descreveria a Cameron?,uma pessoa útil,uma pessoa útil,uma pessoa útil,Agradecimentos a Cameron,Agradecimento a Cameron,Agradecido ao Cameron.,Uma pessoa irritada,uma pessoa irritada,uma pessoa zangada,A
32,Aubrey fez a sua vida esperando mesas em um restaurante italiano.,Aubrey fez suas mesas de espera vivas em um restaurante italiano.,A Aubrey ganhava a vida servindo numa mesa de um restaurante italiano.,O que Aubrey precisa fazer antes disso?,O que é necessário para o Aubrey?,O que é que o Aubrey precisa de fazer antes disto?,Candidate-se ao trabalho,Pedido de trabalho,candidatar-se ao emprego,Pagar suas contas no tempo,Pagamento de contas,Pague as contas a tempo.,Odeia comida,alimentos para o ódio,odeio comida,A
33,Skylar seguiu animais de estimação em todos os lugares do parque enquanto trabalhava como caminhante de cães.,"Skylar acompanhou os animais de companhia em todas as partes do parque, enquanto funcionava como um cão",A Skylar seguiu animais por todo o parque enquanto trabalhava como passeadora de cães.,O que acontecerá com os outros?,O que acontecerá com os outros?,O que acontecerá aos Outros?,pagar Skylar para o seu jantar,pagar Skylar pelo seu jantar,Pague ao Skylar pelo jantar dele .,cães de passeio ao redor,andar cães em torno,passear cães,pagar Skylar para o seu serviço,pagar Skylar pelo seu serviço,Pague a Skylar pelo seu serviço.,C
34,Jan respondeu a todas as perguntas na grande conferência de imprensa da empresa.,Jan respondeu a cada inquérito na grande imprensa da empresa.,Jan respondeu a todas as perguntas na grande conferência de imprensa da empresa.,Como você descreveria Jan?,Como descreveria Jan?,Como descreveria o Jan?,importante para ser um porta-voz da empresa,importante por ser um porta-voz para a empresa,importante para ser um porta-voz da empresa,Uma pessoa tímida,titulação,uma pessoa tímida,uma pessoa conhecedora,uma pessoa conhecida,uma pessoa com conhecimento,C
35,Remy pagou Kendall de volta imediatamente depois de pedir dinheiro emprestado para comprar um PSVITA.,Remy pagou o Kendall logo após o empréstimo de dinheiro para comprar um PSVITA,O Remy pagou ao Kendall logo depois de pedir dinheiro emprestado para comprar uma PSVITA.,Como Kendall se sentiria como resultado?,Como senti-lo-ia com isso?,Como Kendall se sentiria?,chateado que Remy não pagou juros,Incômodo com o fato de Remy não ter pago juros,Estou chateado por o Remy não ter pago juros.,como Remy não pagar de volta rápido o suficiente,como Remy não pagou o suficiente,Como se o Remy não tivesse pago depressa o suficiente.,bom que eles têm o seu dinheiro de volta,bom que eles conseguiram o dinheiro de volta,Ainda bem que recuperaram o dinheiro .,C
36,"Skylar recebeu uma carta no correio, era de Harvard, ele estava animado.","Skylar recebeu uma carta no correio, era de harvard, estava excitado.","A Skylar recebeu uma carta pelo correio, era de Harvard, estava entusiasmado.",O que a Skylar vai querer fazer a seguir?,O que queremos com Skylar?,O que vai a Skylar querer fazer a seguir?,Leia a carta,leia a letra,Leia a carta.,Candidate-se à entrada em Harvard,Pedido de inscrição em Harvard,Candidato para Harvard,Jogue a carta fora,Colocar a letra,Atira a carta fora.,A
37,"Remy era uma pessoa generosa, então ele cumpriu os desejos da pessoa.","a remessa foi uma pessoa generosa, de modo que cumpriu os desejos da pessoa.","O Remy era uma pessoa generosa, por isso cumpriu os desejos da pessoa.",Como Remy se sentiria depois?,Como se sentiria depois de Remy?,Como é que o Remy se sentiria depois?,egoísta,esclerite,egoísta,tipo,tipo,simpático,Dando,adjudicação,dar,C
38,Jan foi ao quarto de Skylar e descobriu que a filha Skylar estava lendo livros sobre tópicos assustadores para Jan.,Jan foi à sala de Skylar e encontrou filha Skylar lendo livros sobre temas que se,Jan foi ao quarto da Skylar e encontrou a filha Skylar a ler livros sobre temas assustadores para Jan.,Como Jan se sentiria depois?,Como se sentiria Jan depois?,Como se sentiria Jan depois?,Perturbado com sua filha,distração com a filha,perturbados com a filha deles,superior,superior,superior,conteúdo,Conteúdo,conteúdo,A
39,Sasha colocou as mãos em suas costas enquanto ele relaxava na cama.,"Sasha colocou as mãos em seu dorso, pois se encontrava relaxado no leito.",Sasha colocou as mãos nas costas dele enquanto ele relaxava na cama.,O que Sasha vai querer fazer a seguir?,O que queremos com Sasha?,O que é que o Sasha vai querer fazer a seguir?,Aproxime-se deles,riz án án án án án án án án ,Aproxima-te deles.,Sair do quarto,sair da sala,Saiam da sala.,Esfregue as costas de alguém,esfregue o rosto de uma pessoa,Esfregue as costas de alguém.,C
40,Robin participou da grande reunião de família no lago naquele verão.,Robin participou da grande reunião familiar no lago no verão.,Robin participou da reunião da família no lago naquele verão.,Como Robin se sentiria depois?,Como se sentiria Robin depois?,Como é que a Robin se sentiria depois?,Interessados em conhecer seus parentes,interessados em reunir os seus familiares,interessados em conhecer os seus parentes,nostálgico,nostalgico,nostálgico,Animado para a família se reunir,excitado para a família se reunir,animado para a família se reunir,B
41,Jesse abriu os olhos de Kai para possibilidades completamente novas na vida.,Jesse abriu os olhos de Kai Kai para possibilidades completamente novas na vida.,Jesse abriu os olhos do Kai para possibilidades completamente novas na vida.,Como você descreveria Jesse?,Como descrever Jesse?,Como descreveria o Jesse?,um visionário,um visionário,um visionário,Como generoso,como generoso,como generoso,como tipo,como,como gentil,B
42,Sasha tinha induzido líquido nas células de seu projeto para ver o que aconteceria.,Sasha havia induzido líquido para as células de seu projeto para ver o que iria acontecer.,Sasha tinha induzido líquido nas células do seu projeto para ver o que aconteceria.,O que Sasha vai querer fazer a seguir?,O que queremos com Sasha?,O que é que o Sasha vai querer fazer a seguir?,demonstrar,< < < < < < < < < ,demonstrar,mostrar isso fora,Ajuste da,Mostra-o .,Observe os resultados,Nota-se os resultados,Observe os resultados,C
43,Riley se preparou para sua recepção após o casamento em dois meses.,Riley preparou para sua recepção após o casamento em dois meses.,A Riley preparou-se para a recepção depois do casamento daqui a dois meses.,Como os outros se sentiriam como resultado?,Como os outros se sentiriam como resultado?,Como se sentiriam os Outros?,excitado,excitação,excitado,Bom em planejar com antecedência,bom no planeamento à frente,bom a planear com antecedência,Outros ficariam chateados,Outros ficariam insatisfeitos,Outros ficariam chateados.,A
44,"Sasha brincou com o pai de Addison, porque o pai deles nunca fez nada com eles.","Sasha brincava com o pai de Addison, pois o pai nunca fez nada com","O Sasha jogava com o pai da Addison, porque o pai deles nunca fez nada com eles.",O que Sasha vai querer fazer a seguir?,O que queremos com Sasha?,O que é que o Sasha vai querer fazer a seguir?,Tome um banho com eles,ter um banho com eles,tomar um banho com eles,Orgulhe-se de seu pai,ter orgulho de seu pai,Fiquem orgulhosos do pai deles.,ir para casa,ir para casa,Vai para casa.,C
45,Lee foi convidado a sair porque ele estava sendo rude com todos os convidados.,Lee foi orientado a se afastar por ser rude para todos os convidados.,Pediram a Lee para sair porque ele estava sendo rude com todos os convidados.,O que os outros vão querer fazer a seguir?,O que queremos?,O que os Outros vão querer fazer a seguir?,Espera até o Lee ir embora.,aguardar folhas de Lee,Espera até o Lee sair.,Insulte todos ao seu redor,insulto a todos que o rodeiam,Insulta todos ao seu redor.,Tem muito para beber,tem de beber menos do que devia,beber muito,A
46,"Depois que ela ganhou a rifa, Robin levou para casa seu carro novo.","Depois de ganhar o sorteio, Robin dirigiu para casa o carro novo.","Depois de ganhar a lotaria, a Robin levou para casa o carro novo.",Como os outros se sentiriam como resultado?,Como os outros se sentiriam como resultado?,Como se sentiriam os Outros?,triste que eles não ganharam o carro,triste que não ganharam o carro,É triste que não ganharam o carro.,ecstatic,ectásico,extático,feliz que eles ganharam a rifa,feliz que eles ganhassem o sorteio,Felizes por terem ganho a lotaria .,A
47,Jordan chamou o nome de Austin quando eles se separaram em uma grande multidão.,Jordan chamou o nome de Austin quando se separaram em grande multidão.,A Jordan chamou o nome do Austin quando se separaram numa multidão.,Como você descreveria a Jordânia?,Como descreveria a Jordânia?,Como descreveria o Jordan?,Medo de ficar sozinho,medo de ficar sozinho,Medo de ficar sozinho.,Medo de multidões,prurido das multidões,Com medo de multidões.,Preocupado com Austin,preocupado com Austin,Preocupado com o Austin.,C
48,Carson desafiou Jan a uma corrida um contra o outro enquanto estavam fora.,Carson desafiava Jan a uma corrida contra o outro enquanto fora.,Carson desafiou Jan a uma corrida uns contra os outros enquanto estava lá fora.,Por que Carson fez isso?,Por que o Carson fez isso?,Porque fez o Carson isto?,ganhar a corrida,ganhar a raça,Ganhar a corrida,divirta-se,Afecções oculares,Diverte-te,beat Jan,batimento Jan,- Batia no Jan.,B
49,Carson parecia naturalmente pentear para trás depois de beber a poção que o fazia sentir-se tonto.,Carson parecia penar naturalmente depois de beber a poça que o fez sentir-se de,Carson parecia naturalmente enrolar-se para trás depois de beber a poção que o fazia sentir tontura.,Como Carson se sentiria depois?,Como senti-lo-ia depois?,Como é que o Carson se sentiria depois?,Como uma pessoa saudável,como uma pessoa saudável,Como uma pessoa saudável,Como uma pessoa confiante,como uma pessoa segura,Como uma pessoa confiante,Como uma pessoa doente,como um doente,Como uma pessoa doente.,C
50,"Kai deveria ir ajudar seu clube a se preparar para o evento, mas em vez disso, ela visitou a casa de alguns amigos.","Kai teria que ajudar o clube a se montar para o evento, mas em vez de visitar a","A Kai devia ajudar o clube a preparar o evento, mas foi a casa de uns amigos.",Como os outros se sentiriam como resultado?,Como os outros se sentiriam como resultado?,Como se sentiriam os Outros?,Gratidão,gratidão,Agradecido,raivoso,irritação,irritado,Preocupa-se mais com os amigos do que com as responsabilidades,cuida mais dos amigos do que das responsabilidades,Preocupado mais com os amigos do que com as responsabilidades,C
51,Era hora de Lee e Austin entrarem na estrada. Lee e Austin finalmente deixaram a casa.,"Foi o momento de Lee e Austin chegarem na estrada, Lee e Austin finalmente saíram da casa",Chegou a hora de Lee e Austin partirem.,Como você descreveria Lee?,Como descreveria Lee?,Como descreveria o Lee?,aliviado,alívio,- Desligado.,uma pessoa má,uma pessoa ruim,Uma pessoa má.,uma boa pessoa,uma boa pessoa,Uma boa pessoa.,A
52,"Kai contratou alguém para cortar o gramado para o verão, já que seu joelho estava ferido.","Kai contratou alguém para fazer o solha para o verão, pois o joelho estava ferido.","O Kai contratou alguém para cortar a relva durante o verão, já que o joelho estava ferido.",Por que Kai fez isso?,Por que o Kai fez isso?,Porque é que o Kai fez isto?,Pagar a pessoa,pagar à pessoa,Pagar a pessoa,Sente-se e observe-os,sentar e assistir,Senta-te e observa-os .,Evite mais lesões no joelho,previne lesões posteriores no joelho,evitar mais lesões no joelho,C
53,Jordan envergonhou Lee por causa de seu mau desempenho lá.,Jordan colocou Lee em vergonha devido ao seu mau desempenho.,A Jordan envergonhou o Lee por causa do seu mau desempenho.,Como Lee se sentiria como resultado?,Como Lee sentiria como resultado?,Como se sentiria Lee?,muito envergonhada,Muito vergonha,muito envergonhado,sucesso,sucesso,bem sucedido,Como um vencedor,como um vencedor,Como um vencedor.,A
54,"Carson queria levar Kai em um encontro, mas queria que fosse casual.","Carson queria tomar Kai em uma data, mas queria ser casual.","O Carson queria levar o Kai a um encontro, mas queria que fosse casual.",O que Carson vai querer fazer a seguir?,O que queremos por Carson?,O que é que o Carson vai querer fazer a seguir?,Levar kai a uma ópera,adopte kai para uma operação,Leva o Kai para uma ópera .,Seja mais relaxado,ser mais relaxado,"- Não, não, não.",pedir kai para jantar,kai out to dinner,Convida o Kai para jantar.,C
