,MarianMT,Unicamp_T5,NLLB_1.3b,num_tokens,best_ranked
248,70,80,90,31,NLLB_1.3b
249,75,55,80,36,NLLB_1.3b
250,85,70,90,54,NLLB_1.3b
251,85,60,90,22,NLLB_1.3b
252,70,60,80,34,NLLB_1.3b
253,85,60,90,26,NLLB_1.3b
254,70,60,80,30,NLLB_1.3b
255,75,60,65,40,MarianMT
256,85,90,95,38,NLLB_1.3b
257,85,70,90,19,NLLB_1.3b
258,85,70,90,41,NLLB_1.3b
259,85,75,90,26,NLLB_1.3b
260,80,75,70,26,MarianMT
261,70,55,40,34,MarianMT
262,75,60,85,43,NLLB_1.3b
263,75,60,80,29,NLLB_1.3b
264,75,60,80,25,NLLB_1.3b
265,75,60,85,31,NLLB_1.3b
266,70,50,80,25,NLLB_1.3b
267,85,70,90,32,NLLB_1.3b
268,85,70,90,63,NLLB_1.3b
269,75,60,50,54,MarianMT
270,85,70,90,33,NLLB_1.3b
271,78,85,80,26,Unicamp_T5
272,85,90,80,32,Unicamp_T5
273,80,60,85,42,NLLB_1.3b
274,60,40,70,46,NLLB_1.3b
275,65,70,80,35,NLLB_1.3b
276,75,80,90,28,NLLB_1.3b
277,85,75,80,22,MarianMT
278,82,90,75,35,Unicamp_T5
279,75,80,85,36,NLLB_1.3b
280,80,70,90,35,NLLB_1.3b
281,75,60,85,31,NLLB_1.3b
282,70,80,90,30,NLLB_1.3b
283,70,65,80,18,NLLB_1.3b
284,80,50,90,31,NLLB_1.3b
285,85,90,95,41,NLLB_1.3b
286,65,75,80,21,NLLB_1.3b
287,70,60,80,27,NLLB_1.3b
288,90,85,90,33,MarianMT
289,85,40,90,38,NLLB_1.3b
290,70,85,60,35,Unicamp_T5
291,75,80,65,26,Unicamp_T5
292,85,70,90,40,NLLB_1.3b
293,85,80,90,33,NLLB_1.3b
294,75,65,85,39,NLLB_1.3b
295,85,60,90,28,NLLB_1.3b
296,85,70,90,33,NLLB_1.3b
297,75,60,80,53,NLLB_1.3b
298,65,50,70,24,NLLB_1.3b
299,85,70,90,21,NLLB_1.3b
300,75,60,85,19,NLLB_1.3b
301,75,60,85,21,NLLB_1.3b
302,85,70,80,28,MarianMT
303,75,60,80,36,NLLB_1.3b
304,75,60,80,30,NLLB_1.3b
305,85,70,90,27,NLLB_1.3b
306,85,70,90,26,NLLB_1.3b
307,85,90,95,23,NLLB_1.3b
308,85,90,95,32,NLLB_1.3b
309,75,60,80,22,NLLB_1.3b
310,70,40,85,29,NLLB_1.3b
311,75,60,70,30,MarianMT
312,70,60,90,37,NLLB_1.3b
313,72,65,80,24,NLLB_1.3b
314,75,80,85,28,NLLB_1.3b
315,85,60,100,37,NLLB_1.3b
316,75,50,65,32,MarianMT
317,85,70,60,39,MarianMT
318,85,70,90,30,NLLB_1.3b
319,90,20,95,23,NLLB_1.3b
320,75,80,85,23,NLLB_1.3b
321,75,70,80,31,NLLB_1.3b
322,88,75,80,33,MarianMT
323,75,60,80,60,NLLB_1.3b
324,85,70,90,26,NLLB_1.3b
325,75,60,85,38,NLLB_1.3b
326,75,60,80,27,NLLB_1.3b
327,65,50,40,25,MarianMT
328,85,80,90,29,NLLB_1.3b
329,85,75,70,24,MarianMT
330,85,70,90,29,NLLB_1.3b
331,90,30,85,35,MarianMT
332,85,70,90,32,NLLB_1.3b
333,85,90,95,48,NLLB_1.3b
334,80,70,85,34,NLLB_1.3b
335,85,90,90,23,Unicamp_T5
336,75,70,80,39,NLLB_1.3b
337,90,80,95,35,NLLB_1.3b
338,75,50,85,23,NLLB_1.3b
339,75,60,80,30,NLLB_1.3b
340,70,60,80,22,NLLB_1.3b
341,85,70,90,29,NLLB_1.3b
342,65,80,50,31,Unicamp_T5
343,85,65,90,41,NLLB_1.3b
344,85,70,90,35,NLLB_1.3b
345,90,85,95,32,NLLB_1.3b
346,85,75,90,32,NLLB_1.3b
347,75,60,50,22,MarianMT
348,70,60,50,29,MarianMT
349,85,70,90,34,NLLB_1.3b
350,75,60,90,37,NLLB_1.3b
351,90,80,95,33,NLLB_1.3b
352,75,60,85,38,NLLB_1.3b
353,75,80,90,24,NLLB_1.3b
354,75,60,80,32,NLLB_1.3b
355,70,80,60,16,Unicamp_T5
356,75,60,80,33,NLLB_1.3b
357,65,70,80,47,NLLB_1.3b
358,85,75,90,35,NLLB_1.3b
359,85,90,70,17,Unicamp_T5
360,85,75,90,31,NLLB_1.3b
361,85,70,90,33,NLLB_1.3b
362,70,85,60,35,Unicamp_T5
363,85,70,90,41,NLLB_1.3b
364,85,75,90,37,NLLB_1.3b
365,85,60,90,43,NLLB_1.3b
366,75,80,85,34,NLLB_1.3b
367,85,80,90,36,NLLB_1.3b
368,75,50,80,72,NLLB_1.3b
369,85,60,90,35,NLLB_1.3b
370,85,60,90,51,NLLB_1.3b
371,85,70,90,41,NLLB_1.3b
372,85,70,80,29,MarianMT
373,60,40,80,31,NLLB_1.3b
374,85,75,90,30,NLLB_1.3b
375,80,65,85,69,NLLB_1.3b
376,85,70,90,36,NLLB_1.3b
377,85,60,90,41,NLLB_1.3b
378,65,70,50,33,Unicamp_T5
379,85,70,90,38,NLLB_1.3b
380,85,70,90,28,NLLB_1.3b
381,50,30,60,25,NLLB_1.3b
382,85,70,90,33,NLLB_1.3b
383,85,70,90,29,NLLB_1.3b
384,75,80,90,23,NLLB_1.3b
385,75,65,85,33,NLLB_1.3b
386,85,80,90,28,NLLB_1.3b
387,85,70,90,36,NLLB_1.3b
388,75,40,80,39,NLLB_1.3b
389,85,75,90,30,NLLB_1.3b
390,90,75,85,60,MarianMT
391,75,60,65,42,MarianMT
392,85,70,90,32,NLLB_1.3b
393,85,70,90,31,NLLB_1.3b
394,85,75,90,32,NLLB_1.3b
395,75,60,85,35,NLLB_1.3b
396,85,60,90,26,NLLB_1.3b
397,90,85,80,27,MarianMT
398,75,60,85,70,NLLB_1.3b
399,85,90,80,23,Unicamp_T5
400,85,70,90,50,NLLB_1.3b
401,85,80,90,22,NLLB_1.3b
402,85,70,90,35,NLLB_1.3b
403,70,60,75,26,NLLB_1.3b
404,85,75,90,24,NLLB_1.3b
405,85,90,95,23,NLLB_1.3b
406,75,60,85,34,NLLB_1.3b
407,85,90,95,20,NLLB_1.3b
408,70,50,80,25,NLLB_1.3b
409,75,50,85,32,NLLB_1.3b
410,70,50,80,39,NLLB_1.3b
411,90,85,95,46,NLLB_1.3b
412,85,75,90,29,NLLB_1.3b
413,85,70,90,30,NLLB_1.3b
414,75,50,80,53,NLLB_1.3b
415,85,70,90,47,NLLB_1.3b
416,85,70,90,34,NLLB_1.3b
417,85,70,90,42,NLLB_1.3b
418,75,60,80,43,NLLB_1.3b
419,75,60,80,24,NLLB_1.3b
420,85,75,90,53,NLLB_1.3b
421,85,70,90,29,NLLB_1.3b
422,70,80,65,37,Unicamp_T5
423,75,60,80,40,NLLB_1.3b
424,60,50,70,21,NLLB_1.3b
425,85,70,80,34,MarianMT
426,90,80,85,38,MarianMT
427,75,65,80,36,NLLB_1.3b
428,85,80,90,26,NLLB_1.3b
429,80,50,60,17,MarianMT
430,83,75,88,32,NLLB_1.3b
431,85,70,90,28,NLLB_1.3b
432,75,40,85,29,NLLB_1.3b
433,88,75,90,26,NLLB_1.3b
434,85,70,90,32,NLLB_1.3b
435,85,90,80,37,Unicamp_T5
436,85,60,90,24,NLLB_1.3b
437,85,70,90,36,NLLB_1.3b
438,70,20,90,24,NLLB_1.3b
439,85,70,80,25,MarianMT
440,85,70,60,37,MarianMT
441,85,70,90,18,NLLB_1.3b
442,75,60,80,22,NLLB_1.3b
443,75,80,85,41,NLLB_1.3b
444,85,80,90,25,NLLB_1.3b
445,75,80,85,28,NLLB_1.3b
446,75,60,85,37,NLLB_1.3b
447,75,80,90,34,NLLB_1.3b
448,75,40,85,34,NLLB_1.3b
449,65,40,80,32,NLLB_1.3b
450,87,90,83,34,Unicamp_T5
451,90,95,85,36,Unicamp_T5
452,70,50,80,19,NLLB_1.3b
453,85,70,90,23,NLLB_1.3b
454,75,60,80,29,NLLB_1.3b
455,70,50,80,29,NLLB_1.3b
456,85,90,75,27,Unicamp_T5
457,60,75,70,27,Unicamp_T5
458,75,80,90,32,NLLB_1.3b
459,85,80,90,48,NLLB_1.3b
460,85,60,70,18,MarianMT
461,75,50,85,39,NLLB_1.3b
462,85,80,90,35,NLLB_1.3b
463,75,60,80,33,NLLB_1.3b
464,85,75,90,30,NLLB_1.3b
465,85,70,90,23,NLLB_1.3b
466,90,75,85,34,MarianMT
467,70,60,75,30,NLLB_1.3b
468,88,70,92,53,NLLB_1.3b
469,70,60,90,42,NLLB_1.3b
470,75,50,80,28,NLLB_1.3b
471,85,90,80,44,Unicamp_T5
472,80,60,90,37,NLLB_1.3b
473,65,80,40,26,Unicamp_T5
474,85,70,90,34,NLLB_1.3b
475,85,50,90,35,NLLB_1.3b
476,85,70,90,29,NLLB_1.3b
477,85,60,90,21,NLLB_1.3b
478,85,60,95,41,NLLB_1.3b
479,85,90,80,22,Unicamp_T5
480,75,80,70,24,Unicamp_T5
481,90,80,90,20,MarianMT
482,85,90,95,36,NLLB_1.3b
483,85,70,90,38,NLLB_1.3b
484,85,70,55,36,MarianMT
485,85,75,90,48,NLLB_1.3b
486,85,70,90,37,NLLB_1.3b
487,85,75,90,34,NLLB_1.3b
488,60,40,75,42,NLLB_1.3b
489,85,70,90,35,NLLB_1.3b
490,85,80,90,36,NLLB_1.3b
491,85,75,90,38,NLLB_1.3b
492,79,65,85,32,NLLB_1.3b
493,70,60,80,34,NLLB_1.3b
494,85,65,90,36,NLLB_1.3b
495,85,90,80,26,Unicamp_T5
496,85,70,90,32,NLLB_1.3b
497,75,60,80,29,NLLB_1.3b
498,75,60,80,35,NLLB_1.3b
499,85,70,90,28,NLLB_1.3b
500,90,75,85,19,MarianMT
501,85,80,75,30,MarianMT
502,75,85,60,18,Unicamp_T5
503,70,50,80,30,NLLB_1.3b
504,60,40,50,33,MarianMT
505,85,90,75,31,Unicamp_T5
506,75,60,80,22,NLLB_1.3b
507,85,70,90,32,NLLB_1.3b
508,75,80,85,41,NLLB_1.3b
509,65,40,75,53,NLLB_1.3b
510,85,75,90,36,NLLB_1.3b
511,85,75,90,35,NLLB_1.3b
512,75,80,90,38,NLLB_1.3b
513,85,70,90,31,NLLB_1.3b
514,65,70,75,29,NLLB_1.3b
515,85,70,90,20,NLLB_1.3b
516,75,20,60,21,MarianMT
517,75,60,45,22,MarianMT
518,90,75,90,28,MarianMT
519,80,60,90,52,NLLB_1.3b
520,85,70,90,29,NLLB_1.3b
521,85,70,90,39,NLLB_1.3b
522,85,70,90,42,NLLB_1.3b
523,72,65,85,26,NLLB_1.3b
524,70,60,80,22,NLLB_1.3b
525,85,65,80,46,MarianMT
526,75,60,80,30,NLLB_1.3b
527,85,75,80,30,MarianMT
528,70,50,60,28,MarianMT
529,85,70,90,25,NLLB_1.3b
530,85,50,75,28,MarianMT
531,75,60,90,20,NLLB_1.3b
532,85,75,90,44,NLLB_1.3b
533,85,90,80,33,Unicamp_T5
534,75,60,70,26,MarianMT
535,85,90,80,29,Unicamp_T5
536,75,50,90,33,NLLB_1.3b
537,75,50,80,29,NLLB_1.3b
538,85,70,90,34,NLLB_1.3b
539,70,60,50,32,MarianMT
540,85,90,80,40,Unicamp_T5
541,55,40,60,23,NLLB_1.3b
542,70,60,75,48,NLLB_1.3b
543,70,80,60,23,Unicamp_T5
544,92,95,84,35,Unicamp_T5
545,70,20,80,19,NLLB_1.3b
546,85,70,90,22,NLLB_1.3b
547,70,50,80,31,NLLB_1.3b
548,60,40,50,25,MarianMT
549,75,60,85,34,NLLB_1.3b
550,85,70,90,31,NLLB_1.3b
551,85,90,80,29,Unicamp_T5
552,65,45,80,25,NLLB_1.3b
553,85,80,90,37,NLLB_1.3b
554,90,85,95,32,NLLB_1.3b
555,80,60,70,26,MarianMT
556,85,70,90,36,NLLB_1.3b
557,90,65,95,34,NLLB_1.3b
558,75,80,85,26,NLLB_1.3b
559,85,75,90,34,NLLB_1.3b
560,85,90,80,36,Unicamp_T5
561,75,65,85,39,NLLB_1.3b
562,70,60,80,33,NLLB_1.3b
563,75,50,85,41,NLLB_1.3b
564,75,60,85,25,NLLB_1.3b
565,70,55,80,23,NLLB_1.3b
566,85,90,95,31,NLLB_1.3b
567,85,75,70,16,MarianMT
568,85,75,90,43,NLLB_1.3b
569,90,85,95,34,NLLB_1.3b
570,70,60,50,30,MarianMT
571,85,70,90,33,NLLB_1.3b
572,75,80,70,31,Unicamp_T5
573,85,70,90,36,NLLB_1.3b
574,65,70,80,32,NLLB_1.3b
575,85,70,90,43,NLLB_1.3b
576,70,50,60,30,MarianMT
577,95,80,100,24,NLLB_1.3b
578,85,75,90,32,NLLB_1.3b
579,70,60,75,34,NLLB_1.3b
580,75,60,80,35,NLLB_1.3b
581,65,70,80,36,NLLB_1.3b
582,85,75,90,31,NLLB_1.3b
583,85,70,90,45,NLLB_1.3b
584,75,50,85,32,NLLB_1.3b
585,75,60,85,28,NLLB_1.3b
586,90,85,95,24,NLLB_1.3b
587,88,85,92,31,NLLB_1.3b
588,80,60,90,27,NLLB_1.3b
589,75,80,85,30,NLLB_1.3b
590,75,60,85,30,NLLB_1.3b
591,85,75,90,25,NLLB_1.3b
592,85,75,90,27,NLLB_1.3b
593,75,60,40,28,MarianMT
594,85,80,90,29,NLLB_1.3b
595,73,80,85,24,NLLB_1.3b
596,85,60,90,21,NLLB_1.3b
597,85,75,90,32,NLLB_1.3b
598,75,60,85,32,NLLB_1.3b
599,85,70,90,28,NLLB_1.3b
600,85,60,90,29,NLLB_1.3b
601,85,90,87,43,Unicamp_T5
602,75,60,50,36,MarianMT
603,75,60,85,39,NLLB_1.3b
604,75,65,80,27,NLLB_1.3b
605,70,60,80,33,NLLB_1.3b
606,70,50,60,31,MarianMT
607,70,60,75,28,NLLB_1.3b
608,65,40,80,47,NLLB_1.3b
609,75,60,85,33,NLLB_1.3b
610,85,70,90,54,NLLB_1.3b
611,85,70,90,43,NLLB_1.3b
612,85,75,90,48,NLLB_1.3b
613,85,75,65,28,MarianMT
614,75,80,70,34,Unicamp_T5
615,85,70,90,20,NLLB_1.3b
616,85,75,90,27,NLLB_1.3b
617,75,50,80,21,NLLB_1.3b
618,75,80,65,25,Unicamp_T5
619,85,70,90,26,NLLB_1.3b
620,85,90,80,37,Unicamp_T5
621,75,60,85,29,NLLB_1.3b
622,70,80,75,49,Unicamp_T5
623,65,70,80,24,NLLB_1.3b
624,60,40,75,19,NLLB_1.3b
625,90,80,95,27,NLLB_1.3b
626,90,85,90,37,MarianMT
627,70,65,85,25,NLLB_1.3b
628,85,20,90,18,NLLB_1.3b
629,85,80,75,27,MarianMT
630,70,80,90,38,NLLB_1.3b
631,75,80,90,31,NLLB_1.3b
632,75,85,80,25,Unicamp_T5
633,85,70,95,50,NLLB_1.3b
634,85,60,80,28,MarianMT
635,65,40,80,40,NLLB_1.3b
636,60,70,75,31,NLLB_1.3b
637,90,70,85,25,MarianMT
638,75,80,70,17,Unicamp_T5
639,85,60,70,19,MarianMT
640,85,70,90,34,NLLB_1.3b
641,85,90,80,30,Unicamp_T5
642,85,70,90,27,NLLB_1.3b
643,70,50,60,38,MarianMT
644,85,75,60,30,MarianMT
645,80,60,85,29,NLLB_1.3b
646,85,80,75,20,MarianMT
647,85,70,90,34,NLLB_1.3b
648,85,75,80,28,MarianMT
649,85,70,80,28,MarianMT
650,85,70,90,33,NLLB_1.3b
651,80,60,90,28,NLLB_1.3b
652,85,70,78,33,MarianMT
653,80,65,90,31,NLLB_1.3b
654,65,72,80,45,NLLB_1.3b
655,90,60,85,28,MarianMT
656,75,60,85,33,NLLB_1.3b
657,75,80,85,34,NLLB_1.3b
658,90,80,85,30,MarianMT
659,75,60,90,30,NLLB_1.3b
660,85,70,90,30,NLLB_1.3b
661,85,80,90,30,NLLB_1.3b
662,75,85,60,34,Unicamp_T5
663,75,50,80,31,NLLB_1.3b
664,75,60,85,34,NLLB_1.3b
665,75,65,80,28,NLLB_1.3b
666,85,70,90,39,NLLB_1.3b
667,75,60,70,35,MarianMT
668,85,70,90,37,NLLB_1.3b
669,80,70,60,18,MarianMT
670,85,70,90,28,NLLB_1.3b
671,85,70,90,35,NLLB_1.3b
672,85,70,90,29,NLLB_1.3b
673,80,70,60,34,MarianMT
674,70,60,80,21,NLLB_1.3b
675,85,75,90,34,NLLB_1.3b
676,75,60,80,35,NLLB_1.3b
677,80,75,85,27,NLLB_1.3b
678,85,70,90,31,NLLB_1.3b
679,75,80,90,30,NLLB_1.3b
680,90,80,95,27,NLLB_1.3b
681,70,60,90,19,NLLB_1.3b
682,85,70,90,39,NLLB_1.3b
683,85,75,85,29,MarianMT
684,55,60,40,35,Unicamp_T5
685,75,60,85,30,NLLB_1.3b
686,70,50,80,33,NLLB_1.3b
687,85,70,90,21,NLLB_1.3b
688,70,60,80,15,NLLB_1.3b
689,82,88,76,34,Unicamp_T5
690,85,70,80,23,MarianMT
691,85,70,90,35,NLLB_1.3b
692,70,50,60,23,MarianMT
693,70,60,80,16,NLLB_1.3b
694,50,30,60,24,NLLB_1.3b
695,75,60,50,22,MarianMT
696,70,50,80,30,NLLB_1.3b
697,80,60,90,43,NLLB_1.3b
698,85,60,90,41,NLLB_1.3b
699,85,60,90,39,NLLB_1.3b
700,60,40,80,23,NLLB_1.3b
701,60,20,80,24,NLLB_1.3b
702,75,80,85,28,NLLB_1.3b
703,70,40,80,38,NLLB_1.3b
704,60,70,80,36,NLLB_1.3b
705,65,70,80,29,NLLB_1.3b
706,85,70,90,26,NLLB_1.3b
707,85,70,80,29,MarianMT
708,85,70,90,31,NLLB_1.3b
709,85,90,80,28,Unicamp_T5
710,85,90,80,29,Unicamp_T5
711,70,40,60,24,MarianMT
712,75,60,85,37,NLLB_1.3b
713,70,50,60,28,MarianMT
714,65,70,85,35,NLLB_1.3b
715,55,40,70,35,NLLB_1.3b
716,75,70,60,25,MarianMT
717,85,70,90,36,NLLB_1.3b
718,75,50,60,29,MarianMT
719,60,75,45,31,Unicamp_T5
720,75,60,80,35,NLLB_1.3b
